_ID,_VALUE,LowLevelEquipment:id,LowLevelEquipmentNum:int,HighLevelEquipment:id,CostItem:id,CostNum:int
NEW_EQUIPMENT_FORGING_1,1,ITEM_NEW_EQUIPMENT_1,3,ITEM_NEW_EQUIPMENT_5,ITEM_GOLD,1000
NEW_EQUIPMENT_FORGING_2,2,ITEM_NEW_EQUIPMENT_2,3,ITEM_NEW_EQUIPMENT_6,ITEM_GOLD,1000
NEW_EQUIPMENT_FORGING_3,3,ITEM_NEW_EQUIPMENT_3,3,ITEM_NEW_EQUIPMENT_7,ITEM_GOLD,1000
NEW_EQUIPMENT_FORGING_4,4,ITEM_NEW_EQUIPMENT_4,3,ITEM_NEW_EQUIPMENT_8,ITEM_GOLD,1000
NEW_EQUIPMENT_FORGING_5,5,ITEM_NEW_EQUIPMENT_5,3,ITEM_NEW_EQUIPMENT_9,ITEM_GOLD,1500
NEW_EQUIPMENT_FORGING_6,6,ITEM_NEW_EQUIPMENT_6,3,ITEM_NEW_EQUIPMENT_10,ITEM_GOLD,1500
NEW_EQUIPMENT_FORGING_7,7,ITEM_NEW_EQUIPMENT_7,3,ITEM_NEW_EQUIPMENT_11,ITEM_GOLD,1500
NEW_EQUIPMENT_FORGING_8,8,ITEM_NEW_EQUIPMENT_8,3,ITEM_NEW_EQUIPMENT_12,ITEM_GOLD,1500
NEW_EQUIPMENT_FORGING_9,9,ITEM_NEW_EQUIPMENT_9,3,ITEM_NEW_EQUIPMENT_13,ITEM_GOLD,2000
NEW_EQUIPMENT_FORGING_10,10,ITEM_NEW_EQUIPMENT_10,3,ITEM_NEW_EQUIPMENT_14,ITEM_GOLD,2000
NEW_EQUIPMENT_FORGING_11,11,ITEM_NEW_EQUIPMENT_11,3,ITEM_NEW_EQUIPMENT_15,ITEM_GOLD,2000
NEW_EQUIPMENT_FORGING_12,12,ITEM_NEW_EQUIPMENT_12,3,ITEM_NEW_EQUIPMENT_16,ITEM_GOLD,2000
NEW_EQUIPMENT_FORGING_13,13,ITEM_NEW_EQUIPMENT_13,3,ITEM_NEW_EQUIPMENT_17,ITEM_GOLD,2500
NEW_EQUIPMENT_FORGING_14,14,ITEM_NEW_EQUIPMENT_14,3,ITEM_NEW_EQUIPMENT_18,ITEM_GOLD,2500
NEW_EQUIPMENT_FORGING_15,15,ITEM_NEW_EQUIPMENT_15,3,ITEM_NEW_EQUIPMENT_19,ITEM_GOLD,2500
NEW_EQUIPMENT_FORGING_16,16,ITEM_NEW_EQUIPMENT_16,3,ITEM_NEW_EQUIPMENT_20,ITEM_GOLD,2500
NEW_EQUIPMENT_FORGING_17,17,ITEM_NEW_EQUIPMENT_17,3,ITEM_NEW_EQUIPMENT_21,ITEM_GOLD,3000
NEW_EQUIPMENT_FORGING_18,18,ITEM_NEW_EQUIPMENT_18,3,ITEM_NEW_EQUIPMENT_22,ITEM_GOLD,3000
NEW_EQUIPMENT_FORGING_19,19,ITEM_NEW_EQUIPMENT_19,3,ITEM_NEW_EQUIPMENT_23,ITEM_GOLD,3000
NEW_EQUIPMENT_FORGING_20,20,ITEM_NEW_EQUIPMENT_20,3,ITEM_NEW_EQUIPMENT_24,ITEM_GOLD,3000
NEW_EQUIPMENT_FORGING_21,21,ITEM_NEW_EQUIPMENT_21,3,ITEM_NEW_EQUIPMENT_25,ITEM_GOLD,4000
NEW_EQUIPMENT_FORGING_22,22,ITEM_NEW_EQUIPMENT_22,3,ITEM_NEW_EQUIPMENT_26,ITEM_GOLD,4000
NEW_EQUIPMENT_FORGING_23,23,ITEM_NEW_EQUIPMENT_23,3,ITEM_NEW_EQUIPMENT_27,ITEM_GOLD,4000
NEW_EQUIPMENT_FORGING_24,24,ITEM_NEW_EQUIPMENT_24,3,ITEM_NEW_EQUIPMENT_28,ITEM_GOLD,4000
NEW_EQUIPMENT_FORGING_25,25,ITEM_NEW_EQUIPMENT_25,3,ITEM_NEW_EQUIPMENT_29,ITEM_GOLD,5000
NEW_EQUIPMENT_FORGING_26,26,ITEM_NEW_EQUIPMENT_26,3,ITEM_NEW_EQUIPMENT_30,ITEM_GOLD,5000
NEW_EQUIPMENT_FORGING_27,27,ITEM_NEW_EQUIPMENT_27,3,ITEM_NEW_EQUIPMENT_31,ITEM_GOLD,5000
NEW_EQUIPMENT_FORGING_28,28,ITEM_NEW_EQUIPMENT_28,3,ITEM_NEW_EQUIPMENT_32,ITEM_GOLD,5000
NEW_EQUIPMENT_FORGING_29,29,ITEM_NEW_EQUIPMENT_29,3,ITEM_NEW_EQUIPMENT_33,ITEM_GOLD,6000
NEW_EQUIPMENT_FORGING_30,30,ITEM_NEW_EQUIPMENT_30,3,ITEM_NEW_EQUIPMENT_34,ITEM_GOLD,6000
NEW_EQUIPMENT_FORGING_31,31,ITEM_NEW_EQUIPMENT_31,3,ITEM_NEW_EQUIPMENT_35,ITEM_GOLD,6000
NEW_EQUIPMENT_FORGING_32,32,ITEM_NEW_EQUIPMENT_32,3,ITEM_NEW_EQUIPMENT_36,ITEM_GOLD,6000
NEW_EQUIPMENT_FORGING_33,33,ITEM_NEW_EQUIPMENT_33,3,ITEM_NEW_EQUIPMENT_37,ITEM_GOLD,7000
NEW_EQUIPMENT_FORGING_34,34,ITEM_NEW_EQUIPMENT_34,3,ITEM_NEW_EQUIPMENT_38,ITEM_GOLD,7000
NEW_EQUIPMENT_FORGING_35,35,ITEM_NEW_EQUIPMENT_35,3,ITEM_NEW_EQUIPMENT_39,ITEM_GOLD,7000
NEW_EQUIPMENT_FORGING_36,36,ITEM_NEW_EQUIPMENT_36,3,ITEM_NEW_EQUIPMENT_40,ITEM_GOLD,7000
NEW_EQUIPMENT_FORGING_37,37,ITEM_NEW_EQUIPMENT_37,3,ITEM_NEW_EQUIPMENT_41,ITEM_GOLD,8000
NEW_EQUIPMENT_FORGING_38,38,ITEM_NEW_EQUIPMENT_38,3,ITEM_NEW_EQUIPMENT_42,ITEM_GOLD,8000
NEW_EQUIPMENT_FORGING_39,39,ITEM_NEW_EQUIPMENT_39,3,ITEM_NEW_EQUIPMENT_43,ITEM_GOLD,8000
NEW_EQUIPMENT_FORGING_40,40,ITEM_NEW_EQUIPMENT_40,3,ITEM_NEW_EQUIPMENT_44,ITEM_GOLD,8000
NEW_EQUIPMENT_FORGING_41,41,ITEM_NEW_EQUIPMENT_41,3,ITEM_NEW_EQUIPMENT_45,ITEM_GOLD,10000
NEW_EQUIPMENT_FORGING_42,42,ITEM_NEW_EQUIPMENT_42,3,ITEM_NEW_EQUIPMENT_46,ITEM_GOLD,10000
NEW_EQUIPMENT_FORGING_43,43,ITEM_NEW_EQUIPMENT_43,3,ITEM_NEW_EQUIPMENT_47,ITEM_GOLD,10000
NEW_EQUIPMENT_FORGING_44,44,ITEM_NEW_EQUIPMENT_44,3,ITEM_NEW_EQUIPMENT_48,ITEM_GOLD,10000
NEW_EQUIPMENT_FORGING_45,45,ITEM_NEW_EQUIPMENT_45,3,ITEM_NEW_EQUIPMENT_49,ITEM_GOLD,20000
NEW_EQUIPMENT_FORGING_46,46,ITEM_NEW_EQUIPMENT_46,3,ITEM_NEW_EQUIPMENT_50,ITEM_GOLD,20000
NEW_EQUIPMENT_FORGING_47,47,ITEM_NEW_EQUIPMENT_47,3,ITEM_NEW_EQUIPMENT_51,ITEM_GOLD,20000
NEW_EQUIPMENT_FORGING_48,48,ITEM_NEW_EQUIPMENT_48,3,ITEM_NEW_EQUIPMENT_52,ITEM_GOLD,20000
NEW_EQUIPMENT_FORGING_49,49,ITEM_NEW_EQUIPMENT_49,3,ITEM_NEW_EQUIPMENT_53,ITEM_GOLD,30000
NEW_EQUIPMENT_FORGING_50,50,ITEM_NEW_EQUIPMENT_50,3,ITEM_NEW_EQUIPMENT_54,ITEM_GOLD,30000
NEW_EQUIPMENT_FORGING_51,51,ITEM_NEW_EQUIPMENT_51,3,ITEM_NEW_EQUIPMENT_55,ITEM_GOLD,30000
NEW_EQUIPMENT_FORGING_52,52,ITEM_NEW_EQUIPMENT_52,3,ITEM_NEW_EQUIPMENT_56,ITEM_GOLD,30000
NEW_EQUIPMENT_FORGING_53,53,ITEM_NEW_EQUIPMENT_53,3,ITEM_NEW_EQUIPMENT_57,ITEM_GOLD,50000
NEW_EQUIPMENT_FORGING_54,54,ITEM_NEW_EQUIPMENT_54,3,ITEM_NEW_EQUIPMENT_58,ITEM_GOLD,50000
NEW_EQUIPMENT_FORGING_55,55,ITEM_NEW_EQUIPMENT_55,3,ITEM_NEW_EQUIPMENT_59,ITEM_GOLD,50000
NEW_EQUIPMENT_FORGING_56,56,ITEM_NEW_EQUIPMENT_56,3,ITEM_NEW_EQUIPMENT_60,ITEM_GOLD,50000
NEW_EQUIPMENT_FORGING_57,57,ITEM_NEW_EQUIPMENT_57,3,ITEM_NEW_EQUIPMENT_61,ITEM_GOLD,80000
NEW_EQUIPMENT_FORGING_58,58,ITEM_NEW_EQUIPMENT_58,3,ITEM_NEW_EQUIPMENT_62,ITEM_GOLD,80000
NEW_EQUIPMENT_FORGING_59,59,ITEM_NEW_EQUIPMENT_59,3,ITEM_NEW_EQUIPMENT_63,ITEM_GOLD,80000
NEW_EQUIPMENT_FORGING_60,60,ITEM_NEW_EQUIPMENT_60,3,ITEM_NEW_EQUIPMENT_64,ITEM_GOLD,80000
NEW_EQUIPMENT_FORGING_61,61,ITEM_NEW_EQUIPMENT_61,3,ITEM_NEW_EQUIPMENT_65,ITEM_GOLD,100000
NEW_EQUIPMENT_FORGING_62,62,ITEM_NEW_EQUIPMENT_62,3,ITEM_NEW_EQUIPMENT_66,ITEM_GOLD,100000
NEW_EQUIPMENT_FORGING_63,63,ITEM_NEW_EQUIPMENT_63,3,ITEM_NEW_EQUIPMENT_67,ITEM_GOLD,100000
NEW_EQUIPMENT_FORGING_64,64,ITEM_NEW_EQUIPMENT_64,3,ITEM_NEW_EQUIPMENT_68,ITEM_GOLD,100000
NEW_EQUIPMENT_FORGING_65,65,ITEM_NEW_EQUIPMENT_65,3,ITEM_NEW_EQUIPMENT_69,ITEM_GOLD,150000
NEW_EQUIPMENT_FORGING_66,66,ITEM_NEW_EQUIPMENT_66,3,ITEM_NEW_EQUIPMENT_70,ITEM_GOLD,150000
NEW_EQUIPMENT_FORGING_67,67,ITEM_NEW_EQUIPMENT_67,3,ITEM_NEW_EQUIPMENT_71,ITEM_GOLD,150000
NEW_EQUIPMENT_FORGING_68,68,ITEM_NEW_EQUIPMENT_68,3,ITEM_NEW_EQUIPMENT_72,ITEM_GOLD,150000
NEW_EQUIPMENT_FORGING_69,69,ITEM_NEW_EQUIPMENT_69,3,ITEM_NEW_EQUIPMENT_73,ITEM_GOLD,300000
NEW_EQUIPMENT_FORGING_70,70,ITEM_NEW_EQUIPMENT_70,3,ITEM_NEW_EQUIPMENT_74,ITEM_GOLD,300000
NEW_EQUIPMENT_FORGING_71,71,ITEM_NEW_EQUIPMENT_71,3,ITEM_NEW_EQUIPMENT_75,ITEM_GOLD,300000
NEW_EQUIPMENT_FORGING_72,72,ITEM_NEW_EQUIPMENT_72,3,ITEM_NEW_EQUIPMENT_76,ITEM_GOLD,300000
NEW_EQUIPMENT_FORGING_73,73,ITEM_NEW_EQUIPMENT_73,3,ITEM_NEW_EQUIPMENT_77,ITEM_GOLD,900000
NEW_EQUIPMENT_FORGING_74,74,ITEM_NEW_EQUIPMENT_74,3,ITEM_NEW_EQUIPMENT_78,ITEM_GOLD,900000
NEW_EQUIPMENT_FORGING_75,75,ITEM_NEW_EQUIPMENT_75,3,ITEM_NEW_EQUIPMENT_79,ITEM_GOLD,900000
NEW_EQUIPMENT_FORGING_76,76,ITEM_NEW_EQUIPMENT_76,3,ITEM_NEW_EQUIPMENT_80,ITEM_GOLD,900000
NEW_EQUIPMENT_FORGING_77,77,ITEM_NEW_EQUIPMENT_77,3,ITEM_NEW_EQUIPMENT_81,ITEM_GOLD,1500000
