_ID,_VALUE,Vip:int,Itemid:id,ItemNum:int,Currency:id,Price:int,RefreshOrLimitTimes:int[],Probability:int[]
NORMAL_SHOP_DROP_EMBLEM_SERPENT,1,0,ITEM_SPAR_KEY,1,ITEM_CRYSTAL,158,4,250
NORMAL_SHOP_DROP_EMBLEM_EMPEROR,2,0,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,210,4,250
NORMAL_SHOP_DROP_101,101,0,ITEM_EMBLEM_EGGYRA_SCISSORS,60,ITEM_CRYSTAL,2588,1,0
,,,,,,,2,0
,,,,,,,3,0
,,,,,,,4,0
,,,,,,,5,0
,,,,,,,6,50
,,,,,,,7,100
,,,,,,,8,150
,,,,,,,9,200
,,,,,,,10,250
,,,,,,,11,300
,,,,,,,12,350
,,,,,,,13,400
,,,,,,,14,450
,,,,,,,15,500
,,,,,,,16,600
,,,,,,,17,700
,,,,,,,18,800
,,,,,,,19,900
,,,,,,,20,1000
NORMAL_SHOP_DROP_102,102,0,ITEM_EMBLEM_EGGYRA_ROCK,60,ITEM_CRYSTAL,2588,1,0
,,,,,,,2,0
,,,,,,,3,0
,,,,,,,4,0
,,,,,,,5,0
,,,,,,,6,50
,,,,,,,7,100
,,,,,,,8,150
,,,,,,,9,200
,,,,,,,10,250
,,,,,,,11,300
,,,,,,,12,350
,,,,,,,13,400
,,,,,,,14,450
,,,,,,,15,500
,,,,,,,16,600
,,,,,,,17,700
,,,,,,,18,800
,,,,,,,19,900
,,,,,,,20,1000
NORMAL_SHOP_DROP_103,103,0,ITEM_EMBLEM_EGGYRA_PAPER,60,ITEM_CRYSTAL,2588,1,0
,,,,,,,2,0
,,,,,,,3,0
,,,,,,,4,0
,,,,,,,5,0
,,,,,,,6,50
,,,,,,,7,100
,,,,,,,8,150
,,,,,,,9,200
,,,,,,,10,250
,,,,,,,11,300
,,,,,,,12,350
,,,,,,,13,400
,,,,,,,14,450
,,,,,,,15,500
,,,,,,,16,600
,,,,,,,17,700
,,,,,,,18,800
,,,,,,,19,900
,,,,,,,20,1000
NORMAL_SHOP_DROP_104,104,0,ITEM_SPAR_SUPER_BOX_TICKET,1,ITEM_CRYSTAL,588,1,25
,,,,,,,2,25
,,,,,,,3,25
,,,,,,,4,50
,,,,,,,5,50
,,,,,,,6,50
,,,,,,,7,100
,,,,,,,8,150
,,,,,,,9,200
,,,,,,,10,250
,,,,,,,11,300
,,,,,,,12,350
,,,,,,,13,400
,,,,,,,14,450
,,,,,,,15,500
,,,,,,,16,600
,,,,,,,17,700
,,,,,,,18,800
,,,,,,,19,900
,,,,,,,20,1000
