_ID,_VALUE,#Name:string,NameKey:loc,Lv:int[],HideUIName:bool,DesKey:loc[],ShortDesKey:loc,DamageType:string,#Parameter1Name:string,Parameter1:obsint[],#Parameter2Name:string,Parameter2:obsint[],#Parameter3Name:string,Parameter3:obsint[],#Parameter4Name:string,Parameter4:obsint[],#Parameter5Name:string,Parameter5:obsint[],#Parameter6Name:string,Parameter6:obsint[],PhysicalFactor:decimal[],MagicFactor:decimal[],BaseDamage:int[],CriticalHit:int[],CriticalDamage:int[],AdjustFactor:int,TargetTeam:string,TriggerConfig:int[][],TriggerType:string,TriggerCount:int[],IconSprite:string,CoolTime:int[],AnimationType:int,AnimationName:string,Priority:int,AttributeType:string[][],AttributeNum:decimal[][],AttributeKind:string[][],BuffTarget:string[],SkillBuff:bool,PassiveKind:string,SpecialType:string[],UnlockCondition:loc
HALO_REBORN,90003,共鸣光环-重生,,,true,,,,每秒重生最大血量千分比,3,,,,,,,,,,,0,0.09,10,0,0,0,Friendly,,,0,,0,,,,,,,Hero,FALSE,Halo,,
HALO_ATK_TO_DARK,90004,共鸣光环-使对方暗黑状态,,,true,,,,中buff概率千分比,100,buff的等级,2,,,,,,,,,0,0.09,10,0,0,0,Enemy,,,0,,0,,,,,,,Hero,FALSE,Halo,,
HALO_ATK_TO_SILENCE,90005,共鸣光环-使对方沉默,,,true,,,,中buff概率千分比,80,持续时间/10,40,,,,,,,,,0,0.09,10,0,0,0,Enemy,,,0,,0,,,,,,,Hero,FALSE,Halo,,
HALO_SHIELD,90006,共鸣光环-自己获得护盾,,,true,,,,持续时间/10,80,最大血量千分比,150,,,,,,,,,0,0.09,10,0,0,0,Friendly,,,0,,0,,,,,,,Hero,FALSE,Halo,,
HALO_GETSHIELD,90007,共鸣光环-被攻击获得护盾,,,true,,,,获得护盾千分比,80,持续时间/10,50,最大血量千分比,100,,,,,,,0,0.09,10,0,0,0,Friendly,,,0,,0,,,,,,,Hero,FALSE,Halo,,
TALENT_HEART_OF_FIRE,90101,火焰之心,LOC_SKILL_NAMECN_TALENT_HEART_OF_FIRE,1,,LOC_SKILL_DES_DETAIL_TALENT_HEART_OF_FIRE,LOC_SKILL_DES_DETAIL_TALENT_HEART_OF_FIRE,Magical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,None,0,ICON_TALENT_HEART_OF_FIRE,0,,,,SkillDamage,0.15,Percentage,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_HEART_OF_FIRE,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,SkillDamage,0.25,Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_HEART_OF_FIRE_LV3,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,SkillDamage,0.35,Percentage,Hero,,,,
PASSIVE_HEART_DEMON,90102,心魔,LOC_SKILL_NAMECN_PASSIVE_HEART_DEMON,1,,LOC_SKILL_DES_DETAIL_PASSIVE_HEART_DEMON,LOC_SKILL_DES_DETAIL_PASSIVE_HEART_DEMON,Magical,魔抗护盾数值,50,魔抗护盾持续时间,4,陨石术眩晕概率增加千分比,50,,,,,,,0,0,0,0,0,0,Enemy,100#2,MadeDamage,0,ICON_PASSIVE_HEART_DEMON,6,100,Skill,,HP#Magic,0.03#0.03,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_HEART_DEMON,,,,80,,5,,80,,,,,,,0,0,0,0,0,,,100#2,,0,,6,,,,HP#Magic,0.05#0.05,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_HEART_DEMON,,,,100,,5,,100,,,,,,,0,0,0,0,0,,,130#2,,0,,5,,,,HP#Magic,0.07#0.07,Percentage#Percentage,Hero,,,,
PASSIVE_ANNIHILATION,90103,湮灭,LOC_SKILL_NAMECN_PASSIVE_ANNIHILATION,1,,LOC_SKILL_DES_DETAIL_PASSIVE_ANNIHILATION,LOC_SKILL_DES_DETAIL_PASSIVE_ANNIHILATION,Magical,火球伤害范围,4,,,,,,,,,,,0,0.35,500,0,0,0,Enemy,,,0,ICON_PASSIVE_ANNIHILATION,0,900,,,,,,Hero,TRUE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
