_ID,_VALUE,ConditionType:string,ConditionParam1:int[],#Remark:string
PINNACLE_ARENA_PARAM_BATTLE_TIME,1,BattleTime,90,战斗最大时长
PINNACLE_ARENA_PARAM_1REWARD,2,1Reward,7000001,冠军奖励
,,,7100001,
,,,7200001,
PINNACLE_ARENA_PARAM_2REWARD,3,2Reward,7000002,亚军奖励
,,,7100002,
,,,7200002,
PINNACLE_ARENA_PARAM_4REWARD,4,4Reward,7000003,4强奖励
,,,7100003,
,,,7200003,
PINNACLE_ARENA_PARAM_8REWARD,5,8Reward,7000004,8强奖励
,,,7100004,
,,,7200004,
PINNACLE_ARENA_PARAM_16REWARD,6,16Reward,7000005,16强奖励
,,,7100005,
,,,7200005,
PINNACLE_ARENA_PARAM_32REWARD,7,32Reward,7000006,32强奖励
,,,7100006,
,,,7200006,
PINNACLE_ARENA_PARAM_64REWARD,8,64Reward,7000007,64强奖励
,,,7100007,
,,,7200007,
PINNACLE_ARENA_PARAM_128REWARD,9,128Reward,7000008,128强奖励
,,,7100008,
,,,7200008,
PINNACLE_ARENA_PARAM_128_PERMANENT_FRAME,34,128PermanentFrame,790001,128强头像框
PINNACLE_ARENA_PARAM_8_PERMANENT_FRAME,35,8PermanentFrame,790002,8强头像框
PINNACLE_ARENA_PARAM_1_PERMANENT_FRAME,36,1PermanentFrame,790003,冠军头像框
PINNACLE_ARENA_PARAM_3CONTINUOUS_PERMANENT_FRAME,37,3ContinuousPermanentFrame,790004,连冠头像框
PINNACLE_ARENA_PARAM_BATTLE_NUMBER,38,BattleNum,128,季后赛开启人数最低要求
PINNACLE_ARENA_PARAM_QUIZ_MONEY,39,QuizMoney,43200,竞猜筹码等同挂机时间
PINNACLE_ARENA_PARAM_PERMANENT_FRAME_NUMBER,40,PermanentFrameNumber,3,需求连贯次数
PINNACLE_ARENA_PARAM_MONSTER_HP_RATE,41,MonsterHpRate,200,魔物血量倍数/100
PINNACLE_ARENA_PARAM_SCROLL_HP_RATE,42,ScrollHpRate,200,随从血量倍数/100
PINNACLE_ARENA_PARAM_AI_DELAY_TIME,43,AiDelayTime,30,未进入战斗的AI逻辑延续判定/10
