_ID,_VALUE,NameKey:loc,Score:int,UiIcon:string,Reward:id[],RewardNum:int[]
PINNACLE_ARENA_RANK_1,1,LOC_BATTLE_RANK_1,0,icon_SummonerDuel_Novice,ITEM_CRYSTAL,50
,,,,,ITEM_GOLD,2250000
PINNACLE_ARENA_RANK_2,2,LOC_BATTLE_RANK_2,1100,icon_SummonerDuel_Bronze_III,ITEM_CRYSTAL,80
,,,,,ITEM_GOLD,2500000
,,,,,ITEM_NORMAL_REFINED_STONE,10
PINNACLE_ARENA_RANK_3,3,LOC_BATTLE_RANK_3,1200,icon_SummonerDuel_Bronze_II,ITEM_CRYSTAL,100
,,,,,ITEM_GOLD,2750000
,,,,,ITEM_NORMAL_REFINED_STONE,15
PINNACLE_ARENA_RANK_4,4,LOC_BATTLE_RANK_4,1300,icon_SummonerDuel_Bronze_I,ITEM_CRYSTAL,150
,,,,,ITEM_GOLD,3000000
,,,,,ITEM_NORMAL_REFINED_STONE,20
PINNACLE_ARENA_RANK_5,5,LOC_BATTLE_RANK_5,1400,icon_SummonerDuel_Silver_III,ITEM_CRYSTAL,200
,,,,,ITEM_GOLD,3250000
,,,,,ITEM_NORMAL_REFINED_STONE,25
PINNACLE_ARENA_RANK_6,6,LOC_BATTLE_RANK_6,1500,icon_SummonerDuel_Silver_II,ITEM_CRYSTAL,250
,,,,,ITEM_GOLD,3500000
,,,,,ITEM_NORMAL_REFINED_STONE,30
PINNACLE_ARENA_RANK_7,7,LOC_BATTLE_RANK_7,1600,icon_SummonerDuel_Silver_I,ITEM_CRYSTAL,300
,,,,,ITEM_GOLD,3750000
,,,,,ITEM_NORMAL_REFINED_STONE,35
,,,,,ITEM_RANDOM_EQUIPMENT_SET_19,2
PINNACLE_ARENA_RANK_8,8,LOC_BATTLE_RANK_8,1700,icon_SummonerDuel_Gold_III,ITEM_CRYSTAL,350
,,,,,ITEM_GOLD,4000000
,,,,,ITEM_NORMAL_REFINED_STONE,40
,,,,,ITEM_RANDOM_EQUIPMENT_SET_19,3
PINNACLE_ARENA_RANK_9,9,LOC_BATTLE_RANK_9,1800,icon_SummonerDuel_Gold_II,ITEM_CRYSTAL,400
,,,,,ITEM_GOLD,4250000
,,,,,ITEM_NORMAL_REFINED_STONE,45
,,,,,ITEM_RANDOM_EQUIPMENT_SET_19,4
PINNACLE_ARENA_RANK_10,10,LOC_BATTLE_RANK_10,1900,icon_SummonerDuel_Gold_I,ITEM_CRYSTAL,450
,,,,,ITEM_GOLD,4500000
,,,,,ITEM_NORMAL_REFINED_STONE,50
,,,,,ITEM_RANDOM_EQUIPMENT_SET_20,2
PINNACLE_ARENA_RANK_11,11,LOC_BATTLE_RANK_11,2000,icon_SummonerDuel_Platinum_III,ITEM_CRYSTAL,500
,,,,,ITEM_GOLD,4750000
,,,,,ITEM_NORMAL_REFINED_STONE,55
,,,,,ITEM_RANDOM_EQUIPMENT_SET_20,3
PINNACLE_ARENA_RANK_12,12,LOC_BATTLE_RANK_12,2100,icon_SummonerDuel_Platinum_II,ITEM_CRYSTAL,550
,,,,,ITEM_GOLD,5000000
,,,,,ITEM_NORMAL_REFINED_STONE,60
,,,,,ITEM_RANDOM_EQUIPMENT_SET_20,4
PINNACLE_ARENA_RANK_13,13,LOC_BATTLE_RANK_13,2200,icon_SummonerDuel_Platinum_I,ITEM_CRYSTAL,600
,,,,,ITEM_GOLD,6000000
,,,,,ITEM_NORMAL_REFINED_STONE,65
,,,,,ITEM_RANDOM_EQUIPMENT_SET_21,2
PINNACLE_ARENA_RANK_14,14,LOC_BATTLE_RANK_14,2300,icon_SummonerDuel_Diamond_III,ITEM_CRYSTAL,650
,,,,,ITEM_GOLD,7000000
,,,,,ITEM_NORMAL_REFINED_STONE,70
,,,,,ITEM_RANDOM_EQUIPMENT_SET_21,3
PINNACLE_ARENA_RANK_15,15,LOC_BATTLE_RANK_15,2600,icon_SummonerDuel_Diamond_II,ITEM_CRYSTAL,700
,,,,,ITEM_GOLD,8000000
,,,,,ITEM_NORMAL_REFINED_STONE,75
,,,,,ITEM_RANDOM_EQUIPMENT_SET_21,4
PINNACLE_ARENA_RANK_16,16,LOC_BATTLE_RANK_16,3100,icon_SummonerDuel_Diamond_I,ITEM_CRYSTAL,750
,,,,,ITEM_GOLD,9000000
,,,,,ITEM_NORMAL_REFINED_STONE,80
,,,,,ITEM_RANDOM_EQUIPMENT_SET_21,5
PINNACLE_ARENA_RANK_17,17,LOC_BATTLE_RANK_17,3600,icon_SummonerDuel_Grandmaster,ITEM_CRYSTAL,800
,,,,,ITEM_GOLD,10000000
,,,,,ITEM_NORMAL_REFINED_STONE,100
,,,,,ITEM_RANDOM_EQUIPMENT_SET_21,6
