_ID,_VALUE,Name:loc,Description:loc[],SubLevel:int[],SubLevelName:loc[],KnightLevelRequired:int[],OutputItem1:id[],OutputItem1MinCount:int[],OutputItem1MaxCount:int[],OutputItem2:id[],OutputItem2MinCount:int[],OutputItem2MaxCount:int[],OutputItem3:id[],OutputItem3MinCount:int[],OutputItem3MaxCount:int[],OutputItem4:id[],OutputItem4MinCount:int[],OutputItem4MaxCount:int[],OutputItem5:id[],OutputItem5MinCount:int[],OutputItem5MaxCount:int[],MapLevel:id[],JammingRule:string[],MondayChallengeCount:int,TuesdayChallengeCount:int,WednesdayChallengeCount:int,ThursdayChallengeCount:int,FridayChallengeCount:int,SaturdayChallengeCount:int,SundayChallengeCount:int,TitleName:loc,UILevelRewardInfo:loc,UILevelCharacterIcon:string,UIDifficultCharacterIcon:string,MondayBonusTimes:int,TuesdayBonusTimes:int,WednesdayBonusTimes:int,ThursdayBonusTimes:int,FridayBonusTimes:int,SaturdayBonusTimes:int,SundayBonusTimes:int,RecommendedCP:int[]
ATTACKON_GOLD,1,LOC_GOTO_GOLD_ATTACKON_DES,,1,LOC_PLAYMODEATTACKON_SUBLEVELNAME_1,21,ITEM_GOLD,100000,100000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV1_1,AttackOnRule_Gold_1,4,4,4,4,4,4,4,LOC_GAMEPLAY_ATTACK_ON_GOLD_COINS,LOC_PLAYMODEATTACKON_UILEVELREWARDINFO_GOLD,Pose_Cat_001,BTN_Click_Cat_001,2,1,2,1,2,1,1,20
,,,,4,LOC_PLAYMODEATTACKON_SUBLEVELNAME_2,21,ITEM_GOLD,200000,200000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV2_1,AttackOnRule_Gold_2,,,,,,,,,,,,,,,,,,,40
,,,,7,LOC_PLAYMODEATTACKON_SUBLEVELNAME_3,21,ITEM_GOLD,400000,400000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV3_1,AttackOnRule_Gold_3,,,,,,,,,,,,,,,,,,,70
,,,,10,LOC_PLAYMODEATTACKON_SUBLEVELNAME_4,40,ITEM_GOLD,600000,600000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV4_1,AttackOnRule_Gold_4,,,,,,,,,,,,,,,,,,,100
,,,,13,LOC_PLAYMODEATTACKON_SUBLEVELNAME_5,55,ITEM_GOLD,700000,700000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV5_1,AttackOnRule_Gold_5,,,,,,,,,,,,,,,,,,,140
,,,,16,LOC_PLAYMODEATTACKON_SUBLEVELNAME_6,70,ITEM_GOLD,800000,800000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV6_1,AttackOnRule_Gold_6,,,,,,,,,,,,,,,,,,,180
,,,,19,LOC_PLAYMODEATTACKON_SUBLEVELNAME_7,85,ITEM_GOLD,900000,900000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_GOLD_LV7_1,AttackOnRule_Gold_7,,,,,,,,,,,,,,,,,,,220
ATTACKON_SOUL,2,LOC_GOTO_SOUL_ATTACKON_DES,,2,LOC_PLAYMODEATTACKON_SUBLEVELNAME_1,31,ITEM_BATTLE_SOUL,20000,20000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV1_1,AttackOnRule_Soul_1,4,4,4,4,4,4,4,LOC_GAMEPLAY_ATTACK_ON_ZEN_SOUL,LOC_PLAYMODEATTACKON_UILEVELREWARDINFO_SOUL,Pose_Cat_002,BTN_Click_Cat_002,1,2,1,2,1,1,1,25
,,,,5,LOC_PLAYMODEATTACKON_SUBLEVELNAME_2,31,ITEM_BATTLE_SOUL,40000,40000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV2_1,AttackOnRule_Soul_2,,,,,,,,,,,,,,,,,,,45
,,,,8,LOC_PLAYMODEATTACKON_SUBLEVELNAME_3,31,ITEM_BATTLE_SOUL,80000,80000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV3_1,AttackOnRule_Soul_3,,,,,,,,,,,,,,,,,,,75
