_ID,_VALUE,PlayerInfoType:string,UnlockConditionType:string,UnlockConditionFactor1:int,UnlockConditionFactor2:int,AvatarFrameName:loc,UnlockDes:loc,Resource:string,UISpriteIcon:string,FXResource:string,IsShow:bool
PALYERINFO_1001,1001,HeadPortrait,Default,,,LOC_PLAYER_INFO_NAME_1001,LOC_PLAYER_INFO_DES_1001,ICON_HEAD_BON_GUN,,,TRUE
PALYERINFO_1002,1002,HeadPortrait,Default,,,LOC_PLAYER_INFO_NAME_1001,LOC_PLAYER_INFO_DES_1001,ICON_HEAD_DEVIRUCHI,,,TRUE
PALYERINFO_1003,1003,HeadPortrait,Default,,,LOC_PLAYER_INFO_NAME_1001,LOC_PLAYER_INFO_DES_1001,ICON_HEAD_SOHEE,,,TRUE
PALYERINFO_1004,1004,HeadPortrait,Default,,,LOC_PLAYER_INFO_NAME_1001,LOC_PLAYER_INFO_DES_1001,ICON_HEAD_MASTERING,,,TRUE
PALYERINFO_1037,1037,HeadPortrait,UpgradeHeroStar,3,801,LOC_HEROES_NAMECN_HERO_DARK_ILLUSION,LOC_PLAYER_INFO_DES_1037,ICON_HEAD_DARK_ILLUSION,,,TRUE
PALYERINFO_1038,1038,HeadPortrait,UpgradeHeroStar,3,802,LOC_HEROES_NAMECN_HERO_ATROCE,LOC_PLAYER_INFO_DES_1038,ICON_HEAD_ATROCE,,,TRUE
PALYERINFO_1039,1039,HeadPortrait,UpgradeHeroStar,3,803,LOC_HEROES_NAMECN_HERO_LEIB_OLMAI,LOC_PLAYER_INFO_DES_1039,ICON_HEAD_LEIB_OLMAI,,,TRUE
PALYERINFO_1040,1040,HeadPortrait,UpgradeHeroStar,3,804,LOC_HEROES_NAMECN_HERO_GRYPHON,LOC_PLAYER_INFO_DES_1040,ICON_HEAD_GRYPHON,,,TRUE
PALYERINFO_1041,1041,HeadPortrait,UpgradeHeroStar,3,805,LOC_HEROES_NAMECN_HERO_NIGHTMARE_TERROR,LOC_PLAYER_INFO_DES_1041,ICON_HEAD_NIGHTMARE_TERROR,,,TRUE
PALYERINFO_1042,1042,HeadPortrait,UpgradeHeroStar,3,806,LOC_HEROES_NAMECN_HERO_ORC_LORD,LOC_PLAYER_INFO_DES_1042,ICON_HEAD_ORC_LORD,,,TRUE
PALYERINFO_1043,1043,HeadPortrait,UpgradeHeroStar,3,807,LOC_HEROES_NAMECN_HERO_WANDER_MAN,LOC_PLAYER_INFO_DES_1043,ICON_HEAD_WANDER_MAN,,,TRUE
PALYERINFO_1044,1044,HeadPortrait,UpgradeHeroStar,3,808,LOC_HEROES_NAMECN_HERO_ALICE,LOC_PLAYER_INFO_DES_1044,ICON_HEAD_ALICE,,,TRUE
PALYERINFO_1045,1045,HeadPortrait,UpgradeHeroStar,3,809,LOC_HEROES_NAMECN_HERO_LOLI_RURI,LOC_PLAYER_INFO_DES_1045,ICON_HEAD_LOLI_RURI,,,TRUE
PALYERINFO_1046,1046,HeadPortrait,UpgradeHeroStar,3,810,LOC_HEROES_NAMECN_HERO_OWL_BARON,LOC_PLAYER_INFO_DES_1046,ICON_HEAD_OWL_BARON,,,TRUE
PALYERINFO_1047,1047,HeadPortrait,UpgradeHeroStar,3,811,LOC_HEROES_NAMECN_HERO_DEVILING,LOC_PLAYER_INFO_DES_1047,ICON_HEAD_DEVILING,,,TRUE
PALYERINFO_1048,1048,HeadPortrait,UpgradeHeroStar,3,812,LOC_HEROES_NAMECN_HERO_MINI_DEMON,LOC_PLAYER_INFO_DES_1048,ICON_HEAD_MINI_DEMON,,,TRUE
PALYERINFO_1049,1049,HeadPortrait,UpgradeHeroStar,3,813,LOC_HEROES_NAMECN_HERO_GOLDEN_BUG,LOC_PLAYER_INFO_DES_1049,ICON_HEAD_GOLDEN_BUG,,,TRUE
PALYERINFO_1050,1050,HeadPortrait,UpgradeHeroStar,3,814,LOC_HEROES_NAMECN_HERO_DELETER,LOC_PLAYER_INFO_DES_1050,ICON_HEAD_DELETER,,,TRUE
PALYERINFO_1051,1051,HeadPortrait,UpgradeHeroStar,3,815,LOC_HEROES_NAMECN_HERO_ANGELING,LOC_PLAYER_INFO_DES_1051,ICON_HEAD_ANGELING,,,TRUE
PALYERINFO_1052,1052,HeadPortrait,UpgradeHeroStar,5,901,LOC_HEROES_NAMECN_HERO_DARK_LORD,LOC_PLAYER_INFO_DES_1052,ICON_HEAD_DARK_LORD,,,TRUE
PALYERINFO_1053,1053,HeadPortrait,UpgradeHeroStar,5,902,LOC_HEROES_NAMECN_HERO_BAPHOMET,LOC_PLAYER_INFO_DES_1053,ICON_HEAD_BAPHOMET,,,TRUE
PALYERINFO_1054,1054,HeadPortrait,UpgradeHeroStar,5,903,LOC_HEROES_NAMECN_HERO_OSIRIS,LOC_PLAYER_INFO_DES_1054,ICON_HEAD_OSIRIS,,,TRUE
PALYERINFO_1055,1055,HeadPortrait,UpgradeHeroStar,5,904,LOC_HEROES_NAMECN_HERO_EDDGA,LOC_PLAYER_INFO_DES_1055,ICON_HEAD_EDDGA,,,TRUE
PALYERINFO_1056,1056,HeadPortrait,UpgradeHeroStar,5,905,LOC_HEROES_NAMECN_HERO_PHREEONI,LOC_PLAYER_INFO_DES_1056,ICON_HEAD_PHREEONI,,,TRUE
PALYERINFO_1057,1057,HeadPortrait,UpgradeHeroStar,5,906,LOC_HEROES_NAMECN_HERO_DRAKE,LOC_PLAYER_INFO_DES_1057,ICON_HEAD_DRAKE,,,TRUE
PALYERINFO_1058,1058,HeadPortrait,UpgradeHeroStar,5,907,LOC_HEROES_NAMECN_HERO_DOPPELGANGER,LOC_PLAYER_INFO_DES_1058,ICON_HEAD_DOPPELGANGER,,,TRUE
PALYERINFO_1059,1059,HeadPortrait,UpgradeHeroStar,5,908,LOC_HEROES_NAMECN_HERO_TURTLE_GENERAL,LOC_PLAYER_INFO_DES_1059,ICON_HEAD_TURTLE_GENERAL,,,TRUE
PALYERINFO_1060,1060,HeadPortrait,UpgradeHeroStar,5,909,LOC_HEROES_NAMECN_HERO_ORK_HERO,LOC_PLAYER_INFO_DES_1060,ICON_HEAD_ORK_HERO,,,TRUE
PALYERINFO_1061,1061,HeadPortrait,UpgradeHeroStar,5,910,LOC_HEROES_NAMECN_HERO_MOONLIGHT,LOC_PLAYER_INFO_DES_1061,ICON_HEAD_MOONLIGHT,,,TRUE
PALYERINFO_1062,1062,HeadPortrait,UpgradeHeroStar,5,911,LOC_HEROES_NAMECN_HERO_GARM,LOC_PLAYER_INFO_DES_1062,ICON_HEAD_GARM,,,TRUE
PALYERINFO_1063,1063,HeadPortrait,UpgradeHeroStar,5,912,LOC_HEROES_NAMECN_HERO_G_RANDGRIS,LOC_PLAYER_INFO_DES_1063,ICON_HEAD_G_RANDGRIS,,,TRUE
PALYERINFO_1064,1064,HeadPortrait,UpgradeHeroStar,5,913,LOC_HEROES_NAMECN_HERO_TAO_GUNKA,LOC_PLAYER_INFO_DES_1064,ICON_HEAD_TAO_GUNKA,,,TRUE
PALYERINFO_1065,1065,HeadPortrait,UpgradeHeroStar,5,914,LOC_HEROES_NAMECN_HERO_MAYA,LOC_PLAYER_INFO_DES_1065,ICON_HEAD_MAYA,,,TRUE
PALYERINFO_1066,1066,HeadPortrait,UpgradeHeroStar,5,915,LOC_HEROES_NAMECN_HERO_MISTRESS,LOC_PLAYER_INFO_DES_1066,ICON_HEAD_MISTRESS,,,TRUE
PALYERINFO_1067,1067,HeadPortrait,UpgradeHeroStar,5,916,LOC_HEROES_NAMECN_HERO_SEYREN,LOC_PLAYER_INFO_DES_1067,ICON_HEAD_SEYREN,,,TRUE
PALYERINFO_1068,1068,HeadPortrait,UpgradeHeroStar,5,917,LOC_HEROES_NAMECN_HERO_SHECI,LOC_PLAYER_INFO_DES_1068,ICON_HEAD_SHECI,,,TRUE
PALYERINFO_1069,1069,HeadPortrait,UpgradeHeroStar,5,918,LOC_HEROES_NAMECN_HERO_G_EREMES,LOC_PLAYER_INFO_DES_1069,ICON_HEAD_G_EREMES,,,TRUE
PALYERINFO_1070,1070,HeadPortrait,UpgradeHeroStar,5,919,LOC_HEROES_NAMECN_HERO_G_RANDEL,LOC_PLAYER_INFO_DES_1070,ICON_HEAD_G_RANDEL,,,TRUE
PALYERINFO_1071,1071,HeadPortrait,UpgradeHeroStar,5,920,LOC_HEROES_NAMECN_HERO_MAGALETA,LOC_PLAYER_INFO_DES_1071,ICON_HEAD_MAGALETA,,,TRUE
PALYERINFO_1072,1072,HeadPortrait,UpgradeHeroStar,5,921,LOC_HEROES_NAMECN_HERO_G_KATRINN,LOC_PLAYER_INFO_DES_1072,ICON_HEAD_G_KATRINN,,,TRUE
PALYERINFO_1073,1073,HeadPortrait,UpgradeHeroStar,5,922,LOC_HEROES_NAMECN_HERO_DARK_SNAKE_LORD,LOC_PLAYER_INFO_DES_1073,ICON_HEAD_DARK_SNAKE_LORD,,,TRUE
PALYERINFO_1074,1074,HeadPortrait,UpgradeHeroStar,5,923,LOC_HEROES_NAMECN_HERO_KNIGHT_OF_WINDSTORM,LOC_PLAYER_INFO_DES_1074,ICON_HEAD_KNIGHT_OF_WINDSTORM,,,TRUE
PALYERINFO_1075,1075,HeadPortrait,UpgradeHeroStar,5,924,LOC_HEROES_NAMECN_HERO_DRACULA_BARON,LOC_PLAYER_INFO_DES_1075,ICON_HEAD_DRACULA,,,TRUE
PALYERINFO_1076,1076,HeadPortrait,Drop,,70011,LOC_PLAYER_INFO_NAME_3011,LOC_PLAYER_INFO_DES_3011,Spring_Festival,,,TRUE
PALYERINFO_1077,1077,HeadPortrait,UpgradeHeroStar,5,925,LOC_HEROES_NAMECN_HERO_HARWORD,LOC_PLAYER_INFO_DES_1077,HARWORD,,,TRUE
PALYERINFO_1078,1078,HeadPortrait,UpgradeHeroStar,5,926,LOC_HEROES_NAMECN_HERO_CELIA,LOC_PLAYER_INFO_DES_1078,CELIA,,,TRUE
PALYERINFO_1079,1079,HeadPortrait,UpgradeHeroStar,5,927,LOC_HEROES_NAMECN_HERO_BACSOJIN,LOC_PLAYER_INFO_DES_1079,BACSOJIN,,,TRUE
PALYERINFO_1080,1080,HeadPortrait,UpgradeHeroStar,5,928,LOC_HEROES_NAMECN_HERO_VESPER,LOC_PLAYER_INFO_DES_1080,APOCALIPS,,,TRUE
PALYERINFO_1081,1081,HeadPortrait,UpgradeHeroStar,5,929,LOC_HEROES_NAMECN_HERO_GLOOMUNDERNIGHT,LOC_PLAYER_INFO_DES_1081,GLOOMUNDERNIGHT,,,TRUE
PALYERINFO_1082,1082,HeadPortrait,UpgradeHeroStar,5,930,LOC_HEROES_NAMECN_HERO_LADY_TANEE,LOC_PLAYER_INFO_DES_1082,Lady_Tanee,,,TRUE
PALYERINFO_1083,1083,HeadPortrait,UpgradeHeroStar,5,931,LOC_HEROES_NAMECN_HERO_LORD_OF_DEATH,LOC_PLAYER_INFO_DES_1083,Lord_of_Death,,,TRUE
PALYERINFO_1084,1084,HeadPortrait,UpgradeHeroStar,5,932,LOC_HEROES_NAMECN_HERO_CLOWN_ALPHOCCIO,LOC_PLAYER_INFO_DES_1084,Clown_Alphoccio,,,TRUE
PALYERINFO_1085,1085,HeadPortrait,UpgradeHeroStar,5,933,LOC_HEROES_NAMECN_HERO_GYPSY_TRENTINI,LOC_PLAYER_INFO_DES_1085,Gypsy_Trentini,,,TRUE
PALYERINFO_1086,1086,HeadPortrait,UpgradeHeroStar,5,934,LOC_HEROES_NAMECN_HERO_PHARAOH,LOC_PLAYER_INFO_DES_1086,Pharaoh,,,TRUE
PALYERINFO_1087,1087,HeadPortrait,UpgradeHeroStar,5,935,LOC_HEROES_NAMECN_HERO_AMON_RA,LOC_PLAYER_INFO_DES_1087,Amon_Ra,,,TRUE
PALYERINFO_1088,1088,HeadPortrait,UpgradeHeroStar,5,936,LOC_HEROES_NAMECN_HERO_CHEN,LOC_PLAYER_INFO_DES_1088,Chen,,,TRUE
PALYERINFO_1089,1089,HeadPortrait,UpgradeHeroStar,5,937,LOC_HEROES_NAMECN_HERO_STALKER_GERTIE,LOC_PLAYER_INFO_DES_1089,Stalker_Gertie,,,TRUE
