_ID,_VALUE,ConditionType:string,ConditionParam1:int[],ConditionParam2:int[],ConditionParam3:int[],#Remark:string
POINTS_MARKET_DAILY_TASK_PROPORTION,1,DailyTaskProportion,750,,,每日完成一个任务可获得积分
POINTS_MARKET_DAILY_TASK_LIMIT,2,DailyTaskLimit,150000,,,每日可获得任务积分上限
POINTS_MARKET_GOLD_PROPORTION,3,GoldProportion,10,,,消耗波利币兑换积分比例
POINTS_MARKET_GOLD_LIMIT,4,GoldLimit,150000,,,活动期间通过钻石获得积分上限
POINTS_MARKET_ITEM_DISCOUNT_PROPORTION,5,ItemDiscountProportion,100003,60,,道具折扣券及对应折扣比例
,,,100004,80,,
,,,100005,90,,
POINTS_MARKET_ITEM_MAX_DROP,6,ItemMaxDrop,100004,10,,折扣券每日最大掉落数量
POINTS_MARKET_ITEM_GUARANTEE_PROBABILITY,7,GuaranteeProbability,100003,15,,最优惠折扣券保底触发概率
,,,100003,30,,
POINTS_MARKET_GUILD_WAR_DROP,8,GuildWarDrop,8000001,0,0,公会战玩法掉落道组、掉落概率、每次未掉落增加概率
POINTS_MARKET_ARENA_DROP,9,ArenaDrop,8000002,0,0,竞技场玩法掉落道组、掉落概率、每次未掉落增加概率
POINTS_MARKET_PINNACLE_ARENA_DROP,10,PinnacleArenaDrop,8000003,0,0,巅峰竞技玩法掉落道组、掉落概率、每次未掉落增加概率
POINTS_MARKET_SUMMONER_DROP,11,SummonerDrop,8000004,0,0,召唤师竞技玩法掉落道组、掉落概率、每次未掉落增加概率
POINTS_MARKET_BIDDING_CANCEL,12,BiddingCancel,10,,,竞拍取消报价折损百分比
POINTS_MARKET_BIDDING_ITEM,13,BiddingItem,662,2,200000,装备箱竞拍道具ID、数量、底价
,,,89002,3,350000,洗涤剂竞拍道具ID、数量、底价
,,,664,1,100000,宝石强化箱竞拍道具ID、数量、底价
POINTS_MARKET_BIDDING_SUCCESS_NUM1,14,BiddingSuccessNum1,10,23055,1,竞拍成功次数及对应奖励、数量
POINTS_MARKET_BIDDING_SUCCESS_NUM2,15,BiddingSuccessNum2,20,23056,1,竞拍成功次数及对应奖励、数量
POINTS_MARKET_BIDDING_SUCCESS_NUM3,16,BiddingSuccessNum3,30,23057,1,竞拍成功次数及对应奖励、数量
POINTS_MARKET_BIDDING_SUCCESS_NUM4,23,BiddingSuccessNum4,40,522,1,竞拍成功次数及对应奖励、数量
,,,,523,1,
POINTS_MARKET_BIDDING_SUCCESS_NUM5,24,BiddingSuccessNum5,50,522,2,竞拍成功次数及对应奖励、数量
,,,,523,2,
POINTS_MARKET_CONSUME_REWARD_1,17,ConsumeReward1,30000,14,250,消耗积分数量及对应奖励1
,,,,89001,3,
POINTS_MARKET_CONSUME_REWARD_2,18,ConsumeReward2,60000,14,250,消耗积分数量及对应奖励2
,,,,89001,3,
POINTS_MARKET_CONSUME_REWARD_3,19,ConsumeReward3,90000,14,250,消耗积分数量及对应奖励3
,,,,89001,3,
POINTS_MARKET_CONSUME_REWARD_4,20,ConsumeReward4,120000,14,250,消耗积分数量及对应奖励4
,,,,89001,3,
POINTS_MARKET_CONSUME_REWARD_5,21,ConsumeReward5,150000,14,250,消耗积分数量及对应奖励5
,,,,89001,3,
POINTS_MARKET_CONSUME_REWARD_6,22,ConsumeReward6,180000,14,500,消耗积分数量及对应奖励6
,,,,661,1,
