_ID,_VALUE,PlayerLevel:int,MinVip:int[],MaxVip:int[],IdNum:int[],Item1:id[],Num1:int[],Item2:id[],Num2:int[],Item3:id[],Num3:int[],Item4:id[],Num4:int[],Shine:int[][],Des1:loc[],Des2:loc[]
POPUP_BAG_1,1,250,0,0,1001,ITEM_CRYSTAL,200,ITEM_HERO_EVOLVE_STONE,2000,ITEM_BATTLE_SOUL,50000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_1,LOC_POPUPBAG_DESCRIPTION2_1
,,,1,3,1002,ITEM_CRYSTAL,1000,ITEM_HERO_EVOLVE_STONE,3000,ITEM_BATTLE_SOUL,100000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_2,LOC_POPUPBAG_DESCRIPTION2_1
,,,4,5,1003,ITEM_TREASURE_EXCHANGE_TICKET,1,ITEM_HERO_EVOLVE_STONE,3000,ITEM_BATTLE_SOUL,150000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
,,,6,6,1004,ITEM_TREASURE_EXCHANGE_TICKET,1,ITEM_HERO_EVOLVE_STONE,6000,ITEM_BATTLE_SOUL,300000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
,,,7,7,1005,ITEM_TREASURE_EXCHANGE_TICKET,2,ITEM_HERO_EVOLVE_STONE,8000,ITEM_BATTLE_SOUL,500000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
,,,8,10,1006,ITEM_BANQUET_TICKET,10,ITEM_HERO_EVOLVE_STONE,10000,ITEM_BATTLE_SOUL,800000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
,,,11,15,1007,ITEM_BANQUET_TICKET,20,ITEM_HERO_EVOLVE_STONE,15000,ITEM_BATTLE_SOUL,1000000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
POPUP_BAG_2,2,250,0,0,1001,ITEM_TREASURE_EXCHANGE_TICKET_SPLINTER,3,ITEM_HERO_EVOLVE_STONE,2000,ITEM_BATTLE_SOUL,50000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_5,LOC_POPUPBAG_DESCRIPTION2_1
,,,1,3,1002,ITEM_TREASURE_EXCHANGE_TICKET_SPLINTER,8,ITEM_HERO_EVOLVE_STONE,4000,ITEM_BATTLE_SOUL,200000,None,0,1|1|1|0,LOC_POPUPBAG_DESCRIPTION1_2,LOC_POPUPBAG_DESCRIPTION2_1
,,,4,5,1003,ITEM_TREASURE_EXCHANGE_TICKET,1,ITEM_SPAR_KEY,6,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
