_INDEX,Id:string,ProductId:string,IdNum:int,Type:string,PriceTier:int,Hide:bool,DisplayOrder:int,Name:string,GMOrderId:int,NameKey:loc,Gem:int,VipExp:int,FirstBonusGem:int,DefaultBonusGem:int,IsPromotion:bool,AvailableChannelId:int{},Tag:string,Platform:string,CNY:int,USD:int,TWD:int,HKD:int,MOP:int,KRW:int,THB:int,PHP:int,SGD:int,IDR:int,MYR:int
0,CRYSTAL_PRICE_Tier_1,qs_d1,1,crystal,1,FALSE,3,一小捧钻石,1,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_1,72,72,72,0,FALSE,0|1|2,test,test,600,99,3300,800,600,120000,2900,4900,148,1500000,390
1,CRYSTAL_PRICE_Tier_2,qs_d2,2,crystal,2,FALSE,4,一小堆钻石,2,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_2,360,360,360,15,FALSE,0|1|2,test,test,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
2,CRYSTAL_PRICE_Tier_3,qs_d3,3,crystal,3,FALSE,5,一大堆钻石,3,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_3,720,720,720,60,FALSE,0|1|2,test,test,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
3,CRYSTAL_PRICE_Tier_4,qs_d4,4,crystal,4,FALSE,6,一小袋钻石,4,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_4,1800,1800,1800,145,FALSE,0|1|2,test,test,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
4,CRYSTAL_PRICE_Tier_5,qs_d5,5,crystal,5,FALSE,7,一大袋钻石,5,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_5,3600,3600,3600,600,FALSE,0|1|2,test,test,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
5,CRYSTAL_PRICE_Tier_6,qs_d6,6,crystal,6,FALSE,8,一小箱钻石,6,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_6,5040,5040,5040,1260,TRUE,0|1|2,test,test,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
6,CRYSTAL_PRICE_Tier_7,qs_d7,7,crystal,7,FALSE,9,一大箱钻石,7,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_7,7200,7200,7200,2700,TRUE,0|1|2,test,test,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
7,CRYSTAL_PRICE_Bag_1,qs_bag1,1001,bag,1,FALSE,0,打折礼包1,1,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,72,0,0,FALSE,0|1|2,test,test,600,99,3300,800,600,120000,2900,4900,148,1500000,390
8,CRYSTAL_PRICE_Bag_2,qs_bag2,1002,bag,2,FALSE,0,打折礼包2,2,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_02,0,360,0,0,FALSE,0|1|2,test,test,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
9,CRYSTAL_PRICE_Bag_3,qs_bag3,1003,bag,3,FALSE,0,打折礼包3,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_03,0,720,0,0,FALSE,0|1|2,test,test,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
10,CRYSTAL_PRICE_Bag_4,qs_bag4,1004,bag,4,FALSE,0,打折礼包4,6,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_04,0,1800,0,0,FALSE,0|1|2,test,test,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
11,CRYSTAL_PRICE_Bag_5,qs_bag5,1005,bag,5,FALSE,0,打折礼包5,7,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_05,0,3600,0,0,FALSE,0|1|2,test,test,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
12,CRYSTAL_PRICE_Bag_6,qs_bag6,1006,bag,6,FALSE,0,打折礼包6,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_06,0,5040,0,0,FALSE,0|1|2,test,test,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
13,CRYSTAL_PRICE_Bag_7,qs_bag7,1007,bag,7,FALSE,0,打折礼包7,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_07,0,7200,0,0,FALSE,0|1|2,test,test,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
14,CRYSTAL_PRICE_Bag_0899,qs_bag0899,899,bag,899,FALSE,0,打折礼包899,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,650,0,0,FALSE,0|1|2,test,test,6000,899,29000,6800,6000,1100000,27900,44900,1298,12900000,3790
