_ID,_VALUE,#Name:string,Name:loc,Icon:string,AttrDes:loc,ResonanceType:string,ActivationCondition:id[],ConditionNum:int[],ConditionType:string,Exclusive:id{},ChoseType:string[],PassiveBuffId:id[],PassiveBuffLv:int[],AttributeType:string[][],AttributeNum:decimal[][],AttributeKind:string[][],AttributeDuration:decimal[][],#Parameter1Name:string[],Parameter1:decimal[],#Parameter2Name:string[],Parameter2:decimal[],#Parameter3Name:string[],Parameter3:decimal[],FxName:id
RESONANCE_1,1,3风,LOC_RESONANCE_NAME_ELEMENT_1,ICON_ELEMENT_RESONANCE_RAPID_WINND,LOC_RESONANCE_DESC_ELEMENT_NEW_1,Element,ELEMENT_TYPE_WIND,3,All,,Wind,,1,AttackSpeed,0.08,Percentage,,,,,,,,EFFECT_RESONANCE_1
RESONANCE_2,2,6风,LOC_RESONANCE_NAME_ELEMENT_2,ICON_ELEMENT_RESONANCE_HURRICANE_RAGE,LOC_RESONANCE_DESC_ELEMENT_NEW_2,Element,ELEMENT_TYPE_WIND,6,All,,All,,1,AttackSpeed,0.08,Percentage,,,,,,,,EFFECT_RESONANCE_2
,,,,,,,,,,,Wind,,1,CriticalHit,0.06,Percentage,,,,,,,,
RESONANCE_3,3,3火,LOC_RESONANCE_NAME_ELEMENT_3,ICON_ELEMENT_RESONANCE_QUICK_FLAME,LOC_RESONANCE_DESC_ELEMENT_NEW_3,Element,ELEMENT_TYPE_FIRE,3,All,,Fire,,1,Damage#Magic,0.08#0.08,Percentage#Percentage,,,,,,,,EFFECT_RESONANCE_3
,,,,,,,,,,,,,1,,,,,,,,,,,
RESONANCE_4,4,6火,LOC_RESONANCE_NAME_ELEMENT_4,ICON_ELEMENT_RESONANCE_ENERGY_FLAME,LOC_RESONANCE_DESC_ELEMENT_NEW_4,Element,ELEMENT_TYPE_FIRE,6,All,,Fire,,1,Damage#Magic#HealthSteal,0.12#0.12#0.1,Percentage#Percentage#Percentage,,,,,,,,EFFECT_RESONANCE_4
,,,,,,,,,,,,,1,,,,,,,,,,,
RESONANCE_5,5,3地,LOC_RESONANCE_NAME_ELEMENT_5,ICON_ELEMENT_RESONANCE_FOREST_SONG,LOC_RESONANCE_DESC_ELEMENT_NEW_5,Element,ELEMENT_TYPE_EARTH,3,All,,Earth,,1,Armor#Armor,0.08#100,Percentage#Constant,,,,,,,,EFFECT_RESONANCE_5
,,,,,,,,,,,,,1,,,,,,,,,,,
RESONANCE_6,6,6地,LOC_RESONANCE_NAME_ELEMENT_6,ICON_ELEMENT_RESONANCE_EARTH_SHIELD,LOC_RESONANCE_DESC_ELEMENT_NEW_6,Element,ELEMENT_TYPE_EARTH,6,All,,All,,1,Armor#MagicDef,200#200,Constant#Constant,,,,,,,,EFFECT_RESONANCE_6
