_ID,_VALUE,ConditionType:string,ConditionParam1:int[],ConditionParam2:int[],Key:loc[],UISpriteIcon:string[],#Remark:string
RESOURCE_ACTIVITY_REFRESH_COUPON,1,RefreshCouponNum,1,78,,,刷新消耗券数量
RESOURCE_ACTIVITY_REFRESH_GOLD,2,RefreshGoldNum,50,14,,,刷新消耗G币数量
RESOURCE_ACTIVITY_REWARD_MONEY_N_TIME,3,RewardMoneyNTime,2000,80,,,钱币购买奖励倍数/1000及权重
,,,3000,20,,,
,,,4000,0,,,
RESOURCE_ACTIVITY_SUPER_DOUBLE_MAGNIFICATION,4,SuperDoubleMagnification,100,,,,超级加倍倍率/1000
RESOURCE_ACTIVITY_SUPER_DOUBLE_MULTIPLE,5,SuperDoublemultiple,2000,,,,超级加倍倍数/1000
RESOURCE_ACTIVITY_ITEM_CATEGORY,6,ItemCategory,50010,1,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_1,ICON_Expectation_Reward_Monster,道具对应分类
,,,50012,1,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_1,ICON_Expectation_Reward_Monster,
,,,10004,1,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_1,ICON_Expectation_Reward_Monster,
,,,61,1,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_1,ICON_Expectation_Reward_Monster,
,,,50020,2,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_2,ICON_Expectation_Reward_Star,
,,,50021,2,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_2,ICON_Expectation_Reward_Star,
,,,50015,2,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_2,ICON_Expectation_Reward_Star,
,,,50011,2,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_2,ICON_Expectation_Reward_Star,
,,,50002,3,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_3,ICON_Expectation_Reward_Essence,
,,,45002,3,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_3,ICON_Expectation_Reward_Essence,
,,,45001,3,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_3,ICON_Expectation_Reward_Essence,
,,,50003,3,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_3,ICON_Expectation_Reward_Essence,
,,,88001,4,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_4,ICON_Expectation_Reward_Equipment,
,,,88002,4,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_4,ICON_Expectation_Reward_Equipment,
,,,88003,4,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_4,ICON_Expectation_Reward_Equipment,
,,,89001,4,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_4,ICON_Expectation_Reward_Equipment,
,,,522,5,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_5,ICON_Expectation_Reward_Love,
,,,523,5,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_5,ICON_Expectation_Reward_Love,
,,,521,5,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_5,ICON_Expectation_Reward_Love,
,,,520,5,LOC_ACTIVITY_VIEW_GET_RESOURCE_CLASSIFICATION_5,ICON_Expectation_Reward_Love,
