_ID,_VALUE,#Remark:string,HeroId:id[]
ROBOT_HERO_1,1,1、2、3代表竞技场前3的魔物库,HERO_BAPHOMET
,,101开始代表各个品阶的魔物库,HERO_OSIRIS
,,,HERO_MISTRESS
,,,HERO_GRYPHON
,,,HERO_ORC_LORD
ROBOT_HERO_2,2,,HERO_G_RANDEL
,,,HERO_GARM
,,,HERO_ANGELING
,,,HERO_LOLI_RURI
,,,HERO_MARC
ROBOT_HERO_3,3,,HERO_G_RANDGRIS
,,,HERO_MOONLIGHT
,,,HERO_LEIB_OLMAI
,,,HERO_SOHEE
,,,HERO_WHISPER_BOSS
ROBOT_HERO_101,101,,HERO_MUMMY
,,,HERO_KOBOLD_3
,,,HERO_NIGHTMARE
,,,HERO_GOBLIN_2
,,,HERO_RAYDRIC
,,,HERO_BON_GUN
,,,HERO_GOBLIN_1
,,,HERO_KOBOLD_ARCHER
,,,HERO_OBEAUNE
,,,HERO_BARTLEY
,,,HERO_TYRRHENIA
ROBOT_HERO_102,102,,HERO_PETIT
,,,HERO_VAGABOND_WOLF
,,,HERO_KOBOLD_LEADER
,,,HERO_CAT_O_NINE_TAIL
,,,HERO_MINOROUS
,,,HERO_GOBLIN_LEADER
,,,HERO_HIGH_ORC
,,,HERO_JAKK
,,,HERO_ANTONIO
,,,HERO_SOHEE
,,,HERO_MASTERING
,,,HERO_MARC
,,,HERO_DEVIRUCHI
,,,HERO_GHOSTRING
,,,HERO_WHISPER_BOSS
,,,HERO_ISSUS
,,,HERO_VANESSA
,,,HERO_HAROLD
,,,HERO_HELENA
,,,HERO_DALEME
,,,HERO_GIORGILI
ROBOT_HERO_103,103,,HERO_DARK_ILLUSION
,,,HERO_ATROCE
,,,HERO_LEIB_OLMAI
,,,HERO_GRYPHON
,,,HERO_NIGHTMARE_TERROR
,,,HERO_ORC_LORD
,,,HERO_WANDER_MAN
,,,HERO_ALICE
,,,HERO_LOLI_RURI
,,,HERO_OWL_BARON
,,,HERO_DEVILING
,,,HERO_MINI_DEMON
,,,HERO_GOLDEN_BUG
,,,HERO_DELETER
,,,HERO_ANGELING
ROBOT_HERO_104,104,,HERO_DARK_LORD
,,,HERO_BAPHOMET
,,,HERO_OSIRIS
,,,HERO_EDDGA
,,,HERO_PHREEONI
,,,HERO_DRAKE
,,,HERO_DOPPELGANGER
,,,HERO_TURTLE_GENERAL
,,,HERO_ORK_HERO
,,,HERO_MOONLIGHT
,,,HERO_GARM
,,,HERO_G_RANDGRIS
,,,HERO_TAO_GUNKA
,,,HERO_MAYA
,,,HERO_MISTRESS
,,,HERO_SEYREN
,,,HERO_SHECI
,,,HERO_G_EREMES
,,,HERO_G_RANDEL
,,,HERO_MAGALETA
,,,HERO_G_KATRINN
