_ID,_VALUE,NameKey:id,CurrencyType:id,Price:int,GetCount:int,UISprite:string,VipLimit:int,VipLimitDes:id
RUNE_ITEM_PRICE_1,1,,ITEM_CRYSTAL,100,20,icon_Runes_L0,1,
RUNE_ITEM_PRICE_2,2,,ITEM_CRYSTAL,150,20,icon_Runes_L0,1,
RUNE_ITEM_PRICE_3,3,,ITEM_CRYSTAL,200,20,icon_Runes_L0,1,
RUNE_ITEM_PRICE_4,4,,ITEM_CRYSTAL,300,50,icon_Runes_L1,3,
RUNE_ITEM_PRICE_5,5,,ITEM_CRYSTAL,350,50,icon_Runes_L1,3,
RUNE_ITEM_PRICE_6,6,,ITEM_CRYSTAL,400,50,icon_Runes_L1,3,
RUNE_ITEM_PRICE_7,7,,ITEM_CRYSTAL,550,80,icon_Runes_L2,5,
RUNE_ITEM_PRICE_8,8,,ITEM_CRYSTAL,600,80,icon_Runes_L2,5,
RUNE_ITEM_PRICE_9,9,,ITEM_CRYSTAL,650,80,icon_Runes_L2,5,
RUNE_ITEM_PRICE_10,10,,ITEM_CRYSTAL,1200,150,icon_Runes_L3,6,
RUNE_ITEM_PRICE_11,11,,ITEM_CRYSTAL,1500,150,icon_Runes_L3,6,
RUNE_ITEM_PRICE_12,12,,ITEM_CRYSTAL,1800,150,icon_Runes_L3,6,
