_ID,_VALUE,EmblemId:id,ScrollId:id,ItemId:id,Num:int
SCROLL_PET_DECOMPOSITION_1,1,ITEM_SCROLL_EMBLEM_ATROCE_S,SCROLL_CHARA_ATROCE_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_2,2,ITEM_SCROLL_EMBLEM_BAPHOMET_S,SCROLL_CHARA_BAPHOMET_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_3,3,ITEM_SCROLL_EMBLEM_PHREEONI_S,SCROLL_CHARA_PHREEONI_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_4,4,ITEM_SCROLL_EMBLEM_BIGFOOT,SCROLL_CHARA_BIGFOOT,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_5,5,ITEM_SCROLL_EMBLEM_WANDER_MAN_S,SCROLL_CHARA_WANDER_MAN_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_6,6,ITEM_SCROLL_EMBLEM_GRYPHON_S,SCROLL_CHARA_GRYPHON_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_7,7,ITEM_SCROLL_EMBLEM_EDDGA_S,SCROLL_CHARA_EDDGA_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_8,8,ITEM_SCROLL_EMBLEM_ORC_LORD_S,SCROLL_CHARA_ORC_LORD_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_9,9,ITEM_SCROLL_EMBLEM_MISTRESS_S,SCROLL_CHARA_MISTRESS_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_10,10,ITEM_SCROLL_EMBLEM_G_RANDGRIS_S,SCROLL_CHARA_G_RANDGRIS_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_11,11,ITEM_SCROLL_EMBLEM_GARM_S,SCROLL_CHARA_GARM_S,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_12,12,ITEM_SCROLL_EMBLEM_OWL_BARON_S,SCROLL_CHARA_OWL_BARON_S,ITEM_PET_SHOP_COIN,100
