_ID,_VALUE,Stage:int[],Star:int[],ItemCost1:id,ItemNum1:obsint[],ItemCost2:id[],ItemNum2:obsint[],StarFactor1:decimal[],StarFactor2:decimal[],AttrUpPercentage:int[],StagePotentialType:string[][],StagePotentialNum:int[][],UISpriteIcon:string[],TitleKey:loc[],Skill1Id:id,Skill1Level:int[],Skill2Id:id,Skill2Level:int[],Skill3Id:id,Skill3Level:int[],SuperEvolove:string[],PetNum:int[],PreDes:loc[][],UnlockElement:int[]
SCROLL_PET_EVOLVE_ATROCE_S,1,0,1,ITEM_SCROLL_EMBLEM_ATROCE_S,30,None,0,1,1,0,None,0,None,LOC_CSV_PETEVOLVE_POTENTIAL,PASSIVE_MONSTER_INFORMATION,1,PASSIVE_MAGIC_TO_PUNISH,0,PASSIVE_MIND_SWAP,0,0,2,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,1,1,,0,ITEM_PET_EVOLVE_STONE,80,1,1,0,HP,1660,ICON_Potential_Health,LOC_CSV_PETEVOLVE_DEFENSE_POTENTIAL,,1,,0,,0,0,2,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,1,2,,0,ITEM_PET_EVOLVE_STONE,150,1.1,1.1,10,None,0,ICON_Potential_Evolution,LOC_CSV_PETEVOLVE_POTENTIAL,,1,,1,,0,0,2,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UNLOCK,0
,,2,2,,0,ITEM_PET_EVOLVE_STONE,300,1.1,1.1,0,Damage,43,ICON_Potential_Attack,LOC_CSV_PETEVOLVE_LIFT_POTENTIAL,,1,,1,,0,0,2,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,2,3,,0,ITEM_PET_EVOLVE_STONE,900,1.21,1.2,10,None,0,ICON_Potential_Evolution,LOC_CSV_PETEVOLVE_POTENTIAL,,1,,1,,1,0,2,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UNLOCK,0
,,3,3,,3,ITEM_PET_EVOLVE_STONE,400,1.21,1.2,0,HP,1830,ICON_Potential_Health,LOC_CSV_PETEVOLVE_ATTACK_POTENTIAL,,1,,1,,1,0,2,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,3,3,,3,ITEM_PET_EVOLVE_STONE,400,1.21,1.2,0,Damage,68,ICON_Potential_Attack,LOC_CSV_PETEVOLVE_DEFENSE_POTENTIAL,,1,,1,,1,0,2,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,3,4,,12,ITEM_PET_EVOLVE_STONE,1200,1.39,1.3,15,None,0,ICON_Potential_Evolution,LOC_CSV_PETEVOLVE_POTENTIAL,,1,,1,,1,1,3,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE_2,0
,,4,4,,5,ITEM_PET_EVOLVE_STONE,800,1.39,1.3,0,HP,2080,ICON_Potential_Health,LOC_CSV_PETEVOLVE_ATTACK_POTENTIAL,,1,,1,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,4,4,,5,ITEM_PET_EVOLVE_STONE,800,1.39,1.3,0,Damage,86,ICON_Potential_Attack,LOC_CSV_PETEVOLVE_DEFENSE_POTENTIAL,,1,,1,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,4,5,,20,ITEM_PET_EVOLVE_STONE,2500,1.6,1.4,15,None,0,ICON_Potential_Evolution,LOC_CSV_PETEVOLVE_POTENTIAL,,2,,1,,1,1,3,LOC_MONSTER_EVOLVE_TALENT_UPGRADE,0
,,5,5,,8,ITEM_PET_EVOLVE_STONE,1200,1.6,1.4,0,HP,2330,ICON_Potential_Health,LOC_CSV_PETEVOLVE_ATTACK_POTENTIAL,,2,,1,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,5,5,,8,ITEM_PET_EVOLVE_STONE,1200,1.6,1.4,0,Damage,103,ICON_Potential_Attack,LOC_CSV_PETEVOLVE_DEFENSE_POTENTIAL,,2,,1,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,5,5,,8,ITEM_PET_EVOLVE_STONE,1200,1.6,1.4,0,HP,2490,ICON_Potential_Health,LOC_CSV_PETEVOLVE_LIFT_POTENTIAL,,2,,1,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,5,6,,32,ITEM_PET_EVOLVE_STONE,3500,1.92,1.5,20,None,0,ICON_Potential_Evolution,LOC_CSV_PETEVOLVE_POTENTIAL,,2,,2,,1,1,3,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UPGRADE,0
,,6,6,,10,ITEM_PET_EVOLVE_STONE,2500,1.92,1.5,0,HP,2660,ICON_Potential_Health,LOC_CSV_PETEVOLVE_ATTACK_POTENTIAL,,2,,2,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,6,6,,10,ITEM_PET_EVOLVE_STONE,2500,1.92,1.5,0,Damage,128,ICON_Potential_Attack,LOC_CSV_PETEVOLVE_DEFENSE_POTENTIAL,,2,,2,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,6,6,,10,ITEM_PET_EVOLVE_STONE,2500,1.92,1.5,0,HP,2910,ICON_Potential_Health,LOC_CSV_PETEVOLVE_LIFT_POTENTIAL,,2,,2,,1,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
,,6,7,,40,ITEM_PET_EVOLVE_STONE,7500,2.3,1.7,20,None,0,ICON_Potential_Evolution,LOC_CSV_PETEVOLVE_POTENTIAL,,2,,2,,2,1,3,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UPGRADE,0
,,7,7,,12,ITEM_PET_EVOLVE_STONE,3500,2.3,1.7,0,Damage,154,ICON_Potential_Attack,LOC_CSV_PETEVOLVE_ATTACK_POTENTIAL,,2,,2,,2,1,3,LOC_MONSTER_EVOLVE_MAX_LEVEL,0
