_ID,_VALUE,Position:int[],DropGroupAndLevel:int[][],Vip:int[],IsFirst:bool[],BuyCountByVIP:int[][],BuyCount:int[],LatticeNum:int[],CorpChallengeChapter:int[],ResetType:string[],AttackOnShopTabIndex:int[],AttackOnMode:id[],AttackOnUnlockLevel:int[],ArenaBuyCount:int[][],#ArenaBuyCount:string,HeroCountOpen:int[],OnUnlockLevel:int[]
SHOP_NORMAL,1,1,1208#1#30|1209#31#999,0,FALSE,,1,,,,,,,,,,
,,2,1208#1#30|1209#31#999,0,FALSE,,1,,,,,,,,,,
,,3,1200#1#30|1201#31#999,0,FALSE,,1,,,,,,,,,,
,,4,1200#1#30|1201#31#999,0,FALSE,,1,,,,,,,,,,
,,5,1200#1#30|1210#31#40|1211#41#999,0,FALSE,,1,,,,,,,,,,
,,6,1202#1#10|1203#11#20|1204#21#30|1210#31#40|1211#41#999,0,FALSE,,1,,,,,,,,,,
,,7,1202#1#10|1203#11#20|1204#21#30|1205#31#40|1206#41#50|1207#51#999,0,FALSE,,1,,,,,,,,,,
,,8,1202#1#10|1203#11#20|1204#21#30|1205#31#40|1206#41#50|1207#51#999,0,FALSE,,1,,,,,,,,,,
SHOP_TRAVEL,2,1,1001#1#999,0,FALSE,,1,,,,,,,,,,
,,2,2001#1#999,0,FALSE,,1,,,,,,,,,,
,,3,2021#1#20|2022#21#30|2023#31#40|2024#41#50|2025#51#60|2026#61#70|2027#71#80|2028#81#90|2029#91#999,0,FALSE,,1,,,,,,,,,,
,,4,2021#1#20|2022#21#30|2023#31#40|2024#41#50|2025#51#60|2026#61#70|2027#71#80|2028#81#90|2029#91#999,0,FALSE,,1,,,,,,,,,,
,,5,2021#1#20|2022#21#30|2023#31#40|2024#41#50|2025#51#60|2026#61#70|2027#71#80|2028#81#90|2029#91#999,0,FALSE,,1,,,,,,,,,,
,,6,2021#1#20|2022#21#30|2023#31#40|2024#41#50|2025#51#60|2026#61#70|2027#71#80|2028#81#90|2029#91#999,0,FALSE,,1,,,,,,,,,,
,,7,2011#1#40|2012#41#50|2013#51#60|2014#61#70|2015#71#80|2016#81#90|2017#91#999,0,FALSE,,1,,,,,,,,,,
,,8,2011#1#40|2012#41#50|2013#51#60|2014#61#70|2015#71#80|2016#81#90|2017#91#999,0,FALSE,,1,,,,,,,,,,
,,9,2011#1#40|2012#41#50|2013#51#60|2014#61#70|2015#71#80|2016#81#90|2017#91#999,0,FALSE,,1,,,,,,,,,,
,,10,2011#1#40|2012#41#50|2013#51#60|2014#61#70|2015#71#80|2016#81#90|2017#91#999,0,FALSE,,1,,,,,,,,,,
SHOP_ARENA,3,1,3001#1#999,0,FALSE,,1,,,daily,,,,,,,1
,,2,3002#1#999,0,FALSE,,1,,,daily,,,,,,,1
