_ID,_VALUE,#GroupName:string,ItemID:id[],#ItemName:string[],ItemDropWeight:int[],ItemNum:int[],Currency:id[],Price:int[],ApperarType:id[]
DROP_SHOP_NORMAL_1,1001,普通商店格子1,ITEM_EMBLEM_ALICE,白莲骑士徽章,1,2,ITEM_CRYSTAL,200,
DROP_SHOP_NORMAL_2,1002,普通商店格子234,ITEM_BATTLE_SOUL_PACKAGE_3,大战魂包,1,1,ITEM_CRYSTAL,50,
,,,ITEM_BATTLE_SOUL_PACKAGE_4,特大战魂包,1,1,ITEM_CRYSTAL,100,
,,,ITEM_GOLD,金币小,1,250000,ITEM_CRYSTAL,50,
,,,ITEM_GOLD,金币大,1,500000,ITEM_CRYSTAL,100,
,,,ITEM_SENIOR_RUSH_TICKET,高级扫荡券,1,3,ITEM_CRYSTAL,50,
,,,ITEM_HERO_SHOP_COIN,灵晶,1,250,ITEM_CRYSTAL,200,
,,,ITEM_GRANILE,晶石颗粒,1,1000,ITEM_CRYSTAL,100,
,,,ITEM_HILL_STONE,希尔原石,1,1200,ITEM_CRYSTAL,150,
,,,ITEM_HERO_REFRESH_ORDER,刷新石,1,5,ITEM_CRYSTAL,100,
DROP_SHOP_NORMAL_3,1003,普通商店格子5678的1-19级,ITEM_CORPS_BREAK_ARCHER_WHITE_1,硬木弓,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_2,粗布袍,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_3,长叶鞋,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_4,橡木铁箭,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_1,新兵长剑,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_2,粗制肩甲,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_3,杂毛马,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_4,编织马铠,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_1,重铁剑,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_2,编织甲,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_3,毛皮靴,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_4,小圆盾,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_1,精铁弩,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_2,细麻袍,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_3,细绢靴,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_4,精制钢箭,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_1,骑士长枪,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_2,精磨肩甲,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_3,寒霜战马,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_4,细皮马铠,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_1,轻钢剑,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_2,细铁链甲,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_3,细皮短靴,2,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_4,铁扣方盾,2,5,ITEM_CRYSTAL,10,
DROP_SHOP_NORMAL_4,1004,普通商店格子5678的20-29级,ITEM_CORPS_BREAK_ARCHER_WHITE_1,硬木弓,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_2,粗布袍,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_3,长叶鞋,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_4,橡木铁箭,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_1,新兵长剑,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_2,粗制肩甲,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_3,杂毛马,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_4,编织马铠,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_1,重铁剑,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_2,编织甲,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_3,毛皮靴,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_4,小圆盾,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_1,精铁弩,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_2,细麻袍,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_3,细绢靴,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_4,精制钢箭,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_1,骑士长枪,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_2,精磨肩甲,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_3,寒霜战马,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_4,细皮马铠,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_1,轻钢剑,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_2,细铁链甲,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_3,细皮短靴,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_4,铁扣方盾,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_1,灵钢弓,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_2,丝质长袍,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_3,轻灵短靴,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_4,希尔箭,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_1,灵钢长剑,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_2,铸钢甲,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_3,绝影战马,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_4,精钢马铠,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_1,血纹剑,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_2,精粹钢链甲,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_3,鞣革靴,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_4,魔化盾,2,5,ITEM_CRYSTAL,20,
DROP_SHOP_NORMAL_5,1005,普通商店格子5678的30-80级,ITEM_CORPS_BREAK_ARCHER_WHITE_1,硬木弓,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_2,粗布袍,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_3,长叶鞋,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_WHITE_4,橡木铁箭,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_1,新兵长剑,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_2,粗制肩甲,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_3,杂毛马,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_4,编织马铠,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_1,重铁剑,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_2,编织甲,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_3,毛皮靴,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_4,小圆盾,1,5,ITEM_GOLD,50000,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_1,精铁弩,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_2,细麻袍,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_3,细绢靴,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_GREEN_4,精制钢箭,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_1,骑士长枪,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_2,精磨肩甲,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_3,寒霜战马,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_4,细皮马铠,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_1,轻钢剑,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_2,细铁链甲,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_3,细皮短靴,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_4,铁扣方盾,1,5,ITEM_CRYSTAL,10,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_1,灵钢弓,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_2,丝质长袍,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_3,轻灵短靴,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_4,希尔箭,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_1,灵钢长剑,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_2,铸钢甲,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_3,绝影战马,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_4,精钢马铠,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_1,血纹剑,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_2,精粹钢链甲,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_3,鞣革靴,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_4,魔化盾,2,5,ITEM_CRYSTAL,20,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_6,沉银弓,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_7,轻丝长袍,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_8,风灵短靴,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_ARCHER_BLUE_9,强化希尔箭,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_6,飓风长剑,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_7,光铸护甲,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_8,狮虎战马,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_9,尖刺陨铁马铠,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_6,巨锋剑,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_7,战痕钢甲,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_8,火焰厚革靴,2,5,ITEM_CRYSTAL,30,
,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_9,屠戮者盾,2,5,ITEM_CRYSTAL,30,
DROP_SHOP_NORMAL_6,1101,,ITEM_BATTLE_SOUL_PACKAGE_3,大战魂包,1,1,ITEM_CRYSTAL,50,
,,,ITEM_BATTLE_SOUL_PACKAGE_4,特大战魂包,1,1,ITEM_CRYSTAL,100,
,,,ITEM_GOLD,金币小,1,250000,ITEM_CRYSTAL,50,
,,,ITEM_GOLD,金币大,1,500000,ITEM_CRYSTAL,100,
,,,ITEM_SENIOR_RUSH_TICKET,高级扫荡券,1,3,ITEM_CRYSTAL,50,
DROP_SHOP_NORMAL_7,1102,,ITEM_HERO_SHOP_COIN,灵晶,1,250,ITEM_CRYSTAL,200,
,,,ITEM_GRANILE,晶石颗粒,1,400,ITEM_CRYSTAL,125,
,,,ITEM_HILL_STONE,希尔原石,1,1200,ITEM_CRYSTAL,150,
