_ID,_VALUE,#Name:string,NameKey:loc,Lv:int[],DesKey:loc[],ShortDesKey:loc,DamageType:string,SkillDamageType:string,DamageSpec:string,CastEffect:id,#Parameter1Name:string,Parameter1:obsint[],#Parameter2Name:string,Parameter2:obsint[],#Parameter3Name:string,Parameter3:obsint[],#Parameter4Name:string,Parameter4:obsint[],#Parameter5Name:string,Parameter5:obsint[],#Parameter6Name:string,Parameter6:obsint[],PhysicalFactor:decimal[],MagicFactor:decimal[],BaseDamage:int[],CriticalHit:int[],CriticalDamage:int[],AdjustFactor:int,TargetTeam:string,SkillRadius:int[][],TargetType:string,ActionDelay:decimal,ChantTime:decimal,CanBeInterrupt:bool,IconResName:string,Mana:int[],CoolTime:int[],CastDuration:decimal[],NexusEffect:id,EvolveDes:loc[],SkillBuff:bool
SKILL_FIREBALL_STORM_TUTORIAL,9900,火球风暴教程,LOC_NAME_CHAIN_SKILL_FIREBALL_STORM,1,,,Magical,AOE,None,,伤害加成千分比,115,伤害加成固定数值,80,火球下落间隔帧数,20,火球总数,5,伤害半径,10,降落时间帧数,15,0,2,1000,0,0,0,Enemy,1|24|360,Ground,0,0,FALSE,Icon_ChainSkill_Fountain_Of_Life,9,30,0,,,FALSE
SKILL_SNOW_STORM_TUTORIAL,9901,暴风雪,LOC_SKILL_NAME_SKILL_BLIZZARD,1,,,Magical,AOE,None,,暴风雪持续时间（倍）x10,80,单次冰冻概率千分比,100,最终次冰冻概率千分比,300,冰冻状态的伤害加深千分比,200,冰冻状态的暴风雪额外伤害千分比,300,冰冻持续时间/10,30,0,2,1000,0,0,0,Enemy,1|24|360,Ground,0,0,FALSE,Icon_ChainSkill_Cheap_Fat_Dragon,8,30,0,,,FALSE
SKILL_LIGHT_COUNTER_GUARD_TUTORIAL,9902,光之障壁教程,LOC_SKILL_NAME_SKILL_LIGHT_COUNTERGUARD,1,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_COUNTERGUARD,,Magical,None,None,,护盾持续时间（倍）x10,60,,,,,,,,,,,0,16,1200,0,0,0,Friendly,1|10|360,Ground,0,0,FALSE,ICON_SKILL_LIGHT_COUNTER_GUARD,10,20,0,,,FALSE
SKILL_CRACK,10001,崩裂术,LOC_SKILL_NAME_SKILL_CRACK,1,LOC_SKILL_DES_DETAIL_SKILL_CRACK,,Magical,AOE,None,,,,,,,,,,,,,,0,0.45,50,0,0,0,Enemy,1|12|360,Ground,0,0,TRUE,ICON_SKILL_HEAVENDRIVE,5,15,3.1,,,TRUE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_CRACK,,,,,,,,,,,,,,,,,,0,0.53,305,0,0,,Enemy,1|12|360,Ground,,,,,5,15,3.1,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_CRACK,,,,,,,,,,,,,,,,,,0,0.63,3040,0,0,,Enemy,1|12|360,Ground,,,,,5,15,3.1,,,
,,,,4,LOC_SKILL_DES_DETAIL_SKILL_CRACK,,,,,,,,,,,,,,,,,,0,0.76,7595,0,0,,Enemy,1|12|360,Ground,,,,,5,15,3.1,,,
SKILL_LIGHT_TWINKLE_PARADISE,10002,光耀之堂,LOC_SKILL_NAME_SKILL_LIGHT_TWINKLE_PARADISE,1,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_TWINKLE_PARADISE,,Magical,None,None,,魔物恢复加成（倍）x10,25,,,,,,,,,,,0,0.91,135,0,0,0,Friendly,1|16|360,Anyone,0,0,FALSE,ICON_SKILL_SANCTUARY,7,26,0,,,FALSE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_TWINKLE_PARADISE,,,,,,,25,,,,,,,,,,,0,1.02,800,0,0,,Friendly,1|16|360,Anyone,,,,,7,26,0,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_TWINKLE_PARADISE,,,,,,,25,,,,,,,,,,,0,1.12,6105,0,0,,Friendly,1|16|360,Anyone,,,,,7,26,0,,,
,,,,4,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_TWINKLE_PARADISE,,,,,,,35,,,,,,,,,,,0,1.26,12445,0,0,,Friendly,1|16|360,Anyone,,,,,7,26,0,,,
SKILL_AUTO_DEFENSE,10003,自动防御,LOC_SKILL_NAME_SKILL_AUTO_DEFENSE,1,LOC_SKILL_DES_DETAIL_SKILL_AUTO_DEFENSE,,Magical,None,None,,恢复最大生命万分比,500,无敌持续时间x10,30,治疗持续时间x10,51,,,,,,,0,0,0,0,0,0,Friendly,0|0|0,Self,0,0,FALSE,ICON_SKILL_GUARD,5,21,0,,,FALSE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_AUTO_DEFENSE,,,,,,,600,,30,,51,,,,,,,0,0,0,0,0,,Friendly,0|0|0,,,,,,5,21,0,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_AUTO_DEFENSE,,,,,,,800,,30,,51,,,,,,,0,0,0,0,0,,Friendly,0|0|0,,,,,,5,21,0,,,
,,,,4,LOC_SKILL_DES_DETAIL_SKILL_AUTO_DEFENSE,,,,,,,1000,,30,,51,,,,,,,0,0,0,0,0,,Friendly,0|0|0,,,,,,5,21,0,,,
SKILL_LEER,10004,媚眼,LOC_SKILL_NAME_SKILL_LEER,1,LOC_SKILL_DES_DETAIL_SKILL_LEER,,Magical,None,None,,混乱时间x10,40,,,,,,,,,,,0,1.73,190,0,0,0,Enemy,0|0|0,None,0,0,FALSE,ICON_SKILL_CHARMINGWINK,6,19,0,,,TRUE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_LEER,,,,,,,40,,,,,,,,,,,0,2.02,1150,0,0,,Enemy,0|0|0,,,,,,6,19,0,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_LEER,,,,,,,40,,,,,,,,,,,0,2.4,11520,0,0,,Enemy,0|0|0,,,,,,6,19,0,,,
,,,,4,LOC_SKILL_DES_DETAIL_SKILL_LEER,,,,,,,40,,,,,,,,,,,0,2.88,28800,0,0,,Enemy,0|0|0,,,,,,6,19,0,,,
SKILL_BACK_STAB,10005,背刺,LOC_SKILL_NAME_SKILL_BACK_STAB,1,LOC_SKILL_DES_DETAIL_SKILL_BACK_STAB,,Physical,AOE,None,,魔物伤害加成（倍）x10,12,背对自己敌人伤害（倍）x10,20,背刺眩晕时间（倍）x10,20,,,,,,,2.45,0,270,0,0,0,Enemy,2|12|6,Front,0,0,FALSE,ICON_SKILL_BACKSTAB,4,23,0,,,TRUE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_BACK_STAB,,,,,,,12,,20,,20,,,,,,,2.85,0,1630,0,0,,Enemy,2|12|6,,,,,,4,23,0,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_BACK_STAB,,,,,,,12,,20,,20,,,,,,,3.4,0,16320,0,0,,Enemy,2|12|6,,,,,,4,23,0,,,
,,,,4,LOC_SKILL_DES_DETAIL_SKILL_BACK_STAB,,,,,,,12,,20,,20,,,,,,,4,0,40000,0,0,,Enemy,2|12|6,,,,,,4,23,0,,,
SKILL_LIGHT_COUNTER_GUARD,10006,光之障壁,LOC_SKILL_NAME_SKILL_LIGHT_COUNTERGUARD,1,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_COUNTERGUARD,,Magical,None,None,,护盾持续时间（倍）x10,60,,,,,,,,,,,0,11,1755,0,0,0,Friendly,1|10|360,Ground,0,0,FALSE,ICON_SKILL_PNEUMA,5,25,0,,,FALSE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_COUNTERGUARD,,,,,,,60,,,,,,,,,,,0,12,10305,0,0,,Friendly,1|10|360,,,,,,5,25,0,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_COUNTERGUARD,,,,,,,60,,,,,,,,,,,0,14,78480,0,0,,Friendly,1|10|360,,,,,,5,25,0,,,
,,,,4,LOC_SKILL_DES_DETAIL_SKILL_LIGHT_COUNTERGUARD,,,,,,,60,,,,,,,,,,,0,16,160020,0,0,,Friendly,1|10|360,,,,,,5,25,0,,,
SKILL_KNIGHT_ATTACK,10007,骑乘攻击,LOC_SKILL_NAME_SKILL_KNIGHT_ATTACK,1,LOC_SKILL_DES_DETAIL_SKILL_KNIGHT_ATTACK,,Physical,AOE,None,,低于生命值万分比,5000,低生命值敌人伤害万分比,5000,对魔物敌人伤害（倍）x10,12,,,,,,,2.16,0,240,0,0,0,Enemy,1|11|150,Front,0,0,FALSE,ICON_SKILL_BRANDISHSPEAR,5,17,0,,,TRUE
,,,,2,LOC_SKILL_DES_DETAIL_SKILL_KNIGHT_ATTACK,,,,,,,5000,,5000,,12,,,,,,,2.52,0,1440,0,0,,Enemy,1|11|150,,,,,,5,17,0,,,
,,,,3,LOC_SKILL_DES_DETAIL_SKILL_KNIGHT_ATTACK,,,,,,,5000,,5000,,12,,,,,,,3,0,14400,0,0,,Enemy,1|11|150,,,,,,5,17,0,,,
