_ID,_VALUE,Hero:id,IsShow:bool,BattleSkinHero:id,BattleSkinPet:id,UISpriteIconLargeName:string,UISpriteIconName:string,UISpriteIconName2:string,SkinName:loc,SkinDesc:loc,HeroPrefab:string,PetPrefab:string,Sort:int,HowToGetLoc:loc,AttributeType:string[],AttributeDes:loc[],AttributeNum:int[],AttributeKind:string[],SkinPower:int,PresenterDistance:double,PresenterOffsetY:double,PresenterOffsetX:double,PresenterAngle:double,PresenterDirection:double,NewPresenterDistance:double,NewPresenterOffsetY:double,NewPresenterOffsetX:double,NewPresenterAngle:double,NewPresenterDirection:double,PetPresenterDistance:double,PetPresenterOffsetY:double,PetPresenterOffsetX:double,PetPresenterAngle:double,PetPresenterDirection:double,PetNewPresenterDistance:double,PetNewPresenterOffsetY:double,PetNewPresenterOffsetX:double,PetNewPresenterAngle:double,PetNewPresenterDirection:double,Position11:int{},Position21:int{},Position22:int{},Position31:int{},Position32:int{},Position33:int{},Position41:int{},Position42:int{},Position43:int{},Position44:int{}
SKIN_HERO_TURTLE_GENERAL_FOOTBALL,1,HERO_TURTLE_GENERAL,TRUE,SKINBATTLE_HERO_TURTLE_FOOTBALL,SKINBATTLE_PET_TURTLE_FOOTBALL,CARD_Turtle_General_Football,ICON_MONSTER_TURTLE_GENERAL_Skin_Football,CARD_MONSTER_TURTLE_GENERAL_Skin_Football,LOC_NAME_SKIN_HERO_TURTLE_GENERAL_FOOTBALL,LOC_DES_SKIN_HERO_TURTLE_GENERAL_FOOTBALL,Turtle_Genera_Skin_Football,Turtle_Genera_Skin_Football_Pet,1,LOC_DUNGEON_START_TITLE,MagicalAttack,LOC_SKIN_BUFF_MAGICATTACK,30,Percentage,6,21,-8.8,0,12,-10,21,-8.8,0,12,-10,16,-5.2,0,10,0,16,-5.2,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
SKIN_HERO_HERO_BAPHOMET_SKIN,2,HERO_BAPHOMET,TRUE,SKINBATTLE_HERO_BAPHOMET_SKIN,SKINBATTLE_RETINUE_BAPHOMET_SKIN,CARD_Baphomet_Skin_Devil,ICON_MONSTER_BAPHOMET_Skin_Devil,CARD_MONSTER_BAPHOMET_Skin_Devil,LOC_NAME_SKIN_HERO_HERO_BAPHOMET_SKIN,LOC_DES_SKIN_HERO_HERO_BAPHOMET_SKIN,Baphomet_Skin_Devil,Baphomet_Skin_Devil_Pet,2,LOC_SKIN_HOW_TO_GET_SHOP,Damage,LOC_SKIN_BUFF_DAMAGE,30,Percentage,6,21,-9.1,0,12,-10,21,-9.1,0,12,-10,16,-5.2,0,10,0,16,-5.2,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
SKIN_HERO_HERO_GARM_GOLD,3,HERO_GARM,TRUE,SKINBATTLE_HERO_GARM_GOLD,SKINBATTLE_RETINUE_GARM_GOLD,CARD_Garm_Skin_Dragon,ICON_MONSTER_GARM_Skin_Dragon,CARD_MONSTER_GARM_Skin_Dragon,LOC_NAME_SKIN_HERO_HERO_GARM_GOLD,LOC_DES_SKIN_HERO_HERO_GARM_GOLD,Garm_Skin_Dragon,Garm_Skin_Dragon_Pet,3,LOC_SKIN_HOW_TO_GET_SHOP,Magic,LOC_SKIN_BUFF_MAGIC,30,Percentage,6,21,-7.2,0.8,12,-10,21,-7.2,0.8,12,-10,16,-4.6,0,10,0,16,-4.6,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
SKIN_HERO_HERO_ORK_HERO_SKIN,4,HERO_ORK_HERO,TRUE,SKINBATTLE_HERO_ORK_HERO_SKIN,SKINBATTLE_RETINUE_HIGH_ORC_SKIN,CARD_Orc_Hero_Skin_Chef,ICON_MONSTER_ORC_HERO_Skin_Chef,CARD_MONSTER_ORC_HERO_Skin_Chef,LOC_NAME_SKIN_HERO_HERO_ORK_HERO_SKIN,LOC_DES_SKIN_HERO_HERO_ORK_HERO_SKIN,Orc_Hero_Skin_Chef,Orc_Hero_Skin_Chef_Pet,4,LOC_SKIN_HOW_TO_GET_SHOP,HP,LOC_SKIN_BUFF_HP,20,Percentage,6,21,-8.8,0,12,-10,21,-8.8,0,12,-10,16,-5.2,0,10,0,16,-5.2,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
,,,,,,,,,,,,,,,Armor,LOC_SKIN_BUFF_ARMOR,20,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKIN_HERO_HERO_TAO_GUNKA_SKIN,5,HERO_TAO_GUNKA,TRUE,SKINBATTLE_HERO_TAO_GUNKA_SKIN,SKINBATTLE_RETINUE_TAO_GUNKA_SKIN,CARD_Tao_Gunka_Skin_F1,ICON_MONSTER_TAO_GUNKA_Skin_F1,CARD_MONSTER_TAO_GUNKA_Skin_F1,LOC_NAME_SKIN_HERO_HERO_TAO_GUNKA_SKIN,LOC_DES_SKIN_HERO_HERO_TAO_GUNKA_SKIN,Tao_Gunka_Skin_F1,Tao_Gunka_Skin_F1_Pet,5,LOC_SKIN_HOW_TO_GET_SHOP,HP,LOC_SKIN_BUFF_HP,30,Percentage,6,21,-8.8,0,12,-10,21,-8.8,0,12,-10,16,-5.2,0,10,0,16,-5.2,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
SKIN_HERO_HERO_EDDGA_SKIN,6,HERO_EDDGA,TRUE,SKINBATTLE_HERO_EDDGA_SKIN,SKINBATTLE_RETINUE_EDDGA_SKIN,CARD_Eddga_Skin_TheKing,ICON_MONSTER_EDDGA_Skin_TheKing,CARD_MONSTER_EDDGA_Skin_TheKing,LOC_NAME_SKIN_HERO_HERO_EDDGA_SKIN,LOC_DES_SKIN_HERO_HERO_EDDGA_SKIN,Eddga_Skin_TheKing,Eddga_Skin_TheKing_Pet,6,LOC_SKIN_HOW_TO_GET_SHOP,PhysicalAttack,LOC_SKIN_BUFF_PHYSICALATTACK,30,Percentage,6,21,-9.4,0,12,-10,21,-9.4,0,12,-10,16,-5.2,0,10,0,16,-5.2,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
SKIN_HERO_HERO_SHECI_SKIN,7,HERO_SHECI,TRUE,SKINBATTLE_HERO_SHECI_SKIN,SKINBATTLE_RETINUE_SHECI_SKIN,CARD_Sheci_Skin_0strich,ICON_MONSTER_SHECIL_Skin_0strich,CARD_MONSTER_SHECIL_Skin_0strich,LOC_NAME_SKIN_HERO_HERO_SHECI_SKIN,LOC_DES_SKIN_HERO_HERO_SHECI_SKIN,Sheci_Skin_Ostricn,Sheci_Skin_Ostrich_Pet,7,LOC_SKIN_HOW_TO_GET_ACTI,Damage,LOC_SKIN_BUFF_DAMAGE,30,Percentage,12,21,-10.2,-0.3,12,-10,21,-10.2,-0.3,12,-10,16,-6,0,10,0,16,-6,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
,,,,,,,,,,,,,,,CriticalHit,LOC_SKIN_BUFF_CRITICALHIT,20,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKIN_HERO_MAGALETA_ALPACA,8,HERO_MAGALETA,TRUE,SKINBATTLE_HERO_MAGALETA_SKIN,SKINBATTLE_RETINUE_MAGALETA_SKIN,CARD_Magaleta_Skin_Alpaca,ICON_MONSTER_MAGALETA_Skin_Alpaca,CARD_MONSTER_MAGALETA_Skin_Alpaca,LOC_NAME_SKIN_HERO_MAGALETA_ALPACA,LOC_DES_SKIN_HERO_MAGALETA_ALPACA,Magaleta_Skin_Alpaca,Magaleta_Skin_Alpaca_Pet,8,LOC_SKIN_HOW_TO_GET_ACTI,HP,LOC_SKIN_BUFF_HP,20,Percentage,12,21,-8.8,0.6,12,-10,21,-8.8,0.6,12,-10,16,-5.2,0,10,0,16,-5.2,0,10,0,600#0#550,600#0#550,-600#0#-550,200#0#700,-900#0#-400,1000#0#-700,500#0#900,-800#0#0,1200#0#-200,-250#0#-1200
