_ID,_VALUE,DefaultSkin:id,Prefab:string,SummonPrefab:string,Animation:id,Projectiles:id,ProjectileHeight:decimal,SkillEffect:id{},SkillProj:id{},TotalHeight:decimal,HudHeight:decimal,HeadHeight:decimal,BodyHeight:decimal,#DeadAniType:string,DeadFlyTime:decimal,DeadFlyV:decimal,DeadEffectTime:decimal,ExtraAtkEff:id{},ExtraSkillEff:id{},PassiveEff:id{},PassiveProj:id{}
SKINBATTLE_HERO_MUMMY,1,,Mummy,,ANIMATION_MUMMY,,4,EFFECT_CHARGE_ATTACK,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_KOBOLD_3,2,,Kobold_3,,ANIMATION_KOBOLD_3,,4,,PROJ_STONE,4,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_HERO_NIGHTMARE,3,,Nightmare,,ANIMATION_NIGHTMARE,,4,EFFECT_SPIRIT_SHACK,,6,1,1,0.5,Getdown,1.5,0.3,1.5,,,,
SKINBATTLE_HERO_GOBLIN_2,4,,Goblin_2,,ANIMATION_GOBLIN_2,,4,EFFECT_BERSERK_SPEAR,,4,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_HERO_RAYDRIC,5,,Raydric,,ANIMATION_RAYDRIC,,4,EFFECT_ANGER_BURST,,6,1,1,0.5,Getdown,0.95,0.5,0.95,,,,
SKINBATTLE_HERO_BON_GUN,6,,Bon_Gun,,ANIMATION_BON_GUN,PROJ_FIRE_BALL,4,EFFECT_MAGIC_CRASHER,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_GOBLIN_1,7,,Goblin_1,,ANIMATION_GOBLIN_1,,4,EFFECT_SONIC_BLOW_WORD#EFFECT_SONIC_BLOW,,4,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_KOBOLD_ARCHER,8,,Kobold_Archer,,ANIMATION_KOBOLD_ARCHER,PROJ_ARROW_ATTLACK_3,3.5,,PROJ_DOUBLE_STRAFING_BULLET,4,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_OBEAUNE,9,,Obeaune,,ANIMATION_OBEAUNE,PROJ_OBEAUNE_BULLET,4,EFFECT_HEAL,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_BARTLEY,10,,Bartley,,ANIMATION_BARTLEY,,4,EFFECT_EMERGENCY_TREAT,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_TYRRHENIA,11,,Tyrrhenia,,ANIMATION_TYRRHENIA,,4,EFFECT_EMERGENCY_TREAT,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_PETIT,12,,Petit,,ANIMATION_PETIT,PROJ_GRANDEL_BULLET,4,EFFECT_MUD_FLAT,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_VAGABOND_WOLF,13,,Vagabond_Wolf,,ANIMATION_VAGABOND_WOLF,,4,EFFECT_BRUTAL_FIERCE_CATCH,,6,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_HERO_KOBOLD_LEADER,14,,Kobold_Leader,,ANIMATION_KOBOLD_LEADER,,4,EFFECT_GRIM_TOOTH#EFFECT_GRIM_TOOTH_HIT,,4,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
