_ID,_VALUE,Skin:id,Time:int
FIVE_DAY_SKIN_HERO_TURTLE_GENERAL_FOOTBALL,1,SKIN_HERO_TURTLE_GENERAL_FOOTBALL,432000
FOR_EVER_SKIN_HERO_TURTLE_GENERAL_FOOTBALL,2,SKIN_HERO_TURTLE_GENERAL_FOOTBALL,-1
FOR_EVER_SKIN_HERO_HERO_BAPHOMET_SKIN,3,SKIN_HERO_HERO_BAPHOMET_SKIN,-1
FOR_EVER_SKIN_HERO_HERO_GARM_GOLD,4,SKIN_HERO_HERO_GARM_GOLD,-1
FOR_EVER_SKIN_HERO_HERO_ORK_HERO_SKIN,5,SKIN_HERO_HERO_ORK_HERO_SKIN,-1
FOR_EVER_SKIN_HERO_HERO_TAO_GUNKA_SKIN,6,SKIN_HERO_HERO_TAO_GUNKA_SKIN,-1
FOR_EVER_SKIN_HERO_HERO_EDDGA_SKIN,7,SKIN_HERO_HERO_EDDGA_SKIN,-1
FOR_EVER_SKIN_HERO_MAGALETA_ALPACA,8,SKIN_HERO_MAGALETA_ALPACA,-1
FOR_EVER_SKIN_HERO_G_KATRINN_FOX,9,SKIN_HERO_G_KATRINN_FOX,-1
FOR_EVER_SKIN_HERO_HERO_SHECI_SKIN,10,SKIN_HERO_HERO_SHECI_SKIN,-1
FIVE_DAY_SKIN_HERO_HERO_BAPHOMET_SKIN,11,SKIN_HERO_HERO_BAPHOMET_SKIN,300
FIVE_DAY_SKIN_HERO_HERO_GARM_GOLD,12,SKIN_HERO_HERO_GARM_GOLD,2400
FIVE_DAY_SKIN_HERO_HERO_ORK_HERO_SKIN,13,SKIN_HERO_HERO_ORK_HERO_SKIN,120
FIVE_DAY_SKIN_HERO_HERO_TAO_GUNKA_SKIN,14,SKIN_HERO_HERO_TAO_GUNKA_SKIN,60
FIVE_DAY_SKIN_HERO_HERO_EDDGA_SKIN,15,SKIN_HERO_HERO_EDDGA_SKIN,300
FIVE_DAY_SKIN_HERO_MAGALETA_ALPACA,16,SKIN_HERO_MAGALETA_ALPACA,600
FIVE_DAY_SKIN_HERO_G_KATRINN_FOX,17,SKIN_HERO_G_KATRINN_FOX,3600
FIVE_DAY_SKIN_HERO_HERO_SHECI_SKIN,18,SKIN_HERO_HERO_SHECI_SKIN,150
FOR_EVER_SKIN_HERO_DARK_LORD_HAWAII,19,SKIN_HERO_DARK_LORD_HAWAII,-1
FOR_EVER_SKIN_HERO_DOPPELGANGER_DARK_SWORD,20,SKIN_HERO_DOPPELGANGER_DARK_SWORD,-1
FOR_EVER_SKIN_HERO_G_RANDGRIS_GODDESS,21,SKIN_HERO_G_RANDGRIS_GODDESS,-1
FOR_EVER_SKIN_HERO_G_RANDEL_GRIFFON,22,SKIN_HERO_G_RANDEL_GRIFFON,-1
FOR_EVER_SKIN_HERO_MOONLIGHT_NEKO,23,SKIN_HERO_MOONLIGHT_NEKO,-1
FOR_EVER_SKIN_HERO_G_EREMES_NINJIA,24,SKIN_HERO_G_EREMES_NINJIA,-1
FOR_EVER_SKIN_HERO_DRACULA_BARON_POSEIDON,25,SKIN_HERO_DRACULA_BARON_POSEIDON,-1
FOR_EVER_SKIN_HERO_PHREEONI_PUFU,26,SKIN_HERO_PHREEONI_PUFU,-1
FOR_EVER_SKIN_HERO_MISSTRESS_SUMMER_BEACH,27,SKIN_HERO_MISSTRESS_SUMMER_BEACH,-1
FOR_EVER_SKIN_HERO_MAYA_POOLPARTY,28,SKIN_HERO_MAYA_POOLPARTY,-1
FOR_EVER_SKIN_HERO_SEYREN_DRAGON,29,SKIN_HERO_SEYREN_DRAGON,-1
FOR_EVER_SKIN_HERO_BACSOJIN_FASHION,30,SKIN_HERO_BACSOJIN_FASHION,-1
FOR_EVER_SKIN_HERO_HARWORD_PUNK,31,SKIN_HERO_HARWORD_PUNK,-1
FOR_EVER_SKIN_HERO_DARK_SNAKE_LORD_KIMONO,32,SKIN_HERO_DARK_SNAKE_LORD_KIMONO,-1
FOR_EVER_SKIN_HERO_OSIRIS_HELLFIRE,33,SKIN_HERO_OSIRIS_HELLFIRE,-1
FOR_EVER_SKIN_HERO_DRAKE_GHOST,34,SKIN_HERO_DRAKE_GHOST,-1
FOR_EVER_SKIN_HERO_CELIA_DARKSAGE,35,SKIN_HERO_CELIA_DARKSAGE,-1
FOR_EVER_SKIN_HERO_KNIGHT_OF_WINDSTORM_VIKINGS,36,SKIN_HERO_KNIGHT_OF_WINDSTORM_VIKINGS,-1
FOR_EVER_SKIN_HERO_VESPER_MECHASTORM,37,SKIN_HERO_VESPER_MECHASTORM,-1
FOR_EVER_SKIN_HERO_SHECI_ANGELWINGS,38,SKIN_HERO_SHECI_ANGELWINGS,-1
FOR_EVER_SKIN_HERO_LORD_OF_DEATH_FATALMOTORCYCLE,39,SKIN_HERO_LORD_OF_DEATH_FATALMOTORCYCLE,-1
FOR_EVER_SKIN_HERO_GLOOMUNDERNIGHT_NIGHTMARE,40,SKIN_HERO_GLOOMUNDERNIGHT_NIGHTMARE,-1
FOR_EVER_SKIN_HERO_LADY_TANEE_BANANALOLI,41,SKIN_HERO_LADY_TANEE_BANANALOLI,-1
FOR_EVER_SKIN_HERO_CELIA_PARTY_QUEEN,42,SKIN_HERO_CELIA_PARTY_QUEEN,-1
