_ID,_VALUE,Category:string,GranuleNum:int,Percent:int,RequireGranuleNum:id,RefineItem:id,UnloadingCost:id,Level:int,StrengGrowth:id,RefineGrowth:id,Des1:loc,Attribute1_Type:string,AttributeIcon1:string,Attribute1_Num:obsint,Des2:id,Attribute2_Type:string,AttributeIcon2:string,Attribute2_Num:obsint
SPAR_RED_ATK_1,1,Red,100,100,SPAR_UPGRADE_GREEN,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_ATK,Damage,SPAR_ATK,49,,,,
SPAR_RED_ATK_2,2,Red,250,100,SPAR_UPGRADE_BLUE,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_ATK,Damage,SPAR_ATK,70,,,,
SPAR_RED_ATK_3,3,Red,500,100,SPAR_UPGRADE_PURPLE,None,SPAR_UNLOADING_PURPLE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_ATK,Damage,SPAR_ATK,105,,,,
SPAR_RED_ATK_4,4,Red,2500,100,SPAR_UPGRADE_ORANGE,SPAR_REFINE_RED_6,SPAR_UNLOADING_ORANGE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_ATK,Damage,SPAR_ATK,140,,,,
SPAR_RED_MGK_1,5,Red,100,100,SPAR_UPGRADE_GREEN,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_MGK,Magic,SPAR_MGK,49,,,,
SPAR_RED_MGK_2,6,Red,250,100,SPAR_UPGRADE_BLUE,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_MGK,Magic,SPAR_MGK,70,,,,
SPAR_RED_MGK_3,7,Red,500,100,SPAR_UPGRADE_PURPLE,None,SPAR_UNLOADING_PURPLE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_MGK,Magic,SPAR_MGK,105,,,,
SPAR_RED_MGK_4,8,Red,2500,100,SPAR_UPGRADE_ORANGE,SPAR_REFINE_RED_6,SPAR_UNLOADING_ORANGE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_MGK,Magic,SPAR_MGK,140,,,,
SPAR_RED_CRT_1,9,Red,100,100,SPAR_UPGRADE_GREEN,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_CRT,CriticalHit,SPAR_CRT,23,,,,
SPAR_RED_CRT_2,10,Red,250,100,SPAR_UPGRADE_BLUE,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_CRT,CriticalHit,SPAR_CRT,33,,,,
SPAR_RED_CRT_3,11,Red,500,100,SPAR_UPGRADE_PURPLE,None,SPAR_UNLOADING_PURPLE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_CRT,CriticalHit,SPAR_CRT,49,,,,
SPAR_RED_CRT_4,12,Red,2500,100,SPAR_UPGRADE_ORANGE,SPAR_REFINE_RED_6,SPAR_UNLOADING_ORANGE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_CRT,CriticalHit,SPAR_CRT,66,,,,
SPAR_YELLOW_HP_1,13,Yellow,100,100,SPAR_UPGRADE_GREEN,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_HP,HP,SPAR_HP,567,,,,
SPAR_YELLOW_HP_2,14,Yellow,250,100,SPAR_UPGRADE_BLUE,None,None,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_HP,HP,SPAR_HP,810,,,,
SPAR_YELLOW_HP_3,15,Yellow,500,100,SPAR_UPGRADE_PURPLE,None,SPAR_UNLOADING_PURPLE,1,SPAR_STRENG_GROWTH_1,SPAR_REFINE_GROWTH_1,LOC_SPAR_DES_HP,HP,SPAR_HP,1215,,,,
