_ID,_VALUE,UpgradeProb:decimal,InvariantProb:decimal,ReduceNum:int,Item:id[],ItemNum:int[],Probability:int[],SpecialUpgradeProb:decimal,SpecialInvariantProb:decimal,PresentItem:id,PresentItemNum:int,SpecialItem:id[],SpecialItemNum:int[],SpecialProbability:int[],FirstCrystalItem:id[],FirstCrystalItemNum:int[],FirstCrystalProbability:int[]
SPAR_DRAW_1,1,0.75,0.25,0,ITEM_SPAR_RED_ATK_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_RED_ATK_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_2,1,1,,,,,,,,,,
