_ID,_VALUE,type:string,InlaySparNumMin:int,InlaySparNumMax:int,HighestLvSparNum:int,AverageLvMin:int,AverageLvMax:int,DropGroup:int[],NormalWeight:int[],PlusWeight:int[],HighestPowerHeroNum:int[],SparParam:string[],InterestingText:loc[],BuildingText:loc[],#Remark:string[]
SPAR_ONE_KEY_1,1,Orange,0,11,,,,8001,3,8,5,"yellow,blue,+,red,>",LOC_PAN_KNIGHT_INN_RED_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_RED_BUILDING_TEXT,玩家最强战力的5个英雄，红色<黄色+蓝色
,,,,,,,,8002,3,8,5,"red,0.5,*,blue,+,0.5,*,yellow,>",LOC_PAN_KNIGHT_INN_YELLOW_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_YELLOW_BUILDING_TEXT,玩家最强战力的5个英雄，黄色<（红色/2+蓝色）/2
,,,,,,,,8003,3,8,5,"red,0.5,*,yellow,+,0.5,*,blue,>",LOC_PAN_KNIGHT_INN_BLUE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_BLUE_BUILDING_TEXT,玩家最强战力的5个英雄，蓝色<（红色/2+黄色）/2
,,,,,,,,8004,1,13,5,"orange,7,>,averageLevel,4,<,and",LOC_PAN_KNIGHT_INN_COLOR_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_COLOR_BUILDING_TEXT,玩家最强战力的5个英雄，橙晶石总数量大于7，且平均等级低于4
SPAR_ONE_KEY_2,2,Orange,12,26,,,,8001,1,2,5,"yellow,blue,+,red,>",LOC_PAN_KNIGHT_INN_RED_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_RED_BUILDING_TEXT,
,,,,,,,,8002,1,2,5,"red,0.5,*,blue,+,0.5,*,yellow,>",LOC_PAN_KNIGHT_INN_YELLOW_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_YELLOW_BUILDING_TEXT,
,,,,,,,,8003,1,2,5,"red,0.5,*,yellow,+,0.5,*,blue,>",LOC_PAN_KNIGHT_INN_BLUE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_BLUE_BUILDING_TEXT,
,,,,,,,,8004,1,4,5,"orange,11,>,averageLevel,5,<,and",LOC_PAN_KNIGHT_INN_COLOR_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_COLOR_BUILDING_TEXT,
SPAR_ONE_KEY_3,3,Orange,27,9999,20,0,6,8001,1,2,5,"yellow,blue,+,red,>",LOC_PAN_KNIGHT_INN_RED_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_RED_BUILDING_TEXT,平均等级下限大于，上限小于等于
,,,,,,,,8002,1,2,5,"red,0.5,*,blue,+,0.5,*,yellow,>",LOC_PAN_KNIGHT_INN_YELLOW_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_YELLOW_BUILDING_TEXT,
,,,,,,,,8003,1,2,5,"red,0.5,*,yellow,+,0.5,*,blue,>",LOC_PAN_KNIGHT_INN_BLUE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_BLUE_BUILDING_TEXT,
,,,,,,,,8004,1,4,5,"orange,11,>,averageLevel,6,<,and",LOC_PAN_KNIGHT_INN_COLOR_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_COLOR_BUILDING_TEXT,
SPAR_ONE_KEY_99,99,Orange,27,9999,20,6,99,8001,,,,,LOC_PAN_KNIGHT_INN_RED_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_RED_BUILDING_TEXT,
,,,,,,,,8002,,,,,LOC_PAN_KNIGHT_INN_YELLOW_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_YELLOW_BUILDING_TEXT,
,,,,,,,,8003,,,,,LOC_PAN_KNIGHT_INN_BLUE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_BLUE_BUILDING_TEXT,
,,,,,,,,8004,,,,,LOC_PAN_KNIGHT_INN_COLOR_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_COLOR_BUILDING_TEXT,
SPAR_ONE_KEY_1001,1001,Normal,,,,,,8101,,,,,,,常态9个道具的掉落组
SPAR_ONE_KEY_1002,1002,Normal,,,,,,8102,,,,,,,
SPAR_ONE_KEY_1003,1003,Normal,,,,,,8103,,,,,,,
SPAR_ONE_KEY_1004,1004,Normal,,,,,,8104,,,,,,,
SPAR_ONE_KEY_1005,1005,Normal,,,,,,8105,,,,,,,
SPAR_ONE_KEY_1006,1006,Normal,,,,,,8106,,,,,,,
SPAR_ONE_KEY_1007,1007,Normal,,,,,,8107,,,,,,,
SPAR_ONE_KEY_1008,1008,Normal,,,,,,8108,,,,,,,
SPAR_ONE_KEY_1009,1009,Normal,,,,,,8109,,,,,,,
SPAR_ONE_KEY_10000,10000,Extra,,,,,,8999,,,,,,,额外赠送掉落组
