_ID,_VALUE,ConditionType:string,ConditionParam1:int[],#Remark:string
SPAR_PARAM_ONE_KEY_LEVEL,1,OneKeyLevel,5,一键强化晶石
,,,10,
,,,15,
,,,20,
,,,25,
,,,30,
,,,31,
,,,32,
,,,33,
,,,34,
,,,35,
,,,36,
,,,37,
,,,38,
,,,39,
,,,40,
,,,41,
,,,42,
,,,43,
,,,44,
,,,45,
,,,46,
,,,47,
,,,48,
,,,49,
,,,50,
,,,51,
,,,52,
,,,53,
,,,54,
,,,55,
SPAR_PARAM_WEAR_SPAR_NO_TIPS_LEVEL,2,WearSparNoTipsLevel,40,装备晶石提示取消等级
SPAR_PARAM_DECOMPOSE_SPAR_NUM,3,DecomposeSparNum,3,分解非橙晶石数量判定
SPAR_PARAM_DECOMPOSE_SPAR_NO_TIPS_TIMES,4,DecomposeSparNoTipsTimes,3,分解晶石提示取消次数
SPAR_PARAM_DECOMPOSE_SPAR_NO_TIPS_LEVEL,5,DecomposeSparNoTipsLevel,40,分解晶石提示取消等级
SPAR_PARAM_MAX_LEVEL,6,MaxLevel,55,晶石等级上限
