_ID,_VALUE,BagName:loc,RefineNeed:id[]
SPAR_REFINE_RED_6,1,LOC_SPAR_BAG_NAME_1,ITEM_SPAR_RED_ATK_4
,,,ITEM_SPAR_RED_MGK_4
,,,ITEM_SPAR_RED_CRT_4
,,,ITEM_SPAR_ORANGE_ATK_SPR_4
,,,ITEM_SPAR_ORANGE_MGK_ARM_4
,,,ITEM_SPAR_ORANGE_CRT_HP_4
SPAR_REFINE_YELLOW_6,2,LOC_SPAR_BAG_NAME_2,ITEM_SPAR_YELLOW_HP_4
,,,ITEM_SPAR_YELLOW_ARM_4
,,,ITEM_SPAR_YELLOW_SPR_4
,,,ITEM_SPAR_PURPLE_ATK_ARP_4
,,,ITEM_SPAR_PURPLE_MGK_MPEN_4
,,,ITEM_SPAR_PURPLE_CRT_CRTH_4
SPAR_REFINE_BLUE_6,3,LOC_SPAR_BAG_NAME_3,ITEM_SPAR_BLUE_CRTH_4
,,,ITEM_SPAR_BLUE_ARP_4
,,,ITEM_SPAR_BLUE_MPEN_4
,,,ITEM_SPAR_GREEN_HP_CRTH_4
,,,ITEM_SPAR_GREEN_ARM_MPEN_4
,,,ITEM_SPAR_GREEN_SPR_ARP_4
