_ID,_VALUE,SparNum:int,SparLevel:int,HP:obsint,Damage:obsint,Armor:obsint,Magic:obsint,MagicDef:obsint
SPAR_STRENG_MASTER_1,1,4,5,1215,120,0,120,0
SPAR_STRENG_MASTER_2,2,4,10,2025,200,0,200,0
SPAR_STRENG_MASTER_3,3,4,15,3240,320,0,320,0
SPAR_STRENG_MASTER_4,4,4,20,4860,480,0,480,0
SPAR_STRENG_MASTER_5,5,4,25,6885,680,0,680,0
SPAR_STRENG_MASTER_6,6,4,30,9720,960,0,960,0
SPAR_STRENG_MASTER_7,7,4,35,13365,1320,0,1320,0
SPAR_STRENG_MASTER_8,8,4,40,17820,1760,0,1760,0
SPAR_STRENG_MASTER_9,9,4,45,23085,2280,0,2280,0
SPAR_STRENG_MASTER_10,10,4,50,29160,2880,0,2880,0
SPAR_STRENG_MASTER_11,11,4,55,35640,3520,0,3520,0
