_ID,_VALUE,Time:int,HotSpar:id[],#Name:string,InterestingText:loc,BuildingText:loc,Tomorrow:loc,DropGroup1:int,DropGroup2:int,DropGroup3:int,DropGroup4:int,DropGroup5:int,DropGroup6:int,DropGroup7:int,DropGroup8:int,DropGroup9:int,DropGroup10:int
SPAR_SPUER_BOX_DROP_1,1,1,ITEM_SPAR_RED_ATK_4,棱狂热晶石,LOC_PAN_KNIGHT_INN_RED_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_RED_BUILDING_TEXT,LOC_PAN_KNIGHT_INN_HAVE_ACCESS_TO_RARE_SPAR,8201,8101,8101,8101,8101,8101,8101,8101,8101,8101
,,,ITEM_SPAR_RED_MGK_4,棱风暴晶石,,,,,,,,,,,,,
,,,ITEM_SPAR_RED_CRT_4,棱致命晶石,,,,,,,,,,,,,
SPAR_SPUER_BOX_DROP_2,2,2,ITEM_SPAR_ORANGE_ATK_SPR_4,棱坚韧晶石,LOC_PAN_KNIGHT_INN_ORANGE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_ORANGE_BUILDING_TEXT,LOC_PAN_KNIGHT_INN_HAVE_ACCESS_TO_RARE_SPAR,8202,8102,8102,8102,8102,8102,8102,8102,8102,8102
,,,ITEM_SPAR_ORANGE_MGK_ARM_4,棱刚毅晶石,,,,,,,,,,,,,
,,,ITEM_SPAR_ORANGE_CRT_HP_4,棱正义晶石,,,,,,,,,,,,,
SPAR_SPUER_BOX_DROP_3,3,3,ITEM_SPAR_YELLOW_HP_4,棱无畏晶石,LOC_PAN_KNIGHT_INN_YELLOW_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_YELLOW_BUILDING_TEXT,LOC_PAN_KNIGHT_INN_HAVE_ACCESS_TO_RARE_SPAR,8203,8103,8103,8103,8103,8103,8103,8103,8103,8103
,,,ITEM_SPAR_YELLOW_ARM_4,棱壁垒晶石,,,,,,,,,,,,,
,,,ITEM_SPAR_YELLOW_SPR_4,棱不屈晶石,,,,,,,,,,,,,
SPAR_SPUER_BOX_DROP_4,4,4,ITEM_SPAR_PURPLE_ATK_ARP_4,棱野性晶石,LOC_PAN_KNIGHT_INN_PURPLE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_PURPLE_BUILDING_TEXT,LOC_PAN_KNIGHT_INN_HAVE_ACCESS_TO_RARE_SPAR,8204,8104,8104,8104,8104,8104,8104,8104,8104,8104
,,,ITEM_SPAR_PURPLE_MGK_MPEN_4,棱梦魇晶石,,,,,,,,,,,,,
,,,ITEM_SPAR_PURPLE_CRT_CRTH_4,棱无双晶石,,,,,,,,,,,,,
SPAR_SPUER_BOX_DROP_5,5,5,ITEM_SPAR_BLUE_CRTH_4,棱振奋晶石,LOC_PAN_KNIGHT_INN_BLUE_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_BLUE_BUILDING_TEXT,LOC_PAN_KNIGHT_INN_HAVE_ACCESS_TO_RARE_SPAR,8205,8105,8105,8105,8105,8105,8105,8105,8105,8105
,,,ITEM_SPAR_BLUE_ARP_4,棱破甲晶石,,,,,,,,,,,,,
,,,ITEM_SPAR_BLUE_MPEN_4,棱专注晶石,,,,,,,,,,,,,
SPAR_SPUER_BOX_DROP_6,6,6,ITEM_SPAR_GREEN_HP_CRTH_4,棱奋勇晶石,LOC_PAN_KNIGHT_INN_GREEN_INTERESTING_TEXT,LOC_PAN_KNIGHT_INN_GREEN_BUILDING_TEXT,LOC_PAN_KNIGHT_INN_HAVE_ACCESS_TO_RARE_SPAR,8206,8106,8106,8106,8106,8106,8106,8106,8106,8106
,,,ITEM_SPAR_GREEN_ARM_MPEN_4,棱均衡晶石,,,,,,,,,,,,,
,,,ITEM_SPAR_GREEN_SPR_ARP_4,棱戒律晶石,,,,,,,,,,,,,
