_ID,_VALUE,Level:int[],Item:id[],RequireGranuleNum:int[],Item2:id[],RequireNum2:int[],SpecialItem:id[],SpecialItemNum:int[]
SPAR_UPGRADE_GREEN,1,1,ITEM_GRANILE,10,ITEM_GOLD,300,None,0
,,2,ITEM_GRANILE,20,ITEM_GOLD,600,None,0
,,3,ITEM_GRANILE,30,ITEM_GOLD,900,None,0
,,4,ITEM_GRANILE,40,ITEM_GOLD,1200,None,0
,,5,ITEM_GRANILE,50,ITEM_GOLD,1500,None,0
,,6,ITEM_GRANILE,60,ITEM_GOLD,1800,None,0
,,7,ITEM_GRANILE,70,ITEM_GOLD,2100,None,0
,,8,ITEM_GRANILE,80,ITEM_GOLD,2400,None,0
,,9,ITEM_GRANILE,90,ITEM_GOLD,2700,None,0
,,10,ITEM_GRANILE,100,ITEM_GOLD,3000,None,0
,,11,ITEM_GRANILE,120,ITEM_GOLD,4500,None,0
,,12,ITEM_GRANILE,140,ITEM_GOLD,6000,None,0
,,13,ITEM_GRANILE,160,ITEM_GOLD,7500,None,0
,,14,ITEM_GRANILE,180,ITEM_GOLD,9000,None,0
,,15,ITEM_GRANILE,200,ITEM_GOLD,10500,None,0
,,16,ITEM_GRANILE,250,ITEM_GOLD,12000,None,0
,,17,ITEM_GRANILE,300,ITEM_GOLD,13500,None,0
,,18,ITEM_GRANILE,350,ITEM_GOLD,15000,None,0
,,19,ITEM_GRANILE,400,ITEM_GOLD,16500,None,0
,,20,ITEM_GRANILE,550,ITEM_GOLD,30000,None,0
,,21,ITEM_GRANILE,600,ITEM_GOLD,60000,None,0
,,22,ITEM_GRANILE,650,ITEM_GOLD,90000,None,0
,,23,ITEM_GRANILE,700,ITEM_GOLD,120000,None,0
,,24,ITEM_GRANILE,750,ITEM_GOLD,150000,None,0
,,25,ITEM_GRANILE,1000,ITEM_GOLD,180000,None,0
,,26,ITEM_GRANILE,1150,ITEM_GOLD,210000,None,0
,,27,ITEM_GRANILE,1300,ITEM_GOLD,240000,None,0
,,28,ITEM_GRANILE,1450,ITEM_GOLD,270000,None,0
,,29,ITEM_GRANILE,1600,ITEM_GOLD,300000,None,0
,,30,ITEM_GRANILE,2000,ITEM_GOLD,360000,None,0
,,31,ITEM_GRANILE,3000,ITEM_GOLD,450000,None,0
,,32,ITEM_GRANILE,4000,ITEM_GOLD,540000,None,0
,,33,ITEM_GRANILE,5000,ITEM_GOLD,675000,None,0
,,34,ITEM_GRANILE,6000,ITEM_GOLD,900000,None,0
,,35,ITEM_GRANILE,7000,ITEM_GOLD,1350000,None,0
,,36,ITEM_GRANILE,8000,ITEM_GOLD,2250000,None,0
,,37,ITEM_GRANILE,9000,ITEM_GOLD,3600000,None,0
,,38,ITEM_GRANILE,10000,ITEM_GOLD,4500000,None,0
,,39,ITEM_GRANILE,11000,ITEM_GOLD,5625000,None,0
,,40,ITEM_GRANILE,12000,ITEM_GOLD,6750000,None,0
,,41,ITEM_GRANILE,13000,ITEM_GOLD,7875000,None,0
,,42,ITEM_GRANILE,14000,ITEM_GOLD,9000000,None,0
,,43,ITEM_GRANILE,15000,ITEM_GOLD,10125000,None,0
,,44,ITEM_GRANILE,16000,ITEM_GOLD,11250000,None,0
,,45,ITEM_GRANILE,20000,ITEM_GOLD,12375000,None,0
,,46,ITEM_GRANILE,30000,ITEM_GOLD,13500000,None,0
,,47,ITEM_GRANILE,40000,ITEM_GOLD,14625000,None,0
,,48,ITEM_GRANILE,50000,ITEM_GOLD,15750000,None,0
,,49,ITEM_GRANILE,60000,ITEM_GOLD,16875000,None,0
,,50,ITEM_GRANILE,62500,ITEM_GOLD,18000000,None,0
,,51,ITEM_GRANILE,65000,ITEM_GOLD,19125000,None,0
,,52,ITEM_GRANILE,67500,ITEM_GOLD,20250000,None,0
,,53,ITEM_GRANILE,70000,ITEM_GOLD,21375000,None,0
,,54,ITEM_GRANILE,72500,ITEM_GOLD,22500000,None,0
SPAR_UPGRADE_BLUE,2,1,ITEM_GRANILE,10,ITEM_GOLD,300,None,0
,,2,ITEM_GRANILE,20,ITEM_GOLD,600,None,0
,,3,ITEM_GRANILE,30,ITEM_GOLD,900,None,0
,,4,ITEM_GRANILE,40,ITEM_GOLD,1200,None,0
,,5,ITEM_GRANILE,50,ITEM_GOLD,1500,None,0
,,6,ITEM_GRANILE,60,ITEM_GOLD,1800,None,0
,,7,ITEM_GRANILE,70,ITEM_GOLD,2100,None,0
,,8,ITEM_GRANILE,80,ITEM_GOLD,2400,None,0
,,9,ITEM_GRANILE,90,ITEM_GOLD,2700,None,0
,,10,ITEM_GRANILE,100,ITEM_GOLD,3000,None,0
,,11,ITEM_GRANILE,120,ITEM_GOLD,4500,None,0
,,12,ITEM_GRANILE,140,ITEM_GOLD,6000,None,0
,,13,ITEM_GRANILE,160,ITEM_GOLD,7500,None,0
,,14,ITEM_GRANILE,180,ITEM_GOLD,9000,None,0
,,15,ITEM_GRANILE,200,ITEM_GOLD,10500,None,0
,,16,ITEM_GRANILE,250,ITEM_GOLD,12000,None,0
,,17,ITEM_GRANILE,300,ITEM_GOLD,13500,None,0
,,18,ITEM_GRANILE,350,ITEM_GOLD,15000,None,0
,,19,ITEM_GRANILE,400,ITEM_GOLD,16500,None,0
,,20,ITEM_GRANILE,550,ITEM_GOLD,30000,None,0
,,21,ITEM_GRANILE,600,ITEM_GOLD,60000,None,0
,,22,ITEM_GRANILE,650,ITEM_GOLD,90000,None,0
,,23,ITEM_GRANILE,700,ITEM_GOLD,120000,None,0
,,24,ITEM_GRANILE,750,ITEM_GOLD,150000,None,0
,,25,ITEM_GRANILE,1000,ITEM_GOLD,180000,None,0
,,26,ITEM_GRANILE,1150,ITEM_GOLD,210000,None,0
,,27,ITEM_GRANILE,1300,ITEM_GOLD,240000,None,0
,,28,ITEM_GRANILE,1450,ITEM_GOLD,270000,None,0
,,29,ITEM_GRANILE,1600,ITEM_GOLD,300000,None,0
,,30,ITEM_GRANILE,2000,ITEM_GOLD,360000,None,0
,,31,ITEM_GRANILE,3000,ITEM_GOLD,450000,None,0
,,32,ITEM_GRANILE,4000,ITEM_GOLD,540000,None,0
,,33,ITEM_GRANILE,5000,ITEM_GOLD,675000,None,0
,,34,ITEM_GRANILE,6000,ITEM_GOLD,900000,None,0
,,35,ITEM_GRANILE,7000,ITEM_GOLD,1350000,None,0
,,36,ITEM_GRANILE,8000,ITEM_GOLD,2250000,None,0
,,37,ITEM_GRANILE,9000,ITEM_GOLD,3600000,None,0
,,38,ITEM_GRANILE,10000,ITEM_GOLD,4500000,None,0
,,39,ITEM_GRANILE,11000,ITEM_GOLD,5625000,None,0
,,40,ITEM_GRANILE,12000,ITEM_GOLD,6750000,None,0
,,41,ITEM_GRANILE,13000,ITEM_GOLD,7875000,None,0
,,42,ITEM_GRANILE,14000,ITEM_GOLD,9000000,None,0
,,43,ITEM_GRANILE,15000,ITEM_GOLD,10125000,None,0
,,44,ITEM_GRANILE,16000,ITEM_GOLD,11250000,None,0
,,45,ITEM_GRANILE,20000,ITEM_GOLD,12375000,None,0
,,46,ITEM_GRANILE,30000,ITEM_GOLD,13500000,None,0
,,47,ITEM_GRANILE,40000,ITEM_GOLD,14625000,None,0
,,48,ITEM_GRANILE,50000,ITEM_GOLD,15750000,None,0
,,49,ITEM_GRANILE,60000,ITEM_GOLD,16875000,None,0
,,50,ITEM_GRANILE,62500,ITEM_GOLD,18000000,None,0
,,51,ITEM_GRANILE,65000,ITEM_GOLD,19125000,None,0
,,52,ITEM_GRANILE,67500,ITEM_GOLD,20250000,None,0
,,53,ITEM_GRANILE,70000,ITEM_GOLD,21375000,None,0
,,54,ITEM_GRANILE,72500,ITEM_GOLD,22500000,None,0
SPAR_UPGRADE_PURPLE,3,1,ITEM_GRANILE,10,ITEM_GOLD,300,None,0
,,2,ITEM_GRANILE,20,ITEM_GOLD,600,None,0
,,3,ITEM_GRANILE,30,ITEM_GOLD,900,None,0
,,4,ITEM_GRANILE,40,ITEM_GOLD,1200,None,0
,,5,ITEM_GRANILE,50,ITEM_GOLD,1500,None,0
,,6,ITEM_GRANILE,60,ITEM_GOLD,1800,None,0
,,7,ITEM_GRANILE,70,ITEM_GOLD,2100,None,0
,,8,ITEM_GRANILE,80,ITEM_GOLD,2400,None,0
,,9,ITEM_GRANILE,90,ITEM_GOLD,2700,None,0
,,10,ITEM_GRANILE,100,ITEM_GOLD,3000,None,0
,,11,ITEM_GRANILE,120,ITEM_GOLD,4500,None,0
,,12,ITEM_GRANILE,140,ITEM_GOLD,6000,None,0
,,13,ITEM_GRANILE,160,ITEM_GOLD,7500,None,0
,,14,ITEM_GRANILE,180,ITEM_GOLD,9000,None,0
,,15,ITEM_GRANILE,200,ITEM_GOLD,10500,None,0
,,16,ITEM_GRANILE,250,ITEM_GOLD,12000,None,0
,,17,ITEM_GRANILE,300,ITEM_GOLD,13500,None,0
,,18,ITEM_GRANILE,350,ITEM_GOLD,15000,None,0
,,19,ITEM_GRANILE,400,ITEM_GOLD,16500,None,0
,,20,ITEM_GRANILE,550,ITEM_GOLD,30000,None,0
,,21,ITEM_GRANILE,600,ITEM_GOLD,60000,None,0
,,22,ITEM_GRANILE,650,ITEM_GOLD,90000,None,0
,,23,ITEM_GRANILE,700,ITEM_GOLD,120000,None,0
,,24,ITEM_GRANILE,750,ITEM_GOLD,150000,None,0
,,25,ITEM_GRANILE,1000,ITEM_GOLD,180000,None,0
,,26,ITEM_GRANILE,1150,ITEM_GOLD,210000,None,0
,,27,ITEM_GRANILE,1300,ITEM_GOLD,240000,None,0
,,28,ITEM_GRANILE,1450,ITEM_GOLD,270000,None,0
,,29,ITEM_GRANILE,1600,ITEM_GOLD,300000,None,0
,,30,ITEM_GRANILE,2000,ITEM_GOLD,360000,None,0
,,31,ITEM_GRANILE,3000,ITEM_GOLD,450000,None,0
,,32,ITEM_GRANILE,4000,ITEM_GOLD,540000,None,0
,,33,ITEM_GRANILE,5000,ITEM_GOLD,675000,None,0
,,34,ITEM_GRANILE,6000,ITEM_GOLD,900000,None,0
,,35,ITEM_GRANILE,7000,ITEM_GOLD,1350000,None,0
,,36,ITEM_GRANILE,8000,ITEM_GOLD,2250000,None,0
,,37,ITEM_GRANILE,9000,ITEM_GOLD,3600000,None,0
,,38,ITEM_GRANILE,10000,ITEM_GOLD,4500000,None,0
,,39,ITEM_GRANILE,11000,ITEM_GOLD,5625000,None,0
,,40,ITEM_GRANILE,12000,ITEM_GOLD,6750000,None,0
,,41,ITEM_GRANILE,13000,ITEM_GOLD,7875000,None,0
,,42,ITEM_GRANILE,14000,ITEM_GOLD,9000000,None,0
,,43,ITEM_GRANILE,15000,ITEM_GOLD,10125000,None,0
,,44,ITEM_GRANILE,16000,ITEM_GOLD,11250000,None,0
,,45,ITEM_GRANILE,20000,ITEM_GOLD,12375000,None,0
,,46,ITEM_GRANILE,30000,ITEM_GOLD,13500000,None,0
,,47,ITEM_GRANILE,40000,ITEM_GOLD,14625000,None,0
,,48,ITEM_GRANILE,50000,ITEM_GOLD,15750000,None,0
,,49,ITEM_GRANILE,60000,ITEM_GOLD,16875000,None,0
,,50,ITEM_GRANILE,62500,ITEM_GOLD,18000000,None,0
,,51,ITEM_GRANILE,65000,ITEM_GOLD,19125000,None,0
,,52,ITEM_GRANILE,67500,ITEM_GOLD,20250000,None,0
,,53,ITEM_GRANILE,70000,ITEM_GOLD,21375000,None,0
,,54,ITEM_GRANILE,72500,ITEM_GOLD,22500000,None,0
SPAR_UPGRADE_ORANGE,4,1,ITEM_GRANILE,10,ITEM_GOLD,300,None,0
,,2,ITEM_GRANILE,20,ITEM_GOLD,600,None,0
,,3,ITEM_GRANILE,30,ITEM_GOLD,900,None,0
,,4,ITEM_GRANILE,40,ITEM_GOLD,1200,None,0
,,5,ITEM_GRANILE,50,ITEM_GOLD,1500,None,0
,,6,ITEM_GRANILE,60,ITEM_GOLD,1800,None,0
,,7,ITEM_GRANILE,70,ITEM_GOLD,2100,None,0
,,8,ITEM_GRANILE,80,ITEM_GOLD,2400,None,0
,,9,ITEM_GRANILE,90,ITEM_GOLD,2700,None,0
,,10,ITEM_GRANILE,100,ITEM_GOLD,3000,None,0
,,11,ITEM_GRANILE,120,ITEM_GOLD,4500,None,0
,,12,ITEM_GRANILE,140,ITEM_GOLD,6000,None,0
,,13,ITEM_GRANILE,160,ITEM_GOLD,7500,None,0
,,14,ITEM_GRANILE,180,ITEM_GOLD,9000,None,0
,,15,ITEM_GRANILE,200,ITEM_GOLD,10500,None,0
,,16,ITEM_GRANILE,250,ITEM_GOLD,12000,None,0
,,17,ITEM_GRANILE,300,ITEM_GOLD,13500,None,0
,,18,ITEM_GRANILE,350,ITEM_GOLD,15000,None,0
,,19,ITEM_GRANILE,400,ITEM_GOLD,16500,None,0
,,20,ITEM_GRANILE,550,ITEM_GOLD,30000,None,0
,,21,ITEM_GRANILE,600,ITEM_GOLD,60000,None,0
,,22,ITEM_GRANILE,650,ITEM_GOLD,90000,None,0
,,23,ITEM_GRANILE,700,ITEM_GOLD,120000,None,0
,,24,ITEM_GRANILE,750,ITEM_GOLD,150000,None,0
,,25,ITEM_GRANILE,1000,ITEM_GOLD,180000,None,0
,,26,ITEM_GRANILE,1150,ITEM_GOLD,210000,None,0
,,27,ITEM_GRANILE,1300,ITEM_GOLD,240000,None,0
,,28,ITEM_GRANILE,1450,ITEM_GOLD,270000,None,0
,,29,ITEM_GRANILE,1600,ITEM_GOLD,300000,None,0
,,30,ITEM_GRANILE,2000,ITEM_GOLD,360000,None,0
,,31,ITEM_GRANILE,3000,ITEM_GOLD,450000,None,0
,,32,ITEM_GRANILE,4000,ITEM_GOLD,540000,None,0
,,33,ITEM_GRANILE,5000,ITEM_GOLD,675000,None,0
,,34,ITEM_GRANILE,6000,ITEM_GOLD,900000,None,0
,,35,ITEM_GRANILE,7000,ITEM_GOLD,1350000,None,0
,,36,ITEM_GRANILE,8000,ITEM_GOLD,2250000,None,0
,,37,ITEM_GRANILE,9000,ITEM_GOLD,3600000,None,0
,,38,ITEM_GRANILE,10000,ITEM_GOLD,4500000,None,0
,,39,ITEM_GRANILE,11000,ITEM_GOLD,5625000,None,0
,,40,ITEM_GRANILE,12000,ITEM_GOLD,6750000,None,0
,,41,ITEM_GRANILE,13000,ITEM_GOLD,7875000,None,0
,,42,ITEM_GRANILE,14000,ITEM_GOLD,9000000,None,0
,,43,ITEM_GRANILE,15000,ITEM_GOLD,10125000,None,0
,,44,ITEM_GRANILE,16000,ITEM_GOLD,11250000,None,0
,,45,ITEM_GRANILE,20000,ITEM_GOLD,12375000,None,0
,,46,ITEM_GRANILE,30000,ITEM_GOLD,13500000,None,0
,,47,ITEM_GRANILE,40000,ITEM_GOLD,14625000,None,0
,,48,ITEM_GRANILE,50000,ITEM_GOLD,15750000,None,0
,,49,ITEM_GRANILE,60000,ITEM_GOLD,16875000,None,0
,,50,ITEM_GRANILE,62500,ITEM_GOLD,18000000,None,0
,,51,ITEM_GRANILE,65000,ITEM_GOLD,19125000,None,0
,,52,ITEM_GRANILE,67500,ITEM_GOLD,20250000,None,0
,,53,ITEM_GRANILE,70000,ITEM_GOLD,21375000,None,0
,,54,ITEM_GRANILE,72500,ITEM_GOLD,22500000,None,0
