_ID,_VALUE,Level:int[],AttributeGrowth:obsint[]
SPAR_STRENG_GROWTH_1,1,1,1000
,,2,1200
,,3,1400
,,4,1600
,,5,1800
,,6,2000
,,7,2200
,,8,2400
,,9,2600
,,10,2800
,,11,3200
,,12,3600
,,13,4000
,,14,4400
,,15,4800
,,16,5200
,,17,5600
,,18,6000
,,19,6400
,,20,6800
,,21,7300
,,22,7800
,,23,8300
,,24,8800
,,25,9300
,,26,9800
,,27,10300
,,28,10800
,,29,11300
,,30,11800
,,31,12400
,,32,13000
,,33,13600
,,34,14200
,,35,14800
,,36,15400
,,37,16000
,,38,16600
,,39,17200
,,40,17800
,,41,18550
,,42,19300
,,43,20050
,,44,20800
,,45,21550
,,46,22300
,,47,23050
,,48,23800
,,49,24550
,,50,25300
,,51,26050
,,52,26800
,,53,27550
,,54,28300
,,55,29050
