_ID,_VALUE,FileName:string,FileName_KR:string,FileName_EN:string,FileName_CNT:string,FileName_TH:string,Volume:float
SFX_TUTPORIALTEXT_1,1,,Cnt\Rag Kr_07,En\Rag Eng_07,Cnt\Rag Kr_07,Th\SFX_TUTPORIALTEXT_1,1
SFX_TUTPORIALTEXT_2,2,,Cnt\Rag Kr_08,En\Rag Eng_08,Cnt\Rag Kr_08,Th\SFX_TUTPORIALTEXT_2,1
SFX_TUTPORIALTEXT_3,3,,Cnt\Rag Kr_09,En\Rag Eng_09,Cnt\Rag Kr_09,Th\SFX_TUTPORIALTEXT_3,1
SFX_TUTPORIALTEXT_4,4,,Cnt\Rag Kr_10_2,En\Rag Eng_10,Cnt\Rag Kr_10_2,Th\SFX_TUTPORIALTEXT_4,1
SFX_TUTPORIALTEXT_5,5,,Cnt\Rag Kr_11_2,En\Rag Eng_11,Cnt\Rag Kr_11_2,Th\SFX_TUTPORIALTEXT_5,1
SFX_TUTPORIALTEXT_6,6,,Cnt\Rag Kr_12,En\Rag Eng_12,Cnt\Rag Kr_12,Th\SFX_TUTPORIALTEXT_6,1
SFX_TUTPORIALTEXT_7,7,,Cnt\Rag Kr_13,En\Rag Eng_13,Cnt\Rag Kr_13,Th\SFX_TUTPORIALTEXT_7,1
SFX_TUTPORIALTEXT_8,8,,Cnt\Rag Kr_14,En\Rag Eng_14,Cnt\Rag Kr_14,Th\SFX_TUTPORIALTEXT_8,1
SFX_TUTPORIALTEXT_9,9,,Cnt\Rag Kr_15,En\Rag Eng_15,Cnt\Rag Kr_15,Th\SFX_TUTPORIALTEXT_9,1
SFX_TUTPORIALTEXT_10,10,,Cnt\Rag Kr_16,En\Rag Eng_16,Cnt\Rag Kr_16,Th\SFX_TUTPORIALTEXT_10,1
SFX_TUTPORIALTEXT_11,11,,Cnt\Rag Kr_17,En\Rag Eng_17,Cnt\Rag Kr_17,Th\SFX_TUTPORIALTEXT_11,1
SFX_TUTPORIALTEXT_12,12,,Cnt\Rag Kr_18_2,En\Rag Eng_18,Cnt\Rag Kr_18_2,Th\SFX_TUTPORIALTEXT_12,1
