_INDEX,Stars:int,Summon:decimal,Dojo:decimal
0,1,1.2,1.2
1,2,1.2,1.2
2,3,1.2,1.2
3,4,1.2,1.2
4,5,1.2,1.2
5,6,1.2,1.2
6,7,1.2,1.2
7,8,1.2,1.2
8,9,1.2,1.2
9,10,1.2,1.2
10,11,1.2,1.2
11,12,1.2,1.2
12,13,1.2,1.2
13,14,1.2,1.2
14,15,1.2,1.2
15,16,1.2,1.2
16,17,1.2,1.2
17,18,1.2,1.2
18,19,1.2,1.2
19,20,1.2,1.2
20,21,1.2,1.2
21,22,1.2,1.2
22,23,1.2,1.2
23,24,1.2,1.2
24,25,1.2,1.2
25,26,1.2,1.2
26,27,1.2,1.2
27,28,1.2,1.2
28,29,1.2,1.2
29,30,1.2,1.2
30,31,1.2,1.2
31,32,1.24,1.24
32,33,1.28,1.28
33,34,1.32,1.32
34,35,1.37,1.37
35,36,1.41,1.41
36,37,1.46,1.46
37,38,1.5,1.5
38,39,1.55,1.55
39,40,1.6,1.6
40,41,1.65,1.65
41,42,1.7,1.7
42,43,1.76,1.76
43,44,1.81,1.81
44,45,1.87,1.87
45,46,1.92,1.92
46,47,1.98,1.98
47,48,2.04,2.04
48,49,2.1,2.1
49,50,2.16,2.16
50,51,2.23,2.23
51,52,2.29,2.29
52,53,2.36,2.36
53,54,2.42,2.42
54,55,2.49,2.49
55,56,2.56,2.56
56,57,2.63,2.63
57,58,2.7,2.7
58,59,2.78,2.78
59,60,2.85,2.85
60,61,2.93,2.93
61,62,3,3
62,63,3.08,3.08
63,64,3.16,3.16
64,65,3.24,3.24
65,66,3.32,3.32
66,67,3.41,3.41
67,68,3.49,3.49
68,69,3.58,3.58
69,70,3.66,3.66
70,71,3.75,3.75
71,72,3.84,3.84
72,73,3.93,3.93
73,74,4.02,4.02
74,75,4.12,4.12
75,76,4.21,4.21
76,77,4.31,4.31
77,78,4.4,4.4
78,79,4.5,4.5
79,80,4.6,4.6
80,81,4.9,4.9
81,82,4.9,4.9
82,83,4.9,4.9
83,84,4.9,4.9
84,85,4.9,4.9
85,86,5.2,5.2
86,87,5.2,5.2
87,88,5.2,5.2
88,89,5.2,5.2
89,90,5.2,5.2
90,91,5.5,5.5
91,92,5.5,5.5
92,93,5.5,5.5
93,94,5.5,5.5
94,95,5.5,5.5
95,96,5.8,5.8
96,97,5.8,5.8
97,98,5.8,5.8
98,99,5.8,5.8
99,100,5.8,5.8
100,101,6.1,6.1
101,102,6.1,6.1
102,103,6.1,6.1
103,104,6.1,6.1
104,105,6.1,6.1
105,106,6.4,6.4
106,107,6.4,6.4
107,108,6.4,6.4
108,109,6.4,6.4
109,110,6.4,6.4
110,111,6.7,6.7
111,112,6.7,6.7
112,113,6.7,6.7
113,114,6.7,6.7
114,115,6.7,6.7
115,116,7,7
116,117,7,7
117,118,7,7
118,119,7,7
119,120,7,7
