_ID,_VALUE,ConditionType:string,ConditionParam1:int[],ConditionParam2:int[],ConditionParam3:id[],ConditionParam4:string[],#Remark:string
SYSTEM_PARAM_SPAR_NUM_LIMIT,1,SparNumLimit,1000,,,,晶石数量上限
SYSTEM_PARAM_INITIAL_ANGER,2,InitialAnger,500,,,,初始怒气
SYSTEM_PARAM_ANGER_UPPER_LIMIT,3,AngerUpperLimit,1000,,,,怒气上限
SYSTEM_PARAM_GENERAL_ATTACK_ANGER,4,GeneralAttackAnger,25,,,,普攻每1%血量增加怒气
SYSTEM_PARAM_SKILL_BASIC_ANGER,5,SkillBasicAnger,200,,,,每次技能增加基础怒气
SYSTEM_PARAM_CHAT_VOICE_LIMIT_FROM,6,ChatVoiceLimitFrom,1,,,,长按1秒后开始录音
SYSTEM_PARAM_CHAT_VOICE_LIMIT_TO,7,ChatVoiceLimitTo,30,,,,长按30后发送录音
SYSTEM_PARAM_ARENA_HERO_HP_PLUS,8,ArenaHeroHpPlus,20,,,,竞技场敌方英雄生命加成
SYSTEM_PARAM_ARENA_CHARACTER_HP_PLUS,9,ArenaCharacterHpPlus,10,,,,竞技场敌方士兵生命加成
SYSTEM_PARAM_TREASURE_BANQUET_LIMIT_HERO,10,TreasureBanquetLimitHero,128,,,,探宝和盛宴未获得情况不会产出的英雄
SYSTEM_PARAM_TREASURE_BANQUET_LIMIT_EMBLEM,11,TreasureBanquetLimitEmblem,86,,,,探宝和盛宴未获得情况不会产出的徽章
SYSTEM_PARAM_ANGER_NUMBER,12,AngerNumber,2,,,,怒气条目数量
SYSTEM_PARAM_ANGER_CD,13,AngerCD,2,,,,怒气公共cd
SYSTEM_PARAM_SKY_SINGLE_ENERGY_COST,14,SkySingleEnergyCost,30,,,,天空单人挑战消耗体力值
SYSTEM_PARAM_AI_CHAIN_SKILL_DELAY,15,AIChainSkillDelay,2,,,,AI连携与英雄技能间隔
SYSTEM_PARAM_COMMENT_PULISH_CD,16,CommentPulishCD,5,,,,评论输入CD
SYSTEM_PARAM_DIAL_RANK_INTEGRAL,17,DialRankIntegral,900,,,,转盘进入榜单积分
SYSTEM_PARAM_POND_INITIAL_VALUE,18,PondInitialValue,2885,,,,转盘初始奖金池
SYSTEM_PARAM_LEVEL_INTERVAL,19,LevelInterval,1,999,,,战力活动参与等级
SYSTEM_PARAM_POWER_RANKINGS_TIME,20,PowerRankingsTime,7,,,,战力排名时间段
SYSTEM_PARAM_SINGLE_TREASURE_HERO_DROPGROUP,21,SingleTreasureDrop,6201,,,,探宝单抽英雄掉落组
SYSTEM_PARAM_SINGLE_TREASURE_ITEM_DROPGROUP,22,SingleTreasureDrop,6202,,,,探宝单抽道具掉落组
SYSTEM_PARAM_SINGLE_TREASURE_HERO_RATE,23,SingleTreasureRate,5,,,,探宝单抽英雄掉落组权重
SYSTEM_PARAM_SINGLE_TREASURE_ITEM_RATE,24,SingleTreasureRate,95,,,,探宝单抽道具掉落组权重
SYSTEM_PARAM_SINGLE_SKY_DAILY_ITEMES,25,SkySingleDailyTimes,5,,,,单人天空挑战每日限制次数
SYSTEM_PARAM_SINGLE_BANQUET_DAILY_ITEMES,26,BanquetDailyTimes,60,,,,每日宴请次数上限
SYSTEM_PARAM_SINGLE_BANQUET_FREE_CD,27,BanquetFreeCD,129600,,,,盛宴免费倒计时
SYSTEM_PARAM_ONLINE_REWAED,28,OnlineReward,300,,DROP_ONLINE_REWARD_10,,100GP
,,,600,,DROP_ONLINE_REWARD_1,,4级武器
,,,900,,DROP_ONLINE_REWARD_2,,4级衣服
,,,900,,DROP_ONLINE_REWARD_3,,4级帽子
,,,900,,DROP_ONLINE_REWARD_4,,4级鞋子
,,,3600,,DROP_ONLINE_REWARD_10,,100GP
,,,10800,,DROP_ONLINE_REWARD_11,,2加速药水
,,,10800,,DROP_ONLINE_REWARD_7,,15W魔魂
,,,21600,,DROP_ONLINE_REWARD_6,,666GP
,,,21600,,DROP_ONLINE_REWARD_8,,2500天赋果实
,,,900,,DROP_ONLINE_REWARD_19,,30肉
,,,900,,DROP_ONLINE_REWARD_12,,20WZENY
,,,900,,DROP_ONLINE_REWARD_19,,30肉
,,,900,,DROP_ONLINE_REWARD_7,,15W魔魂
,,,3600,,DROP_ONLINE_REWARD_12,,20WZENY
,,,10800,,DROP_ONLINE_REWARD_19,,30肉
,,,10800,,DROP_ONLINE_REWARD_9,,20W魔魂
,,,21600,,DROP_ONLINE_REWARD_19,,30肉
,,,21600,,DROP_ONLINE_REWARD_18,,传说生命宝石
SYSTEM_PARAM_ONLINE_REWAED_LOOP,51,,14400,,DROP_ONLINE_REWARD_0,,重复在线奖励
SYSTEM_PARAM_UNLOCK_BATTLE_SLOT,29,,1,,,,解锁战斗阵位1
,,,1,,,,解锁战斗阵位2
,,,1,,,,解锁战斗阵位3
,,,1,,,,解锁战斗阵位4
,,,1,,,,解锁战斗阵位5
SYSTEM_PARAM_POWER_RANKINGS_POWER,30,PowerRankingsPower,350000,,,,战力排名战力要求
SYSTEM_PARAM_BADGE_SWITCH,31,BadgeSwitch,1,,,,徽章精炼开启判断（0关，1开）
SYSTEM_PARAM_GUILD_ATHLETIC_SWITCH,32,GuildAthleticSwitch,1,,,,公会竞技开启判断（0关，1开）
SYSTEM_PARAM_FRIEND_BOSS_SEARCH_LIMIT,33,FriendBossSearchLimit,5,,,,好友BOSS搜索上限
SYSTEM_PARAM_FRIEND_BOSS_CHALLENGE_TIMES,34,FriendBossChallengeTimes,8,,,,好友BOSS挑战次数上限
SYSTEM_PARAM_FRIEND_BOSS_CHALLENGE_CD,35,FriendBossChallengeCD,5400,,,,好友BOSS挑战次数冷却
SYSTEM_PARAM_FRIEND_BOSS_ARRAY_TIME,36,FriendBossArrayTime,3000,,,,布阵时间
SYSTEM_PARAM_FRIEND_BOSS_BATTLE_TIME,37,FriendBossBattleTime,60,,,,战斗时间
SYSTEM_PARAM_FRIEND_BOSS_END_TIME,38,FriendBossEndTime,30,,,,强制结算时间
SYSTEM_PARAM_FRIEND_BOSS_POINT_PLUS,39,FriendBossPointPlus,0,0,,,好友BOSS好友度加成
,,,0,0,,,
,,,0,0,,,
,,,0,0,,,
SYSTEM_PARAM_CORPS_BATTLE_OPEN_FLOOR,40,CorpsBattleOpenFloor,435,,,,军团挑战开放层数
SYSTEM_PARAM_BANQUET_UNIX_TIME_STAMP_1,41,BanquetUnixTimeStamp,1514754000,,,,盛宴英雄1时间戳
SYSTEM_PARAM_BANQUET_UNIX_TIME_STAMP_2,42,BanquetUnixTimeStamp,1514754000,,,,盛宴英雄2时间戳
SYSTEM_PARAM_NOVICE_RECHARGE_COUNTDOWN,43,NoviceRechargeCountdown,345600,,,,新手累充倒计时
SYSTEM_PARAM_FIRST_MONTH_CARD_COUNTDOWN,44,FirstMonthCardCountdown,172800,,,,首次月卡倒计时
SYSTEM_PARAM_IMPEACH_PRESIDENT,45,ImpeachPresident,3,,,,会长弹劾天数
SYSTEM_PARAM_FREE_TREASURE_COUNTDOWN,46,FreeTreasureCountdown,79200,,,,免费单次探宝倒计时
SYSTEM_PARAM_FRIEND_BOSS_SEARCH_TIMES_REWARD,47,FriendBossSearchTimesReward,3,,DROP_FRIEND_BOSS_PROGRESS_BAR_1,,3次宝藏搜寻奖励
,,,5,,DROP_FRIEND_BOSS_PROGRESS_BAR_2,,5次宝藏搜寻奖励
SYSTEM_PARAM_FIRST_FRIEND_BOSS_LEVEL,48,FirstFriendBossLevel,1,32,,,好友BOSS首次等级区间
SYSTEM_PARAM_POPUP_BAG_COUNTDOWN,49,PopupBagCountdown,86400,,,,弹窗礼包倒计时
SYSTEM_PARAM_TREASURE_LEGEND,50,TreasureLegend,5,,,,探宝必出传说次数
SYSTEM_PARAM_FRIEND_BOSS_SEARCH_CD,52,FriendBossSearchCD,43200,,,,好友BOSS搜寻次数冷却
