_ID,_VALUE,TimeCount:int,#Remark:string,Floor:int,Buff:string,EnemyModelType:string,EnemyModel:id,BossStar:int,MapId:id
TOURNAMEN_ENEMY_1,1,1,计数填1，表示线上玩家开始的第一轮,1,GuildTower_16,Hero,HERO_ATROCE,2,LEVEL_GUILD_TOWER_1
TOURNAMEN_ENEMY_2,2,1,,2,GuildTower_15,Hero,HERO_JAKK,2,LEVEL_GUILD_TOWER_2
TOURNAMEN_ENEMY_3,3,1,,3,GuildTower_21,Hero,HERO_DEVILING,3,LEVEL_GUILD_TOWER_3
TOURNAMEN_ENEMY_4,4,1,,4,GuildTower_8,Hero,HERO_PETIT,3,LEVEL_GUILD_TOWER_4
TOURNAMEN_ENEMY_5,5,1,,5,GuildTower_17,Hero,HERO_TYRRHENIA,3,LEVEL_GUILD_TOWER_5
TOURNAMEN_ENEMY_6,6,1,,6,GuildTower_5,Hero,HERO_TYRRHENIA,3,LEVEL_GUILD_TOWER_6
TOURNAMEN_ENEMY_7,7,1,,7,GuildTower_18,Hero,HERO_DARK_ILLUSION,4,LEVEL_GUILD_TOWER_7
TOURNAMEN_ENEMY_8,8,1,,8,GuildTower_11,Hero,HERO_HIGH_ORC,4,LEVEL_GUILD_TOWER_8
TOURNAMEN_ENEMY_9,9,1,,9,GuildTower_2,Hero,HERO_SOHEE,4,LEVEL_GUILD_TOWER_9
TOURNAMEN_ENEMY_10,10,1,,10,GuildTower_22,Hero,HERO_DEVILING,4,LEVEL_GUILD_TOWER_10
TOURNAMEN_ENEMY_11,11,1,,11,GuildTower_7,Hero,HERO_OBEAUNE,5,LEVEL_GUILD_TOWER_11
TOURNAMEN_ENEMY_12,12,1,,12,GuildTower_21,Hero,HERO_LOLI_RURI,5,LEVEL_GUILD_TOWER_12
TOURNAMEN_ENEMY_13,13,1,,13,GuildTower_20,Hero,HERO_KOBOLD_ARCHER,5,LEVEL_GUILD_TOWER_13
TOURNAMEN_ENEMY_14,14,1,,14,GuildTower_11,Hero,HERO_ORK_HERO,5,LEVEL_GUILD_TOWER_14
TOURNAMEN_ENEMY_15,15,1,,15,GuildTower_18,Hero,HERO_ATROCE,6,LEVEL_GUILD_TOWER_15
