_ID,_VALUE,TimeCount:int
TOURNAMEN_ENEMY_ROUND_1,1,1
TOURNAMEN_ENEMY_ROUND_2,2,2
TOURNAMEN_ENEMY_ROUND_3,3,3
TOURNAMEN_ENEMY_ROUND_4,4,4
TOURNAMEN_ENEMY_ROUND_5,5,5
TOURNAMEN_ENEMY_ROUND_6,6,6
TOURNAMEN_ENEMY_ROUND_7,7,7
TOURNAMEN_ENEMY_ROUND_8,8,8
TOURNAMEN_ENEMY_ROUND_9,9,9
TOURNAMEN_ENEMY_ROUND_10,10,10
TOURNAMEN_ENEMY_ROUND_11,11,11
TOURNAMEN_ENEMY_ROUND_12,12,12
TOURNAMEN_ENEMY_ROUND_13,13,13
TOURNAMEN_ENEMY_ROUND_14,14,14
TOURNAMEN_ENEMY_ROUND_15,15,15
TOURNAMEN_ENEMY_ROUND_16,16,16
TOURNAMEN_ENEMY_ROUND_17,17,17
TOURNAMEN_ENEMY_ROUND_18,18,18
TOURNAMEN_ENEMY_ROUND_19,19,19
TOURNAMEN_ENEMY_ROUND_20,20,20
TOURNAMEN_ENEMY_ROUND_21,21,21
TOURNAMEN_ENEMY_ROUND_22,22,22
TOURNAMEN_ENEMY_ROUND_23,23,23
TOURNAMEN_ENEMY_ROUND_24,24,24
TOURNAMEN_ENEMY_ROUND_25,25,25
TOURNAMEN_ENEMY_ROUND_26,26,26
TOURNAMEN_ENEMY_ROUND_27,27,27
TOURNAMEN_ENEMY_ROUND_28,28,28
TOURNAMEN_ENEMY_ROUND_29,29,29
TOURNAMEN_ENEMY_ROUND_30,30,30
TOURNAMEN_ENEMY_ROUND_31,31,31
TOURNAMEN_ENEMY_ROUND_32,32,32
TOURNAMEN_ENEMY_ROUND_33,33,33
TOURNAMEN_ENEMY_ROUND_34,34,34
TOURNAMEN_ENEMY_ROUND_35,35,35
TOURNAMEN_ENEMY_ROUND_36,36,36
TOURNAMEN_ENEMY_ROUND_37,37,1
TOURNAMEN_ENEMY_ROUND_38,38,2
TOURNAMEN_ENEMY_ROUND_39,39,3
TOURNAMEN_ENEMY_ROUND_40,40,4
TOURNAMEN_ENEMY_ROUND_41,41,5
TOURNAMEN_ENEMY_ROUND_42,42,6
TOURNAMEN_ENEMY_ROUND_43,43,7
TOURNAMEN_ENEMY_ROUND_44,44,8
TOURNAMEN_ENEMY_ROUND_45,45,9
TOURNAMEN_ENEMY_ROUND_46,46,10
TOURNAMEN_ENEMY_ROUND_47,47,11
TOURNAMEN_ENEMY_ROUND_48,48,12
TOURNAMEN_ENEMY_ROUND_49,49,13
TOURNAMEN_ENEMY_ROUND_50,50,14
TOURNAMEN_ENEMY_ROUND_51,51,15
TOURNAMEN_ENEMY_ROUND_52,52,16
TOURNAMEN_ENEMY_ROUND_53,53,17
TOURNAMEN_ENEMY_ROUND_54,54,18
TOURNAMEN_ENEMY_ROUND_55,55,19
TOURNAMEN_ENEMY_ROUND_56,56,20
TOURNAMEN_ENEMY_ROUND_57,57,21
TOURNAMEN_ENEMY_ROUND_58,58,22
TOURNAMEN_ENEMY_ROUND_59,59,23
TOURNAMEN_ENEMY_ROUND_60,60,24
TOURNAMEN_ENEMY_ROUND_61,61,25
TOURNAMEN_ENEMY_ROUND_62,62,26
TOURNAMEN_ENEMY_ROUND_63,63,27
TOURNAMEN_ENEMY_ROUND_64,64,28
TOURNAMEN_ENEMY_ROUND_65,65,29
TOURNAMEN_ENEMY_ROUND_66,66,30
TOURNAMEN_ENEMY_ROUND_67,67,31
TOURNAMEN_ENEMY_ROUND_68,68,32
TOURNAMEN_ENEMY_ROUND_69,69,33
TOURNAMEN_ENEMY_ROUND_70,70,34
TOURNAMEN_ENEMY_ROUND_71,71,35
TOURNAMEN_ENEMY_ROUND_72,72,36
TOURNAMEN_ENEMY_ROUND_73,73,1
TOURNAMEN_ENEMY_ROUND_74,74,2
TOURNAMEN_ENEMY_ROUND_75,75,3
TOURNAMEN_ENEMY_ROUND_76,76,4
TOURNAMEN_ENEMY_ROUND_77,77,5
TOURNAMEN_ENEMY_ROUND_78,78,6
TOURNAMEN_ENEMY_ROUND_79,79,7
TOURNAMEN_ENEMY_ROUND_80,80,8
TOURNAMEN_ENEMY_ROUND_81,81,9
TOURNAMEN_ENEMY_ROUND_82,82,10
TOURNAMEN_ENEMY_ROUND_83,83,11
TOURNAMEN_ENEMY_ROUND_84,84,12
TOURNAMEN_ENEMY_ROUND_85,85,13
TOURNAMEN_ENEMY_ROUND_86,86,14
TOURNAMEN_ENEMY_ROUND_87,87,15
TOURNAMEN_ENEMY_ROUND_88,88,16
TOURNAMEN_ENEMY_ROUND_89,89,17
TOURNAMEN_ENEMY_ROUND_90,90,18
TOURNAMEN_ENEMY_ROUND_91,91,19
TOURNAMEN_ENEMY_ROUND_92,92,20
TOURNAMEN_ENEMY_ROUND_93,93,21
TOURNAMEN_ENEMY_ROUND_94,94,22
TOURNAMEN_ENEMY_ROUND_95,95,23
TOURNAMEN_ENEMY_ROUND_96,96,24
TOURNAMEN_ENEMY_ROUND_97,97,25
TOURNAMEN_ENEMY_ROUND_98,98,26
TOURNAMEN_ENEMY_ROUND_99,99,27
TOURNAMEN_ENEMY_ROUND_100,100,28
TOURNAMEN_ENEMY_ROUND_101,101,29
TOURNAMEN_ENEMY_ROUND_102,102,30
TOURNAMEN_ENEMY_ROUND_103,103,31
TOURNAMEN_ENEMY_ROUND_104,104,32
TOURNAMEN_ENEMY_ROUND_105,105,33
TOURNAMEN_ENEMY_ROUND_106,106,34
TOURNAMEN_ENEMY_ROUND_107,107,35
TOURNAMEN_ENEMY_ROUND_108,108,36
TOURNAMEN_ENEMY_ROUND_109,109,1
TOURNAMEN_ENEMY_ROUND_110,110,2
TOURNAMEN_ENEMY_ROUND_111,111,3
TOURNAMEN_ENEMY_ROUND_112,112,4
TOURNAMEN_ENEMY_ROUND_113,113,5
TOURNAMEN_ENEMY_ROUND_114,114,6
TOURNAMEN_ENEMY_ROUND_115,115,7
TOURNAMEN_ENEMY_ROUND_116,116,8
TOURNAMEN_ENEMY_ROUND_117,117,9
TOURNAMEN_ENEMY_ROUND_118,118,10
TOURNAMEN_ENEMY_ROUND_119,119,11
TOURNAMEN_ENEMY_ROUND_120,120,12
TOURNAMEN_ENEMY_ROUND_121,121,13
TOURNAMEN_ENEMY_ROUND_122,122,14
TOURNAMEN_ENEMY_ROUND_123,123,15
TOURNAMEN_ENEMY_ROUND_124,124,16
TOURNAMEN_ENEMY_ROUND_125,125,17
TOURNAMEN_ENEMY_ROUND_126,126,18
TOURNAMEN_ENEMY_ROUND_127,127,19
TOURNAMEN_ENEMY_ROUND_128,128,20
TOURNAMEN_ENEMY_ROUND_129,129,21
TOURNAMEN_ENEMY_ROUND_130,130,22
TOURNAMEN_ENEMY_ROUND_131,131,23
TOURNAMEN_ENEMY_ROUND_132,132,24
TOURNAMEN_ENEMY_ROUND_133,133,25
TOURNAMEN_ENEMY_ROUND_134,134,26
TOURNAMEN_ENEMY_ROUND_135,135,27
TOURNAMEN_ENEMY_ROUND_136,136,28
TOURNAMEN_ENEMY_ROUND_137,137,29
TOURNAMEN_ENEMY_ROUND_138,138,30
TOURNAMEN_ENEMY_ROUND_139,139,31
TOURNAMEN_ENEMY_ROUND_140,140,32
TOURNAMEN_ENEMY_ROUND_141,141,33
TOURNAMEN_ENEMY_ROUND_142,142,34
TOURNAMEN_ENEMY_ROUND_143,143,35
TOURNAMEN_ENEMY_ROUND_144,144,36
TOURNAMEN_ENEMY_ROUND_145,145,1
TOURNAMEN_ENEMY_ROUND_146,146,2
TOURNAMEN_ENEMY_ROUND_147,147,3
TOURNAMEN_ENEMY_ROUND_148,148,4
TOURNAMEN_ENEMY_ROUND_149,149,5
TOURNAMEN_ENEMY_ROUND_150,150,6
TOURNAMEN_ENEMY_ROUND_151,151,7
TOURNAMEN_ENEMY_ROUND_152,152,8
TOURNAMEN_ENEMY_ROUND_153,153,9
TOURNAMEN_ENEMY_ROUND_154,154,10
TOURNAMEN_ENEMY_ROUND_155,155,11
TOURNAMEN_ENEMY_ROUND_156,156,12
TOURNAMEN_ENEMY_ROUND_157,157,13
TOURNAMEN_ENEMY_ROUND_158,158,14
TOURNAMEN_ENEMY_ROUND_159,159,15
TOURNAMEN_ENEMY_ROUND_160,160,16
TOURNAMEN_ENEMY_ROUND_161,161,17
TOURNAMEN_ENEMY_ROUND_162,162,18
