_ID,_VALUE,#Des:string,IsBattle:bool,NextTutorial:id,PassingMustBattleWin:bool,SkipBattlePreparaion:bool,SkipEndBattleGUI:bool,UploadBattleResult:bool,UseServerPlayerData:bool,StartBattleCutscene:id
TUTORIAL_RO_BOSS_BATTLE,1,开场BOSS战斗对话,TRUE,TUTORIAL_RO_FIRST_ENTER_HOME_RO,,TRUE,TRUE,,,CUTSCENE_OPENING
TUTORIAL_RO_FIRST_ENTER_HOME_RO,2,第一次进入主界面,FALSE,TUTORIAL_RO_FIRST_DRAW,,,,,,
TUTORIAL_RO_FIRST_DRAW,3,抽蛋,FALSE,TUTORIAL_RO_BATTLE_LEVEL_1,,,,,,
TUTORIAL_RO_BATTLE_LEVEL_1,4,战斗划线,TRUE,TUTORIAL_RO_HANGUP_REWARD,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_RO_HANGUP_REWARD,5,领取挂机奖励,FALSE,TUTORIAL_RO_BATTLE_DISPOSAL,,,,,,
TUTORIAL_RO_BATTLE_DISPOSAL,6,战斗布阵,TRUE,TUTORIAL_RO_SUMMON_MONSTER,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_RO_SUMMON_MONSTER,7,召唤魔物,FALSE,TUTORIAL_RO_SUMMON_PET,,,,,,
TUTORIAL_RO_SUMMON_PET,8,召唤宠物,FALSE,TUTORIAL_RO_EQUIP_PET,,,,,,
TUTORIAL_RO_EQUIP_PET,9,装备宠物,FALSE,TUTORIAL_RO_MONSTER_LEVEL_UP,,,,,,
TUTORIAL_RO_MONSTER_LEVEL_UP,10,魔物升级,FALSE,TUTORIAL_END_POINT,,,,,,
TUTORIAL_RO_LEARN_EQUIPMENT_UP,101,RO装备引导,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_HERO_SPAR,102,RO晶石引导,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_DAILY_QUEST,103,每日任务,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_GEFFEN_CHALLENGE,104,吉芬塔挑战,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_CATS_CHALLENGE_GOLD,105,雇佣猫之野望（金币）,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_CATS_CHALLENGE_SOUL,106,雇佣猫之野望（魔魂）,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_CATS_CHALLENGE_FRUIT,107,雇佣猫之野望（果实）,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_ARENA,108,斗技场,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,
TUTORIAL_RO_UNLOCK_ARENA_DEFEND,109,斗技场防守阵容,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,
TUTORIAL_RO_UNLOCK_DOJO_CHALLENGE,110,道场挑战,FALSE,,,,,,,
TUTORIAL_RO_CONNECT_MISSION,111,亲密度副本,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_GUILD,112,公会解锁,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_GUARDIAN_OF_GOD,113,神之守护兽,FALSE,,,,,,,
TUTORIAL_RO_UNLOCK_HERO_EMBLEM,114,爱的羁绊,FALSE,,,,,,,
TUTORIAL_RO_ENDLESS_TOWER,115,公会组队试炼,FALSE,,,,,,,
TUTORIAL_RO_RESONANCE_CAMP,116,共鸣系统（阵营）,FALSE,,,,,,,
TUTORIAL_RO_RESONANCE_ELEMENT,117,共鸣系统（元素）,FALSE,,,,,,,
TUTORIAL_RO_FRIEND_BOSS_SEARCH_1,118,好友BOSS搜寻宝箱1,FALSE,,,,,,,
TUTORIAL_RO_FRIEND_BOSS_BATTLE_RESULT,119,好友BOSS打完BOSS,FALSE,,,,,,,
TUTORIAL_RO_SUMMONER_DUEL,122,召唤师竞技,FALSE,,,,,,,
TUTORIAL_RO_BATTLE_LINE_UP_AT_3,123,第三关上阵引导,TRUE,,,,,,,
TUTORIAL_RO_MONSTER_EVOLVE,124,魔物升星,FALSE,,,,,,,
TUTORIAL_RO_ESSENCE_EVOLVE,125,精华升星,FALSE,,,,,,,
TUTORIAL_LEARN_CASTING_HERO_SKILL,1000,英雄技能引导,TRUE,TUTORIAL_EXPLORE_TREASURE,FALSE,TRUE,TRUE,FALSE,FALSE,
TUTORIAL_PROLOGUE_BOSS_BATTLE_DIALOG,1001,序章BOSS对话,TRUE,TUTORIAL_PROLOGUE_BOSS_BATTLE,FALSE,TRUE,TRUE,FALSE,FALSE,CUTSCENE_OPENING
TUTORIAL_PROLOGUE_BOSS_BATTLE,1002,序章BOSS对话,TRUE,TUTORIAL_EXPLORE_TREASURE,FALSE,TRUE,TRUE,FALSE,FALSE,CUTSCENE_OPENING
TUTORIAL_EXPLORE_TREASURE,1003,探宝,FALSE,TUTORIAL_BATTLE_LEVEL_1,,,,,,
TUTORIAL_BATTLE_LEVEL_1,1004,战斗1教程,TRUE,TUTORIAL_BATTLE_LEVEL_2,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_BATTLE_LEVEL_2,1005,战斗2教程,TRUE,TUTORIAL_MAIN_QUEST_HANDOVER,TRUE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_MAIN_QUEST_HANDOVER,1006,任务交接,FALSE,TUTORIAL_END_POINT,,,,,,
TUTORIAL_END_POINT,1007,结束点击,FALSE,,,,,,,
