_ID,_VALUE,#Des:string,PadType:string,PadPosition:int,Reverse:bool,HideSpine:bool,PoringAnimation:string[],Speech:id[],Name:loc[]
TUTORIAL_RO_DIALOG_PROLOGUE,1,释放技能,float,8,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_1,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_PROLOGUE
TUTORIAL_RO_DIALOG_0_1,2,睁眼前,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_2,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_0_1
TUTORIAL_RO_DIALOG_0_2,3,,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_3,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_0_2
TUTORIAL_RO_DIALOG_1,4,睁眼后,float,1,FALSE,FALSE,Cry,SFX_TUTPORIALTEXT_4,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_1_0
,,,,,,,Idle,None,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_1_1
,,,,,,,Bashful,None,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_1_2
,,,,,,,Idle,None,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_1_3
,,,,,,,Excite,SFX_TUTPORIALTEXT_5,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_1_3_2
TUTORIAL_RO_DIALOG_DRAW_1_1,5,抽蛋起名字前,float,5,FALSE,TRUE,Idle,SFX_TUTPORIALTEXT_6,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_1_1
,,,,,,,Idle,None,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_1_1_2
TUTORIAL_RO_DIALOG_DRAW_1_2,6,,float,2,TRUE,FALSE,Excite,SFX_TUTPORIALTEXT_7,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_1_2
TUTORIAL_RO_DIALOG_DRAW_1_3,7,,float,5,FALSE,TRUE,Idle,SFX_TUTPORIALTEXT_8,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_1_3
TUTORIAL_RO_DIALOG_DRAW_2,8,抽蛋起名字后,float,5,FALSE,TRUE,Idle,SFX_TUTPORIALTEXT_9,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_2_1
TUTORIAL_RO_DIALOG_DRAW_3,9,抽宠物蛋,float,5,FALSE,TRUE,Idle,SFX_TUTPORIALTEXT_11,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_3
TUTORIAL_RO_DIALOG_DRAW_4,10,抽完蛋回城,float,1,FALSE,FALSE,Excite,SFX_TUTPORIALTEXT_12,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_DRAW_4
TUTORIAL_RO_DIALOG_CHALLENGE_1,11,点击进入战斗,float,1,FALSE,FALSE,Bashful,SFX_TUTPORIALTEXT_13,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_CHALLENGE_1_1
,,,,,,,Excite,SFX_TUTPORIALTEXT_14,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_CHALLENGE_1_2
TUTORIAL_RO_DIALOG_LINE,12,战斗划线引导,float,5,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_15,LOC_TUTORIALTEXT_DIALOG_LINE_1
,,,,,,,Idle2,None,LOC_TUTORIALTEXT_DIALOG_LINE_3
,,,,,,,Idle,SFX_TUTPORIALTEXT_16,LOC_TUTORIALTEXT_DIALOG_LINE_4
,,,,,,,Idle,SFX_TUTPORIALTEXT_17,LOC_TUTORIALTEXT_DIALOG_LINE_5
TUTORIAL_RO_DIALOG_RELEASE_SKILL,13,释放技能引导,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_1,LOC_TUTORIALTEXT_DIALOG_12
TUTORIAL_RO_DIALOG_HANGUP_REWARD,14,领取挂机奖励,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_19,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_HANGUP_REWARD
TUTORIAL_RO_DIALOG_CHALLENGE_2,15,再次点击进入战斗,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_20,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_CHALLENGE_2
TUTORIAL_RO_DIALOG_DISPOSAL,16,布阵引导,float,5,FALSE,FALSE,Idle,None,LOC_TUTORIALTEXT_DIALOG_DISPOSAL_1_1
,,,,,,,Idle,None,LOC_TUTORIALTEXT_DIALOG_DISPOSAL_1_2
,,,,,,,Idle,None,LOC_TUTORIALTEXT_DIALOG_DISPOSAL_1_3
,,,,,,,Idle,SFX_TUTPORIALTEXT_21,LOC_TUTORIALTEXT_DIALOG_DISPOSAL_1_4
TUTORIAL_RO_DIALOG_DISPOSAL_FINISH,17,布阵引导结束,float,5,FALSE,FALSE,Idle,,LOC_TUTORIALTEXT_DIALOG_DISPOSAL_1_5
TUTORIAL_RO_DIALOG_SUMMON_MONSTER,18,魔物宠物招募,float,2,FALSE,FALSE,Excite,SFX_TUTPORIALTEXT_24,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_SUMMON_MONSTER
TUTORIAL_RO_DIALOG_SUMMON_MONSTER_FINISH,19,魔物宠物招募结束,float,2,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_25,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_SUMMON_MONSTER_FINISH
TUTORIAL_RO_DIALOG_EQUIP_PET_START,20,宠物召唤引导主城,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_26,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_EQUIP_PET_START
TUTORIAL_RO_DIALOG_EQUIP_PET,21,宠物召唤,float,5,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_27,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_EQUIP_PET
TUTORIAL_RO_DIALOG_EQUIP_PET_FINISH,22,宠物召唤引导结束,float,5,FALSE,FALSE,Excite,SFX_TUTPORIALTEXT_28,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_EQUIP_PET_FINISH
TUTORIAL_RO_DIALOG_MONSTER_LEVEL_UP,23,魔物升级引导,float,2,FALSE,FALSE,Excite,SFX_TUTPORIALTEXT_29,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_MONSTER_LEVEL_UP
,,,,2,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_30,LOC_TUTORIALTEXT_TUTORIAL_RO_DIALOG_MONSTER_LEVEL_UP_1
TUTORIAL_RO_DIALOG_LEARN_EQUIPMENT_UP_1,24,装备引导1,float,2,FALSE,FALSE,Excite,SFX_TUTPORIALTEXT_31,LOC_TUTORIAL_RO_DIALOG_EQUIPMENT_UP_1
TUTORIAL_RO_DIALOG_LEARN_EQUIPMENT_UP_2,25,装备引导2,float,1,FALSE,FALSE,Idle,SFX_TUTPORIALTEXT_32,LOC_TUTORIAL_RO_DIALOG_EQUIPMENT_UP_2
TUTORIAL_RO_DIALOG_LEARN_EQUIPMENT_UP_3,26,装备引导3,float,1,FALSE,FALSE,Idle2,SFX_TUTPORIALTEXT_33,LOC_TUTORIAL_RO_DIALOG_EQUIPMENT_UP_3
