_INDEX,VipReward:id[],VipRewardNum:int[],VipEstimateValue:int,Shine:int[]
0,,,,0
1,ITEM_OPTIONAL_EMBLEM_PACKAGE,15,888,0
,ITEM_ARENA_TICKET,5,,0
,ITEM_ENERGY_BOTTLE,2,,0
2,ITEM_OPTIONAL_EMBLEM_PACKAGE,15,1888,0
,ITEM_OPTIONAL_BASIC_RESOURCE_PACKAGE,3,,0
,ITEM_ENERGY_BOTTLE,5,,0
3,ITEM_OPTIONAL_S_HERO_PACKAGE,1,3888,1
,ITEM_RANDOM_SPAR_PACKAGE,8,,0
,ITEM_GRANILE,1000,,0
4,ITEM_RANDOM_SPAR_PACKAGE,12,4888,1
,ITEM_GRANILE,2000,,0
,ITEM_HERO_EVOLVE_STONE,2000,,0
5,ITEM_EMBLEM_ALICE,30,5888,1
,ITEM_HERO_EVOLVE_STONE,4000,,0
,ITEM_OPTIONAL_BASIC_RESOURCE_PACKAGE,5,,0
6,ITEM_SPAR_RED_ATK_4,5,6888,1
,ITEM_BANQUET_TICKET,2,,0
,ITEM_GRANILE,3000,,0
7,ITEM_EMBLEM_ALICE,40,7888,1
,ITEM_HERO_EVOLVE_STONE,8000,,0
,ITEM_OPTIONAL_BASIC_RESOURCE_PACKAGE,8,,0
8,ITEM_EMBLEM_ALICE,30,8888,1
,ITEM_HERO_EVOLVE_STONE,1500,,0
,ITEM_OPTIONAL_BASIC_RESOURCE_PACKAGE,4,,0
9,ITEM_EMBLEM_ALICE,30,9888,1
,ITEM_HERO_EVOLVE_STONE,2000,,0
,ITEM_SPAR_RED_MGK_4,5,,0
10,ITEM_EMBLEM_ALICE,40,10888,1
,ITEM_HERO_EVOLVE_STONE,4000,,0
,ITEM_NEW_EQUIPMENT_PACKAGE_18,1,,0
11,ITEM_EMBLEM_ALICE,50,12888,1
,ITEM_HERO_EVOLVE_STONE,8000,,0
,ITEM_SPAR_KEY,8,,0
12,ITEM_SPAR_BLUE_MPEN_4,5,15888,1
,ITEM_SPUER_SPAR_PACKAGE,10,,0
,ITEM_BANQUET_TICKET,10,,0
13,ITEM_EMBLEM_ALICE,60,18888,1
,ITEM_HERO_EVOLVE_STONE,10000,,0
,ITEM_SPAR_KEY,12,,0
14,ITEM_SPUER_SPAR_PACKAGE,15,22888,1
,ITEM_GRANILE,20000,,0
,ITEM_NEW_EQUIPMENT_PACKAGE_21,1,,0
15,ITEM_EMBLEM_ALICE,90,30888,1
,ITEM_HERO_EVOLVE_STONE,15000,,0
,ITEM_SPUER_SPAR_PACKAGE,5,,0
