_ID,_VALUE,Currency:string[],Amount:int[],RealAmount:int[]
AIS,801,THB,5000,4667
,,THB,6000,5600
,,THB,9000,8400
,,THB,10000,9333
,,THB,15000,14000
,,THB,20000,18667
,,THB,30000,28000
,,THB,50000,46667
DTAC,802,THB,5000,4667
,,THB,6000,5600
,,THB,9000,8400
,,THB,10000,9333
,,THB,15000,14000
,,THB,20000,18667
,,THB,30000,28000
,,THB,50000,46667
Truemove,803,THB,5000,4667
,,THB,6000,5600
,,THB,9000,8400
,,THB,10000,9333
,,THB,15000,14000
,,THB,20000,18667
,,THB,30000,28000
,,THB,50000,46667
Celcom,805,MYR,500,344
,,MYR,1000,688
,,MYR,2000,1375
,,MYR,3000,2063
,,MYR,4000,2750
,,MYR,5000,3438
Digi,806,MYR,500,438
,,MYR,1000,875
,,MYR,2000,1750
,,MYR,3000,2625
,,MYR,4000,3500
,,MYR,5000,4375
Telknmsel,807,IDR,2500000,2187500
,,IDR,5000000,4375000
,,IDR,10000000,8750000
XL,808,IDR,2000000,1750000
,,IDR,5000000,4375000
,,IDR,7000000,6125000
,,IDR,10000000,8750000
Smart,810,PHP,5000,3750
,,PHP,10000,7500
,,PHP,15000,11250
,,PHP,30000,22500
,,PHP,50000,37500
,,PHP,100000,75000
Globe,811,PHP,5000,4063
,,PHP,10000,8125
,,PHP,15000,12188
,,PHP,30000,24375
,,PHP,50000,40625
,,PHP,100000,81250
Starhub,814,SGD,500,467
,,SGD,1000,933
,,SGD,2000,1867
Umobile,815,MYR,300,244
,,MYR,500,406
,,MYR,1000,813
,,MYR,2000,1625
,,MYR,3000,2438
,,MYR,5000,4063
Singtel,816,SGD,500,467
,,SGD,1000,933
,,SGD,2000,1867
Telenor,817,MMK,30000,21200
,,MMK,90000,63600
,,MMK,150000,105900
,,MMK,300000,211900
,,MMK,600000,423800
,,MMK,900000,635600
,,MMK,1000000,706300
Hutchison,818,IDR,500000,400000
,,IDR,1000000,800000
,,IDR,2000000,1600000
,,IDR,3000000,2400000
,,IDR,5000000,4000000
,,IDR,10000000,8000000
