_ID,_VALUE,Country:string,Currency:string,Price:int,ProductId:string,Payment:string,Channel:string{},GP:int,GameCash:int,USDollar:double
G001,1,TH,THB,1000,,mol,psms#truewallet#mpay#linepay,26,1000,0.33
G002,2,TH,THB,2000,,mol,psms#truewallet#mpay#linepay,51,2000,0.66
G003,3,TH,THB,3000,,mol,psms#truewallet#mpay#linepay,75,3000,0.99
G004,4,TH,THB,5000,,mol,12call#truemoney#molpoints#psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,124,5000,1.66
G005,5,TH,THB,6000,,mol,psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,149,6000,1.99
G006,6,TH,THB,9000,,mol,truemoney#psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,224,9000,2.98
G007,7,TH,THB,10000,,mol,12call#molpoints#psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,248,10000,3.32
G008,8,TH,THB,15000,,mol,truemoney#psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,371,15000,4.97
G009,9,TH,THB,20000,,mol,psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,531,20000,6.63
G010,10,TH,THB,30000,,mol,12call#truemoney#molpoints#psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,796,30000,9.95
G011,11,TH,THB,50000,,mol,12call#truemoney#molpoints#psms#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,1377,50000,16.58
G012,12,TH,THB,100000,,mol,12call#truemoney#molpoints#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,2796,100000,33.16
G013,13,TH,THB,200000,,mol,truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,6016,200000,66.32
G014,14,TH,THB,300000,,mol,truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,9790,300000,99.48
G015,15,TH,THB,350000,,mol,molpoints,12762,350000,116.06
G016,16,TH,THB,500000,,mol,truemoney#truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,18232,500000,165.8
G017,17,TH,THB,1000000,,mol,truewallet#mpay#linepay#bay#bbl#ktb#scb#kbank,36464,1000000,333.3
G018,18,ID,IDR,1000000,,global_mol,1#3,56,2200,0.73
G019,19,ID,IDR,2000000,,global_mol,1#3,110,4400,1.46
