_ID,_VALUE,BossSelect:int,Xpos:int,Ypos:int,NormalBattleDrop:int[],KillBossDrop:int[],MapLevelId:id,EnemyModel:id,BossLv:int,RecommendCP:int,ShowItem:id[],ShowItemCount:int[],SkillName1:id,SkillDes1:id,SkillName2:id,SkillDes2:id,SkillName3:id,SkillDes3:id,SkillName4:id,SkillDes4:id,SkillName5:id,SkillDes5:id
WORLD_BOSS_MAP_10001,1,1,50,-250,14001,14101,LEVEL_WORLD_BOSS_1,HERO_BOSS_BAPHOMET,60,95000,ITEM_GOLD,4680000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
,,,,,,14102,,,,,ITEM_BATTLE_SOUL,494000,,,,,,,,,,
,,,,,,14103,,,,,ITEM_HERO_EVOLVE_STONE,2470,,,,,,,,,,
WORLD_BOSS_MAP_10002,2,1,50,-250,14002,14201,LEVEL_WORLD_BOSS_2,HERO_BOSS_BAPHOMET,120,500000,ITEM_GOLD,5200000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
,,,,,,14202,,,,,ITEM_BATTLE_SOUL,520000,,,,,,,,,,
,,,,,,14203,,,,,ITEM_HERO_EVOLVE_STONE,2600,,,,,,,,,,
WORLD_BOSS_MAP_10003,3,1,50,-250,14003,14301,LEVEL_WORLD_BOSS_3,HERO_BOSS_BAPHOMET,160,1250000,ITEM_GOLD,5720000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
,,,,,,14302,,,,,ITEM_BATTLE_SOUL,546000,,,,,,,,,,
,,,,,,14303,,,,,ITEM_HERO_EVOLVE_STONE,2730,,,,,,,,,,
WORLD_BOSS_MAP_10004,4,1,50,-250,14004,14401,LEVEL_WORLD_BOSS_4,HERO_BOSS_BAPHOMET,200,3300000,ITEM_GOLD,6240000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
,,,,,,14402,,,,,ITEM_BATTLE_SOUL,572000,,,,,,,,,,
,,,,,,14403,,,,,ITEM_HERO_EVOLVE_STONE,2860,,,,,,,,,,
WORLD_BOSS_MAP_10005,5,1,50,-250,14005,14501,LEVEL_WORLD_BOSS_5,HERO_BOSS_BAPHOMET,250,4500000,ITEM_GOLD,6760000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
,,,,,,14502,,,,,ITEM_BATTLE_SOUL,598000,,,,,,,,,,
,,,,,,14503,,,,,ITEM_HERO_EVOLVE_STONE,2990,,,,,,,,,,
WORLD_BOSS_MAP_10006,6,1,50,-250,14006,14601,LEVEL_WORLD_BOSS_6,HERO_BOSS_BAPHOMET,300,6000000,ITEM_GOLD,8320000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
,,,,,,14602,,,,,ITEM_BATTLE_SOUL,676000,,,,,,,,,,
,,,,,,14603,,,,,ITEM_HERO_EVOLVE_STONE,3380,,,,,,,,,,
WORLD_BOSS_MAP_10101,7,2,50,-250,14001,14101,LEVEL_WORLD_BOSS_1,HERO_BOSS_BAPHOMET,60,95000,ITEM_GOLD,4680000,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_1,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_2,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_3,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_4,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_NAME_5,LOC_PAN_WORLD_BOSS_CHARACTER_SKILL_DES_5
