_ID,_VALUE,ConditionType:string,ConditionParam1:int[],ConditionParam2:int[],ConditionParam3:int[][],#Remark:string
WORLD_BOSS_PARAM_BATTLE_TIME,1,BattleTime,60,,,世界BOSS战斗时长
WORLD_BOSS_PARAM_RANK_REWARDS,2,RankRewards,1,1,15001|15101|15201|15301,世界BOSS排名奖励
,,,2,2,15002|15102|15202|15302,
,,,3,3,15003|15103|15203|15303,
,,,4,5,15004|15104|15204|15304,
,,,6,10,15005|15105|15205|15305,
,,,11,20,15006|15106|15206|15306,
,,,21,50,15007|15107|15207|15307,
,,,51,100,15008|15108|15208|15308,
,,,101,200,15009|15109|15209|15309,
,,,201,500,15010|15110|15210|15310,
,,,501,1000,15111|15211|15311,
,,,1001,-1,15112|15212|15312,
WORLD_BOSS_PARAM_WEEK_SINGLE_DMG_RANK_REWARDS,3,WeekSingleDmgRankRewards,1,1,15401|15404|15407,周单次伤害排名奖励
,,,2,2,15402|15405|15408,
,,,3,3,15403|15406|15409,
WORLD_BOSS_PARAM_TODAY_DMG_RANK_REWARDS,4,TodayDmgRankRewards,1,1,15501|15504,今日伤害排名奖励
,,,2,2,15502|15505,
,,,3,3,15503|15506,
WORLD_BOSS_PARAM_TODAY_DMG_SERVER_RANK_REWARDS,5,TodayDmgRankServerRewards,1,1,15507,今日伤害排名全服奖励
,,,2,2,15508,
,,,3,3,15509,
WORLD_BOSS_PARAM_CHALLENGE_CONSUMPTION,6,ChallengecONSUMPTION,1,,,世界boss单次挑战消耗道具及数量
